Site,PossesionType,Opponent,Outcome,ShotType,PrimaryPlayType,PrimaryDirection,PrimaryAction,SecondaryPlayType,SecondaryDirection,SecondaryAction
Away,Offense,Bar,2pmi,To Basket,Cuts,N/A,Screen,N/A,N/A,N/A
Away,Defense,Bar,3pmi,No Dribble Jumper,PNR,Right,Off,Spot Ups,N/A,Shot
Away,Offense,Bar,2pmi,Hook Shot,Post,Left,Dribble Move,N/A,N/A,N/A
Away,Defense,Bar,3pmi,No Dribble Jumper,Post,Right,Dribble Move,Spot Ups,N/A,Shot
Away,Offense,Bar,Foul,To Basket,Off Screens,Left,Flare,N/A,N/A,N/A
Away,Defense,Bar,Turnover,N/A,Post,Right,Dribble Move,N/A,N/A,N/A
Away,Offense,Bar,Turnover,N/A,Transition,N/A,N/A,N/A,N/A,N/A
Away,Defense,Bar,2pmi,Drop Step,Post,Left,Dribble Move,N/A,N/A,N/A
Away,Defense,Bar,3pMa,No Dribble Jumper,Spot Ups,N/A,Shot,N/A,N/A,N/A
Away,Offense,Bar,,To Basket,PNR,Right,Off,N/A,N/A,N/A
Away,Offense,Bar,3pmi,Dribble Jumper,Spot Ups,Straight,Drive,N/A,N/A,N/A
Away,Offense,Bar,2pmi,To Basket,Cuts,N/A,Basket,N/A,N/A,N/A
Away,Defense,Bar,3pMa,No Dribble Jumper,Spot Ups,N/A,Shot,N/A,N/A,N/A
Away,Offense,Bar,2pMa,To Basket,Cuts,N/A,Basket,N/A,N/A,N/A
Away,Defense,Bar,3pMa,No Dribble Jumper,Spot Ups,N/A,Shot,N/A,N/A,N/A
Away,Offense,Bar,Turnover,N/A,Post,Middle,Face Up,N/A,N/A,N/A
Away,Defense,Bar,2pMa,To Basket,Cuts,N/A,Screen,N/A,N/A,N/A
Away,Offense,Bar,2pmi,Dribble Jumper,Spot Ups,Right,Drive,N/A,N/A,N/A
Away,Defense,Bar,2pmi,To Basket,Transition,N/A,Right Wing,N/A,N/A,N/A
Away,Offense,Bar,Turnover,N/A,Transition,N/A,Ball Handler,N/A,N/A,N/A
Away,Defense,Bar,2pMa,To Basket,Cuts,N/A,Flash,N/A,N/A,N/A
Away,Offense,Bar,Turnover,N/A,Spot Ups,Left,Drive,N/A,N/A,N/A
Away,Defense,Bar,3pMa,Dribble Jumper,PNR,Right,Off,N/A,N/A,N/A
Away,Offense,Bar,2pmi,To Basket,Off Screens,Left,Flare,N/A,N/A,N/A
Away,Defense,Bar,Foul,To Basket,Cuts,N/A,Basket,N/A,N/A,N/A
Away,Offense,Bar,3pmi,No Dribble Jumper,PNR,High,Off,Spot Ups,N/A,Shot
Away,Defense,Bar,3pmi,No Dribble Jumper,Transition,N/A,Left Wing,N/A,N/A,N/A
Away,Offense,Bar,2pmi,To Basket,Transition,N/A,Ball Handler,N/A,N/A,N/A
Away,Defense,Bar,2pMa,To Basket,Cuts,N/A,Screen,N/A,N/A,N/A
Away,Offense,Bar,2pMa,To Basket,Spot Ups,Right,Drive,N/A,N/A,N/A
Away,Defense,Bar,Turnover,N/A,Misc,N/A,N/A,N/A,N/A,N/A
Away,Offense,Bar,Turnover,N/A,Transition,N/A,Right Wing,N/A,N/A,N/A
Away,Defense,Bar,3pMa,No Dribble Jumper,Off Screens,Right,Straight,N/A,N/A,N/A
Away,Offense,Bar,3pMa,No Dribble Jumper,PNR,Right,Away,Spot Ups,N/A,Shot
Away,Defense,Bar,2pMa,To Basket,Cuts,N/A,Screen,N/A,N/A,N/A
Away,Offense,Bar,2pmi,To Basket,Spot Ups,Right,Drive,N/A,N/A,N/A
Away,Defense,Bar,2pMa,To Basket,Transition,N/A,Left Wing,N/A,N/A,N/A
Away,Offense,Bar,2pmi,To Basket,Cuts,N/A,Flash,N/A,N/A,N/A
Away,Defense,Bar,Turnover,N/A,Transition,N/A,Ball Handler,N/A,N/A,N/A
Away,Offense,Bar,Foul,To Basket,Transition,N/A,Ball Handler,N/A,N/A,N/A
Away,Defense,Bar,2pMa,To Basket,PNR,Right,Off,N/A,N/A,N/A
Away,Offense,Bar,3pMa,No Dribble Jumper,Spot Ups,N/A,Shot,N/A,N/A,N/A
Away,Defense,Bar,3pmi,No Dribble Jumper,Spot Ups,N/A,Shot,N/A,N/A,N/A
Away,Offense,Bar,2pMa,To Basket,Cuts,N/A,Basket,N/A,N/A,N/A
Away,Defense,Bar,Turnover,N/A,Off Screens,Left,Straight,N/A,N/A,N/A
Away,Offense,Bar,Turnover,N/A,Misc,N/A,N/A,N/A,N/A,N/A
Away,Defense,Bar,2pMa,To Basket,Cuts,N/A,Screen,N/A,N/A,N/A
Away,Offense,Bar,2pmi,To Basket,Iso,Top,N/A,Spot Ups,Left,Drive
Away,Defense,Bar,3pmi,No Dribble Jumper,Off Screens,Left,Flare,N/A,N/A,N/A
Away,Offense,Bar,3pMa,No Dribble Jumper,PNR,High,Off,Spot Ups,N/A,Shot
Away,Defense,Bar,2pmi,To Basket,PNR,Left,Off,P&R Roll Man,N/A,Roll
Away,Offense,Bar,2pMa,To Basket,Cuts,N/A,Basket,N/A,N/A,N/A
Away,Defense,Bar,3pmi,No Dribble Jumper,PNR,Left,Off,Spot Ups,N/A,Shot
Away,Defense,Bar,Turnover,N/A,Misc,N/A,N/A,N/A,N/A,N/A
Away,Offense,Bar,,To Basket,PNR,Right,Away,Cuts,N/A,Basket
Away,Defense,Bar,2pmi,To Basket,Cuts,N/A,Basket,N/A,N/A,N/A
Away,Offense,Bar,3pmi,No Dribble Jumper,Off Screens,Left,Straight,N/A,N/A,N/A
Away,Defense,Bar,3pMa,No Dribble Jumper,Spot Ups,N/A,Shot,N/A,N/A,N/A
Away,Offense,Bar,,N/A,,N/A,N/A,N/A,N/A,N/A
Away,Defense,Bar,2pmi,Dribble Jumper,Spot Ups,Right,Drive,N/A,N/A,N/A
Away,Offense,Bar,2pmi,To Basket,Transition,N/A,Ball Handler,N/A,N/A,N/A
Away,Defense,Bar,Foul,No Dribble Jumper,Spot Ups,N/A,Shot,N/A,N/A,N/A
Away,Offense,Bar,2pmi,To Basket,Spot Ups,Right,Drive,N/A,N/A,N/A
Away,Defense,Bar,Turnover,N/A,Spot Ups,Right,Drive,N/A,N/A,N/A
Away,Offense,Bar,Turnover,N/A,Transition,N/A,Ball Handler,N/A,N/A,N/A
Away,Defense,Bar,2pmi,No Dribble Jumper,PNR,Right,Off,P&R Roll Man,N/A,Pop
Away,Offense,Bar,2pmi,Dribble Jumper,Off Screens,Right,Flare,N/A,N/A,N/A
Away,Defense,Bar,Turnover,To Basket,PNR,High,Off,P&R Roll Man,N/A,Roll
Away,Offense,Bar,2pMa,Dribble Jumper,Iso,Left,N/A,N/A,N/A,N/A
Away,Defense,Bar,Turnover,N/A,Misc,N/A,N/A,N/A,N/A,N/A
Away,Offense,Bar,2pmi,To Basket,Cuts,N/A,Basket,N/A,N/A,N/A
Away,Defense,Bar,Turnover,N/A,Spot Ups,Left,Drive,N/A,N/A,N/A
Away,Offense,Bar,2pMa,To Basket,Transition,N/A,Ball Handler,N/A,N/A,N/A
Away,Defense,Bar,Turnover,N/A,Misc,N/A,N/A,N/A,N/A,N/A
Away,Offense,Bar,2pMa,To Basket,Transition,N/A,First Middle,N/A,N/A,N/A
Away,Defense,Bar,2pmi,To Basket,Cuts,N/A,Basket,N/A,N/A,N/A
Away,Offense,Bar,2pmi,To Basket,Transition,N/A,Left Wing,N/A,N/A,N/A
Away,Defense,Bar,Turnover,N/A,Hand Offs,Left,Dribble,N/A,N/A,N/A
Away,Offense,Bar,2pmi,To Basket,Transition,N/A,Left Wing,N/A,N/A,N/A
Away,Defense,Bar,2pmi,Dribble Jumper,Spot Ups,Left,Drive,N/A,N/A,N/A
Away,Offense,Bar,2pMa,No Dribble Jumper,Off Screens,Left,Straight,N/A,N/A,N/A
Away,Defense,Bar,2pmi,To Basket,Spot Ups,Left,Drive,N/A,N/A,N/A
Away,Defense,Bar,2pMa,Dribble Jumper,Spot Ups,Right,Drive,N/A,N/A,N/A
Away,Offense,Bar,2pMa,To Basket,PNR,High,Away,N/A,N/A,N/A
Away,Defense,Bar,3pmi,No Dribble Jumper,Off Screens,Right,Flare,N/A,N/A,N/A
Away,Offense,Bar,3pmi,Dribble Jumper,Transition,N/A,Ball Handler,N/A,N/A,N/A
Away,Defense,Bar,Turnover,N/A,Iso,Right,N/A,Spot Ups,N/A,N/A
Away,Offense,Bar,3pmi,No Dribble Jumper,Spot Ups,N/A,Shot,N/A,N/A,N/A
Away,Defense,Bar,3pmi,No Dribble Jumper,Transition,N/A,Right Wing,N/A,N/A,N/A
Away,Offense,Bar,3pmi,No Dribble Jumper,Transition,N/A,Trailer,N/A,N/A,N/A
Away,Defense,Bar,3pmi,No Dribble Jumper,Spot Ups,N/A,Shot,N/A,N/A,N/A
Away,Offense,Bar,2pMa,To Basket,Spot Ups,Left,Drive,N/A,N/A,N/A
Away,Defense,Bar,Turnover,N/A,Iso,Right,N/A,N/A,N/A,N/A
Away,Offense,Bar,3pMa,No Dribble Jumper,Transition,N/A,Right Wing,N/A,N/A,N/A
Away,Defense,Bar,Turnover,N/A,Transition,N/A,Ball Handler,N/A,N/A,N/A
Away,Offense,Bar,2pmi,Dribble Jumper,Spot Ups,Left,Drive,N/A,N/A,N/A
Away,Offense,Bar,3pMa,No Dribble Jumper,Spot Ups,N/A,Shot,N/A,N/A,N/A
Away,Defense,Bar,3pmi,No Dribble Jumper,Transition,N/A,Left Wing,N/A,N/A,N/A
Away,Offense,Bar,2pMa,To Basket,Hand Offs,Right,Dribble,N/A,N/A,N/A
Away,Defense,Bar,2pMa,To Basket,Spot Ups,Right,Drive,N/A,N/A,N/A
Away,Offense,Bar,Turnover,N/A,Post,Left,Dribble Move,N/A,N/A,N/A
Away,Defense,Bar,2pMa,To Basket,Cuts,N/A,Basket,N/A,N/A,N/A
Away,Offense,Bar,Turnover,N/A,PNR,Right,Off,P&R Roll Man,Left,Pop
Away,Defense,Bar,3pmi,No Dribble Jumper,Off Screens,Left,N/A,N/A,N/A,N/A
Away,Offense,Bar,Turnover,N/A,Transition,N/A,Ball Handler,N/A,N/A,N/A
Away,Defense,Bar,Turnover,N/A,Spot Ups,Left,Drive,N/A,N/A,N/A
Away,Offense,Bar,Turnover,N/A,Post,Left,Dribble Move,N/A,N/A,N/A
Away,Defense,Bar,Turnover,N/A,Spot Ups,Left,Drive,N/A,N/A,N/A
Away,Offense,Bar,2pMa,To Basket,Hand Offs,Left,Dribble,N/A,N/A,N/A
Away,Defense,Bar,,To Basket,Transition,N/A,Ball Handler,N/A,N/A,N/A
Away,Offense,Bar,Foul,N/A,Iso,Right,N/A,N/A,N/A,N/A
Away,Defense,Bar,3pMa,No Dribble Jumper,Hand Offs,Left,Dribble,N/A,N/A,N/A
Away,Offense,Bar,Turnover,N/A,Hand Offs,Left,Dribble,N/A,N/A,N/A
Away,Defense,Bar,2pMa,To Basket,Transition,N/A,Ball Handler,N/A,N/A,N/A
Away,Offense,Bar,Turnover,N/A,Misc,N/A,N/A,N/A,N/A,N/A
Away,Defense,Bar,2pmi,To Basket,Transition,N/A,Ball Handler,N/A,N/A,N/A
Away,Offense,Bar,3pMa,No Dribble Jumper,Transition,N/A,Left Wing,N/A,N/A,N/A
Away,Defense,Bar,Turnover,N/A,Hand Offs,Left,Dribble,N/A,N/A,N/A
Away,Offense,Bar,3pMa,No Dribble Jumper,PNR,Right,Off,Spot Ups,N/A,Shot
Away,Defense,Bar,Turnover,N/A,PNR,High,Away,N/A,N/A,N/A
Away,Offense,Bar,Foul,To Basket,Spot Ups,Right,Drive,N/A,N/A,N/A
Away,Defense,Bar,2pMa,Dribble Jumper,Hand Offs,Left,Dribble,N/A,N/A,N/A
Away,Offense,Bar,Foul,Dribble Jumper,PNR,Right,Away,Spot Ups,Left,Drive
Away,Defense,Bar,2pMa,To Basket,Cuts,N/A,Basket,N/A,N/A,N/A
Away,Offense,Bar,Turnover,N/A,Misc,N/A,N/A,N/A,N/A,N/A
Away,Defense,Bar,3pMa,No Dribble Jumper,Spot Ups,N/A,Shot,N/A,N/A,N/A
Away,Offense,Bar,Turnover,N/A,PNR,Right,Off,P&R Roll Man,Right,Pop
Away,Defense,Bar,2pmi,Dribble Jumper,Hand Offs,Left,Dribble,N/A,N/A,N/A
Away,Offense,Bar,2pmi,To Basket,Transition,N/A,Ball Handler,N/A,N/A,N/A
Away,Defense,Bar,2pMa,To Basket,Cuts,N/A,Flash,N/A,N/A,N/A
Away,Offense,Bar,3pMa,Dribble Jumper,Misc,N/A,N/A,N/A,N/A,N/A
Away,Defense,Bar,Foul,N/A,Misc,N/A,N/A,N/A,N/A,N/A
Away,Offense,Bar,3pmi,No Dribble Jumper,Hand Offs,Left,Dribble,N/A,N/A,N/A
Away,Defense,Bar,Foul,N/A,Transition,N/A,Trailer,N/A,N/A,N/A
Away,Offense,Bar,3pMa,Dribble Jumper,Transition,N/A,Left Wing,N/A,N/A,N/A
Away,Defense,Bar,Foul,N/A,Misc,N/A,N/A,N/A,N/A,N/A
Away,Offense,Bar,3pmi,Dribble Jumper,PNR,Right,Off,N/A,N/A,N/A
