Home,Away,OffensivePossession,Outcome,ShotType,PrimaryPlayer,PrimaryPlayType,PrimaryDirection,PrimaryAction,SecondaryPlayer,SecondaryPlayType,SecondaryDirection,SecondaryAction
RIT,HOB,Hobart College Statesmen,Turnover,N/A,Pat Healy,Spot Ups,Left,Drive,N/A,N/A,N/A,N/A
RIT,HOB,Rochester Institute of Technology Tigers,2pmi,To Basket,Chase Dickens,Iso,Left,N/A,N/A,N/A,N/A,N/A
RIT,HOB,Hobart College Statesmen,3pmi,No Dribble Jumper,Isaiah Washington,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A
RIT,HOB,Hobart College Statesmen,2pmi,To Basket,Pat Healy,PNR,High,Off,N/A,N/A,N/A,N/A
RIT,HOB,Rochester Institute of Technology Tigers,2pMa,To Basket,Chase Dickens,PNR,Right,Off,Kenny Wilburn,P&R Roll Man,N/A,Roll
RIT,HOB,Hobart College Statesmen,2pMa,To Basket,Carter Meshanic,Spot Ups,Right,Drive,N/A,N/A,N/A,N/A
RIT,HOB,Rochester Institute of Technology Tigers,3pmi,No Dribble Jumper,Keegan Ocorr,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A
RIT,HOB,Hobart College Statesmen,Foul,To Basket,Ryan Lucey,Off Screens,Right,Straight,N/A,N/A,N/A,N/A
RIT,HOB,Rochester Institute of Technology Tigers,2pmi,Dribble Jumper,Kenny Wilburn,Iso,Top,N/A,N/A,N/A,N/A,N/A
RIT,HOB,Hobart College Statesmen,2pmi,To Basket,Aidan Rodgers,PNR,Right,Off,Carter Meshanic,Spot Ups,Left,Drive
RIT,HOB,Rochester Institute of Technology Tigers,3pMa,No Dribble Jumper,Chase Dickens,Off Screens,Left,Straight,N/A,N/A,N/A,N/A
RIT,HOB,Hobart College Statesmen,3pmi,No Dribble Jumper,Aidan Rodgers,Off Screens,Left,Flare,N/A,N/A,N/A,N/A
RIT,HOB,Rochester Institute of Technology Tigers,2pmi,Hook Shot,Kenny Wilburn,Post,Left,Dribble,N/A,N/A,N/A,N/A
RIT,HOB,Hobart College Statesmen,2pmi,Dribble Jumper,Isaiah Washington,Iso,Top,N/A,N/A,N/A,N/A,N/A
RIT,HOB,Rochester Institute of Technology Tigers,3pmi,Dribble Jumper,Chase Dickens,Transition,N/A,Left Wing,N/A,N/A,N/A,N/A
RIT,HOB,Hobart College Statesmen,Foul,To Basket,Isaiah Washington,Iso,Right,N/A,N/A,N/A,N/A,N/A
RIT,HOB,Rochester Institute of Technology Tigers,3pMa,Dribble Jumper,Brock Bowen,PNR,High,Off,N/A,N/A,N/A,N/A
RIT,HOB,Hobart College Statesmen,And1,Dribble Jumper,Isaiah Washington,Iso,Top,N/A,N/A,N/A,N/A,N/A
RIT,HOB,Rochester Institute of Technology Tigers,2pmi,No Dribble Jumper,Matt Caggiano,PNR,Left,Off,Kenny Wilburn,Spot Ups,N/A,Shot
RIT,HOB,Hobart College Statesmen,3pmi,No Dribble Jumper,Alex Moesch,PNR,High,Off,Ryan Lucey,Spot Ups,N/A,Shot
RIT,HOB,Hobart College Statesmen,3pmi,No Dribble Jumper,Aidan Rodgers,Iso,Left,N/A,Alex Moesch,Spot Ups,N/A,Shot
RIT,HOB,Rochester Institute of Technology Tigers,2pMa,To Basket,Mark Osime,PNR,High,Off,Josiah Turner,Cuts,N/A,Basket
RIT,HOB,Hobart College Statesmen,2pMa,To Basket,Alex Moesch,Spot Ups,Right,Drive,N/A,N/A,N/A,N/A
RIT,HOB,Rochester Institute of Technology Tigers,Turnover,N/A,Josiah Turner,Spot Ups,N/A,N/A,N/A,N/A,N/A,N/A
RIT,HOB,Hobart College Statesmen,2pMa,To Basket,Pat Healy,Transition,N/A,Ball Handler,N/A,N/A,N/A,N/A
RIT,HOB,Rochester Institute of Technology Tigers,Turnover,N/A,Luke Granto,Off Screens,Left,Flare,N/A,N/A,N/A,N/A
RIT,HOB,Hobart College Statesmen,2pmi,To Basket,Sam Pisanelli,Spot Ups,Left,Drive,N/A,N/A,N/A,N/A
RIT,HOB,Rochester Institute of Technology Tigers,3pmi,No Dribble Jumper,Matt Caggiano,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A
RIT,HOB,Hobart College Statesmen,2pmi,To Basket,Hunter Meshanic,Post,Right,N/A,Alex Moesch,Cuts,N/A,Flash
RIT,HOB,Rochester Institute of Technology Tigers,3pmi,No Dribble Jumper,Luke Granto,Transition,N/A,Right Wing,N/A,N/A,N/A,N/A
RIT,HOB,Hobart College Statesmen,2pMa,To Basket,Pat Healy,PNR,High,Away,N/A,N/A,N/A,N/A
RIT,HOB,Rochester Institute of Technology Tigers,3pmi,No Dribble Jumper,Josiah Turner,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A
RIT,HOB,Hobart College Statesmen,Turnover,N/A,Dorian Paki,Transition,N/A,Left Wing,N/A,N/A,N/A,N/A
RIT,HOB,Rochester Institute of Technology Tigers,3pmi,No Dribble Jumper,Matt Caggiano,Off Screens,Left,Straight,N/A,N/A,N/A,N/A
RIT,HOB,Hobart College Statesmen,3pMa,No Dribble Jumper,Alex Moesch,Hand Offs,Left,Dribble,N/A,N/A,N/A,N/A
RIT,HOB,Rochester Institute of Technology Tigers,Turnover,N/A,Matt Caggiano,PNR,High,Off,N/A,N/A,N/A,N/A
RIT,HOB,Hobart College Statesmen,Turnover,To Basket,Dorian Paki,Cuts,N/A,Flash,N/A,N/A,N/A,N/A
RIT,HOB,Rochester Institute of Technology Tigers,2pMa,To Basket,Mark Osime,Hand Offs,Top,Stationary,N/A,N/A,N/A,N/A
RIT,HOB,Hobart College Statesmen,Turnover,N/A,Matt Brand,Misc,N/A,N/A,N/A,N/A,N/A,N/A
RIT,HOB,Rochester Institute of Technology Tigers,Turnover,N/A,Jackson Otis,Misc,N/A,N/A,N/A,N/A,N/A,N/A
RIT,HOB,Hobart College Statesmen,2pMa,To Basket,Dorian Paki,Transition,N/A,Ball Handler,N/A,N/A,N/A,N/A
RIT,HOB,Rochester Institute of Technology Tigers,And1,To Basket,Brock Bowen,Iso,Right,N/A,Kenny Wilburn,Cuts,N/A,Flash
RIT,HOB,Hobart College Statesmen,2pMa,To Basket,Pat Healy,Iso,Top,N/A,N/A,N/A,N/A,N/A
RIT,HOB,Rochester Institute of Technology Tigers,Turnover,To Basket,Brock Bowen,PNR,Right,Away,Jackson Otis,P&R Roll Man,N/A,Slips
RIT,HOB,Hobart College Statesmen,Foul,To Basket,Isaiah Washington,Cuts,N/A,Basket,N/A,N/A,N/A,N/A
RIT,HOB,Rochester Institute of Technology Tigers,Foul,To Basket,Keegan Ocorr,PNR,High,Off,Josiah Turner,Cuts,N/A,Screen
RIT,HOB,Hobart College Statesmen,Turnover,N/A,Matt Brand,Misc,N/A,N/A,N/A,N/A,N/A,N/A
RIT,HOB,Rochester Institute of Technology Tigers,And1,To Basket,Josiah Turner,Post,Left,Dribble,N/A,N/A,N/A,N/A
RIT,HOB,Hobart College Statesmen,2pMa,Dribble Jumper,Ryan Lucey,Iso,Right,N/A,N/A,N/A,N/A,N/A
RIT,HOB,Rochester Institute of Technology Tigers,3pmi,No Dribble Jumper,Josiah Turner,Post,Right,Face Up,Keegan Ocorr,Spot Ups,N/A,Shot
RIT,HOB,Hobart College Statesmen,Turnover,To Basket,Carter Meshanic,Cuts,N/A,Flash,N/A,N/A,N/A,N/A
RIT,HOB,Rochester Institute of Technology Tigers,2pmi,To Basket,Keegan Ocorr,PNR,High,Off,Josiah Turner,P&R Roll Man,N/A,Pop
RIT,HOB,Rochester Institute of Technology Tigers,3pmi,Dribble Jumper,Chase Dickens,Iso,Top,N/A,N/A,N/A,N/A,N/A
RIT,HOB,Hobart College Statesmen,And1,To Basket,Aidan Rodgers,PNR,Left,Off,N/A,N/A,N/A,N/A
RIT,HOB,Rochester Institute of Technology Tigers,3pmi,Dribble Jumper,Chase Dickens,Off Screens,Left,Straight,N/A,N/A,N/A,N/A
RIT,HOB,Hobart College Statesmen,2pmi,Dribble Jumper,Aidan Rodgers,PNR,Right,Off,Gabriel Bergeron,Spot Ups,Right,Drive
RIT,HOB,Rochester Institute of Technology Tigers,Turnover,N/A,Zac Ditzel,Misc,N/A,N/A,N/A,N/A,N/A,N/A
RIT,HOB,Hobart College Statesmen,3pmi,No Dribble Jumper,Gabriel Bergeron,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A
RIT,HOB,Hobart College Statesmen,Foul,To Basket,Aidan Rodgers,PNR,High,Away,Ryan Lucey,Cuts,N/A,Basket
RIT,HOB,Rochester Institute of Technology Tigers,3pmi,No Dribble Jumper,Josiah Turner,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A
RIT,HOB,Hobart College Statesmen,Turnover,N/A,Hunter Meshanic,Misc,N/A,N/A,N/A,N/A,N/A,N/A
RIT,HOB,Rochester Institute of Technology Tigers,2pMa,To Basket,Matt Caggiano,PNR,High,Off,Keegan Ocorr,Spot Ups,Right,Drive
RIT,HOB,Hobart College Statesmen,2pmi,No Dribble Jumper,Pat Healy,PNR,High,Off,Ryan Lucey,P&R Roll Man,N/A,Pop
RIT,HOB,Hobart College Statesmen,2pMa,Dribble Jumper,Pat Healy,PNR,High,Away,N/A,N/A,N/A,N/A
RIT,HOB,Rochester Institute of Technology Tigers,Turnover,N/A,Chase Dickens,PNR,High,Away,N/A,N/A,N/A,N/A
RIT,HOB,Rochester Institute of Technology Tigers,3pmi,Dribble Jumper,Keegan Ocorr,Misc,N/A,N/A,N/A,N/A,N/A,N/A
RIT,HOB,Rochester Institute of Technology Tigers,2pMa,Drop Step,Kenny Wilburn,Post,Right,Dribble,N/A,N/A,N/A,N/A
RIT,HOB,Hobart College Statesmen,2pMa,To Basket,Pat Healy,Off Screens,Right,Flare,N/A,N/A,N/A,N/A
RIT,HOB,Rochester Institute of Technology Tigers,3pmi,No Dribble Jumper,Jackson Otis,Off Screens,Right,Straight,N/A,N/A,N/A,N/A
RIT,HOB,Hobart College Statesmen,2pMa,To Basket,Aidan Rodgers,Transition,N/A,Ball Handler,N/A,N/A,N/A,N/A
RIT,HOB,Rochester Institute of Technology Tigers,3pMa,No Dribble Jumper,Keegan Ocorr,PNR,High,Off,Brock Bowen,Spot Ups,N/A,Shot
RIT,HOB,Hobart College Statesmen,2pMa,To Basket,Ryan Lucey,Iso,Top,N/A,N/A,N/A,N/A,N/A
RIT,HOB,Rochester Institute of Technology Tigers,And1,To Basket,Kenny Wilburn,Iso,Top,N/A,N/A,N/A,N/A,N/A
RIT,HOB,Hobart College Statesmen,2pmi,Dribble Jumper,Aidan Rodgers,Iso,Top,N/A,N/A,N/A,N/A,N/A
