Site,PossesionType,Opponent,Outcome,ShotType,PrimaryPlayType,PrimaryDirection,PrimaryAction,SecondaryPlayType,SecondaryDirection,SecondaryAction
Away,Offense,NAZ,2pMa,Dribble Jumper,Spot Ups,Straight,Drive,N/A,N/A,N/A
Away,Defense,NAZ,2pmi,To Basket,Spot Ups,Left,Drive,N/A,N/A,N/A
Away,Defense,NAZ,3pmi,No Dribble Jumper,Spot Ups,N/A,Shot,N/A,N/A,N/A
Away,Offense,NAZ,Foul,To Basket,Iso,Top,N/A,N/A,N/A,N/A
Away,Defense,NAZ,Foul,To Basket,PNR,Left,Away,Cuts,N/A,Basket
Away,Offense,NAZ,Turnover,N/A,Post,Right,Dribble Move,N/A,N/A,N/A
Away,Defense,NAZ,3pmi,No Dribble Jumper,Spot Ups,N/A,Shot,N/A,N/A,N/A
Away,Offense,NAZ,2pMa,To Basket,Transition,N/A,First Middle,N/A,N/A,N/A
Away,Defense,NAZ,2pmi,Dribble Jumper,PNR,Left,Off,N/A,N/A,N/A
Away,Offense,NAZ,2pMa,Dribble Jumper,Iso,Top,N/A,N/A,N/A,N/A
Away,Defense,NAZ,Foul,To Basket,PNR,Left,Off,N/A,N/A,N/A
Away,Offense,NAZ,3pMa,Dribble Jumper,Hand Offs,Top,Dribble,N/A,N/A,N/A
Away,Defense,NAZ,2pMa,To Basket,Iso,Right,N/A,N/A,N/A,N/A
Away,Offense,NAZ,2pmi,No Dribble Jumper,Spot Ups,N/A,Shot,N/A,N/A,N/A
Away,Offense,NAZ,2pMa,To Basket,Cuts,N/A,Basket,N/A,N/A,N/A
Away,Defense,NAZ,2pmi,Dribble Jumper,PNR,Left,Off,N/A,N/A,N/A
Away,Offense,NAZ,2pMa,To Basket,Transition,N/A,First Middle,N/A,N/A,N/A
Away,Defense,NAZ,Turnover,N/A,PNR,Left,Off,Spot Ups,Left,Drive
Away,Offense,NAZ,3pmi,No Dribble Jumper,Spot Ups,N/A,Shot,N/A,N/A,N/A
Away,Defense,NAZ,3pMa,No Dribble Jumper,Transition,N/A,Trailer,N/A,N/A,N/A
Away,Offense,NAZ,2pMa,To Basket,PNR,High,Off,N/A,N/A,N/A
Away,Defense,NAZ,3pMa,No Dribble Jumper,Spot Ups,N/A,Shot,N/A,N/A,N/A
Away,Offense,NAZ,2pMa,To Basket,Post,Left,N/A,Spot Ups,Left,Drive
Away,Defense,NAZ,2pMa,To Basket,Iso,Top,N/A,Cuts,N/A,Basket
Away,Offense,NAZ,2pmi,To Basket,PNR,High,Away,N/A,N/A,N/A
Away,Defense,NAZ,3pmi,No Dribble Jumper,Transition,N/A,Left Wing,N/A,N/A,N/A
Away,Offense,NAZ,2pmi,Dribble Jumper,PNR,Left,Off,N/A,N/A,N/A
Away,Defense,NAZ,2pmi,To Basket,Hand Offs,Top,Dribble,N/A,N/A,N/A
Away,Defense,NAZ,3pmi,Dribble Jumper,Spot Ups,Left,Drive,N/A,N/A,N/A
Away,Offense,NAZ,3pmi,No Dribble Jumper,PNR,Left,N/A,Spot Ups,N/A,Shot
Away,Defense,NAZ,3pmi,No Dribble Jumper,Spot Ups,N/A,Shot,N/A,N/A,N/A
Away,Offense,NAZ,2pmi,To Basket,Cuts,N/A,Basket,N/A,N/A,N/A
Away,Defense,NAZ,3pMa,No Dribble Jumper,Transition,N/A,Right Wing,N/A,N/A,N/A
Away,Offense,NAZ,Turnover,N/A,PNR,Left,Off,Spot Ups,Right,Drive
Away,Defense,NAZ,Foul,To Basket,Iso,Top,N/A,N/A,N/A,N/A
Away,Offense,NAZ,2pMa,To Basket,PNR,Left,Off,Cuts,N/A,Basket
Away,Defense,NAZ,Foul,To Basket,PNR,Left,Off,N/A,N/A,N/A
Away,Offense,NAZ,3pmi,No Dribble Jumper,PNR,High,Off,Spot Ups,N/A,Shot
Away,Defense,NAZ,2pmi,To Basket,Transition,N/A,Ball Handler,N/A,N/A,N/A
Away,Offense,NAZ,2pMa,To Basket,Transition,N/A,Left Wing,N/A,N/A,N/A
Away,Defense,NAZ,2pMa,To Basket,Iso,Left,N/A,N/A,N/A,N/A
Away,Offense,NAZ,And1,To Basket,Cuts,N/A,Basket,N/A,N/A,N/A
Away,Defense,NAZ,3pMa,No Dribble Jumper,Off Screens,Right,Straight,N/A,N/A,N/A
Away,Offense,NAZ,Turnover,N/A,Transition,N/A,Right Wing,N/A,N/A,N/A
Away,Defense,NAZ,3pmi,No Dribble Jumper,Iso,Right,N/A,Spot Ups,N/A,Shot
Away,Offense,NAZ,2pmi,To Basket,Spot Ups,Left,Drive,N/A,N/A,N/A
Away,Defense,NAZ,Turnover,To Basket,PNR,High,Off,N/A,N/A,N/A
Away,Offense,NAZ,2pMa,To Basket,PNR,High,Off,N/A,N/A,N/A
Away,Defense,NAZ,2pMa,To Basket,PNR,Left,Off,N/A,N/A,N/A
Away,Offense,NAZ,2pmi,To Basket,PNR,Left,Away,P&R Roll Man,N/A,Roll
Away,Defense,NAZ,Turnover,N/A,Transition,N/A,Ball Handler,N/A,N/A,N/A
Away,Offense,NAZ,2pmi,To Basket,Iso,Left,N/A,N/A,N/A,N/A
Away,Defense,NAZ,2pmi,To Basket,Iso,Right,N/A,N/A,N/A,N/A
Away,Offense,NAZ,2pmi,Dribble Jumper,PNR,High,Off,N/A,N/A,N/A
Away,Defense,NAZ,3pMa,No Dribble Jumper,Transition,N/A,Trailer,N/A,N/A,N/A
Away,Offense,NAZ,2pMa,Dribble Jumper,Iso,Top,N/A,N/A,N/A,N/A
Away,Defense,NAZ,2pmi,To Basket,Off Screens,Left,Straight,N/A,N/A,N/A
Away,Offense,NAZ,2pmi,Dribble Jumper,Iso,Right,N/A,N/A,N/A,N/A
Away,Defense,NAZ,2pMa,To Basket,Hand Offs,Top,Dribble,N/A,N/A,N/A
Away,Offense,NAZ,2pmi,To Basket,PNR,Right,Away,Spot Ups,Left,Drive
Away,Offense,NAZ,2pmi,No Dribble Jumper,Spot Ups,N/A,Shot,N/A,N/A,N/A
Away,Defense,NAZ,3pMa,No Dribble Jumper,Iso,Top,N/A,Spot Ups,N/A,Shot
Away,Offense,NAZ,2pmi,To Basket,Cuts,N/A,Basket,N/A,N/A,N/A
Away,Defense,NAZ,3pMa,No Dribble Jumper,Hand Offs,Right,Dribble,N/A,N/A,N/A
Away,Offense,NAZ,Turnover,N/A,Iso,Top,N/A,N/A,N/A,N/A
Away,Defense,NAZ,3pMa,No Dribble Jumper,PNR,Left,Off,Spot Ups,N/A,Shot
Away,Offense,NAZ,2pMa,To Basket,Post,Left,Dribble Move,N/A,N/A,N/A
Away,Defense,NAZ,2pmi,Dribble Jumper,Iso,Left,N/A,N/A,N/A,N/A
Away,Defense,NAZ,3pMa,No Dribble Jumper,PNR,High,Away,P&R Roll Man,N/A,Pop
Away,Offense,NAZ,2pmi,Dribble Jumper,PNR,Right,Off,N/A,N/A,N/A
Away,Defense,NAZ,3pmi,No Dribble Jumper,Hand Offs,Right,Dribble,N/A,N/A,N/A
Away,Offense,NAZ,3pmi,Dribble Jumper,Misc,N/A,N/A,N/A,N/A,N/A
Away,Defense,NAZ,2pmi,To Basket,Post,Left,Dribble Move,Cuts,N/A,Flash
Away,Offense,NAZ,3pmi,No Dribble Jumper,Off Screens,Left,Straight,N/A,N/A,N/A
Away,Defense,NAZ,2pMa,Dribble Jumper,Iso,Top,N/A,N/A,N/A,N/A
Away,Offense,NAZ,2pMa,To Basket,Cuts,N/A,Flash,N/A,N/A,N/A
Away,Defense,NAZ,2pmi,To Basket,PNR,Left,Off,N/A,N/A,N/A
Away,Defense,NAZ,3pMa,No Dribble Jumper,Iso,Top,N/A,Spot Ups,N/A,Shot
Away,Offense,NAZ,2pMa,To Basket,PNR,High,Off,Spot Ups,Left,Drive
Away,Defense,NAZ,3pmi,No Dribble Jumper,PNR,Left,Off,Spot Ups,N/A,Shot
Away,Offense,NAZ,2pMa,To Basket,Transition,N/A,Ball Handler,N/A,N/A,N/A
Away,Defense,NAZ,3pmi,No Dribble Jumper,PNR,Left,Off,Spot Ups,N/A,Shot
Away,Offense,NAZ,3pMa,Dribble Jumper,Transition,N/A,Left Wing,N/A,N/A,N/A
Away,Defense,NAZ,2pmi,Dribble Jumper,Hand Offs,Right,Dribble,N/A,N/A,N/A
Away,Offense,NAZ,2pmi,To Basket,Cuts,N/A,Flash,N/A,N/A,N/A
Away,Defense,NAZ,2pMa,To Basket,Hand Offs,Top,Dribble,N/A,N/A,N/A
Away,Offense,NAZ,2pmi,Dribble Jumper,PNR,High,Off,N/A,N/A,N/A
Away,Defense,NAZ,3pMa,No Dribble Jumper,Spot Ups,N/A,Shot,N/A,N/A,N/A
