Site,PossesionType,Opponent,Outcome,ShotType,PrimaryPlayType,PrimaryDirection,PrimaryAction,SecondaryPlayType,SecondaryDirection,SecondaryAction
Away,Defense,SKD,3pmi,No Dribble Jumper,Off Screens,Left,Flare,N/A,N/A,N/A
Away,Offense,SKD,3pMa,No Dribble Jumper,Spot Ups,N/A,Shot,N/A,N/A,N/A
Away,Defense,SKD,Turnover,N/A,Misc,N/A,N/A,N/A,N/A,N/A
Away,Offense,SKD,2pMa,To Basket,Spot Ups,Right,Drive,N/A,N/A,N/A
Away,Defense,SKD,3pmi,No Dribble Jumper,PNR,Left,Away,Spot Ups,N/A,Shot
Away,Defense,SKD,2pmi,Dribble Jumper,Hand Offs,Top,Dribble,N/A,N/A,N/A
Away,Offense,SKD,2pMa,To Basket,Transition,N/A,Ball Handler,N/A,N/A,N/A
Away,Defense,SKD,3pmi,No Dribble Jumper,Spot Ups,N/A,Shot,N/A,N/A,N/A
Away,Offense,SKD,2pMa,No Dribble Jumper,Spot Ups,N/A,Shot,N/A,N/A,N/A
Away,Defense,SKD,3pmi,No Dribble Jumper,Spot Ups,N/A,Shot,N/A,N/A,N/A
Away,Offense,SKD,3pmi,No Dribble Jumper,Transition,N/A,Left Wing,N/A,N/A,N/A
Away,Defense,SKD,Turnover,N/A,PNR,High,Off,N/A,N/A,N/A
Away,Offense,SKD,2pmi,Dribble Jumper,Off Screens,Left,Straight,N/A,N/A,N/A
Away,Defense,SKD,2pmi,Dribble Jumper,Spot Ups,Right,Drive,N/A,N/A,N/A
Away,Offense,SKD,3pmi,No Dribble Jumper,Off Screens,Left,Straight,N/A,N/A,N/A
Away,Defense,SKD,2pmi,To Basket,Transition,N/A,Right Wing,N/A,N/A,N/A
Away,Offense,SKD,3pMa,No Dribble Jumper,Transition,N/A,Left Wing,N/A,N/A,N/A
Away,Defense,SKD,Turnover,N/A,Misc,N/A,N/A,N/A,N/A,N/A
Away,Offense,SKD,Turnover,N/A,Misc,N/A,N/A,N/A,N/A,N/A
Away,Defense,SKD,Turnover,N/A,Transition,N/A,Ball Handler,N/A,N/A,N/A
Away,Offense,SKD,2pMa,To Basket,Spot Ups,Left,Drive,N/A,N/A,N/A
Away,Defense,SKD,3pmi,No Dribble Jumper,PNR,High,Off,Spot Ups,N/A,Shot
Away,Offense,SKD,3pmi,No Dribble Jumper,Transition,N/A,Trailer,N/A,N/A,N/A
Away,Defense,SKD,2pmi,Hook Shot,Post,Right,Dribble Move,N/A,N/A,N/A
Away,Offense,SKD,3pmi,No Dribble Jumper,Transition,N/A,Right Wing,N/A,N/A,N/A
Away,Defense,SKD,,To Basket,Transition,N/A,Ball Handler,N/A,N/A,N/A
Away,Defense,SKD,2pmi,Dribble Jumper,PNR,Left,Off,N/A,N/A,N/A
Away,Offense,SKD,2pmi,To Basket,Transition,N/A,Ball Handler,N/A,N/A,N/A
Away,Defense,SKD,Turnover,N/A,PNR,High,Off,Spot Ups,Left,Drive
Away,Offense,SKD,3pmi,No Dribble Jumper,Spot Ups,N/A,Shot,N/A,N/A,N/A
Away,Offense,SKD,2pMa,To Basket,Cuts,N/A,Flash,N/A,N/A,N/A
Away,Defense,SKD,Turnover,N/A,PNR,High,Off,N/A,N/A,N/A
Away,Offense,SKD,2pmi,To Basket,PNR,Left,Off,N/A,N/A,N/A
Away,Defense,SKD,Turnover,N/A,Transition,N/A,Right Wing,N/A,N/A,N/A
Away,Offense,SKD,2pmi,To Basket,Transition,N/A,Left Wing,N/A,N/A,N/A
Away,Defense,SKD,2pMa,To Basket,Transition,N/A,Ball Handler,N/A,N/A,N/A
Away,Offense,SKD,Foul,No Dribble Jumper,Off Screens,Left,Straight,N/A,N/A,N/A
Away,Defense,SKD,3pMa,No Dribble Jumper,Off Screens,Left,Straight,N/A,N/A,N/A
Away,Offense,SKD,Turnover,N/A,Misc,N/A,N/A,N/A,N/A,N/A
Away,Defense,SKD,2pMa,Dribble Jumper,Off Screens,Right,Straight,N/A,N/A,N/A
Away,Offense,SKD,3pmi,No Dribble Jumper,Spot Ups,N/A,Shot,N/A,N/A,N/A
Away,Defense,SKD,2pMa,To Basket,PNR,High,Away,N/A,N/A,N/A
Away,Offense,SKD,3pmi,No Dribble Jumper,PNR,Left,Off,Spot Ups,N/A,Shot
Away,Offense,SKD,3pmi,No Dribble Jumper,Spot Ups,N/A,Shot,N/A,N/A,N/A
Away,Defense,SKD,3pmi,Dribble Jumper,Iso,Top,N/A,N/A,N/A,N/A
Away,Defense,SKD,3pmi,No Dribble Jumper,Spot Ups,N/A,Shot,N/A,N/A,N/A
Away,Offense,SKD,2pmi,To Basket,Transition,N/A,Left Wing,N/A,N/A,N/A
Away,Offense,SKD,3pmi,No Dribble Jumper,Off Screens,Left,Straight,N/A,N/A,N/A
Away,Offense,SKD,3pmi,No Dribble Jumper,Spot Ups,N/A,Shot,N/A,N/A,N/A
Away,Defense,SKD,2pmi,Dribble Jumper,PNR,High,Off,N/A,N/A,N/A
Away,Offense,SKD,2pmi,To Basket,Spot Ups,Left,Drive,N/A,N/A,N/A
Away,Defense,SKD,3pmi,No Dribble Jumper,Off Screens,Right,Straight,N/A,N/A,N/A
Away,Offense,SKD,3pmi,No Dribble Jumper,PNR,High,Off,Spot Ups,N/A,Shot
Away,Defense,SKD,3pmi,No Dribble Jumper,Spot Ups,N/A,Shot,N/A,N/A,N/A
Away,Offense,SKD,Foul,To Basket,PNR,Left,Off,Spot Ups,Left,Drive
Away,Defense,SKD,Turnover,N/A,PNR,High,Off,N/A,N/A,N/A
Away,Offense,SKD,2pmi,Dribble Jumper,Off Screens,Left,Straight,N/A,N/A,N/A
Away,Defense,SKD,3pmi,No Dribble Jumper,PNR,High,Off,Spot Ups,N/A,Shot
Away,Offense,SKD,Turnover,N/A,Misc,N/A,N/A,N/A,N/A,N/A
Away,Defense,SKD,3pMa,No Dribble Jumper,Transition,N/A,Left Wing,N/A,N/A,N/A
Away,Offense,SKD,Foul,N/A,Spot Ups,Left,Drive,N/A,N/A,N/A
Away,Defense,SKD,2pmi,Dribble Jumper,Spot Ups,Right,Drive,N/A,N/A,N/A
Away,Offense,SKD,3pMa,No Dribble Jumper,Transition,N/A,Left Wing,N/A,N/A,N/A
Away,Defense,SKD,And1,To Basket,Misc,N/A,N/A,N/A,N/A,N/A
Away,Offense,SKD,3pMa,No Dribble Jumper,Off Screens,Left,Straight,N/A,N/A,N/A
Away,Defense,SKD,Turnover,N/A,PNR,High,Off,N/A,N/A,N/A
Away,Offense,SKD,2pmi,To Basket,Spot Ups,Left,Drive,N/A,N/A,N/A
Away,Defense,SKD,Foul,To Basket,Transition,N/A,Leak Outs,N/A,N/A,N/A
Away,Offense,SKD,3pMa,No Dribble Jumper,Spot Ups,N/A,Shot,N/A,N/A,N/A
Away,Defense,SKD,2pmi,To Basket,PNR,High,Off,N/A,N/A,N/A
Away,Offense,SKD,3pMa,No Dribble Jumper,PNR,Left,N/A,Spot Ups,N/A,Shot
Away,Defense,SKD,And1,To Basket,Cuts,N/A,Basket,N/A,N/A,N/A
Away,Offense,SKD,3pmi,No Dribble Jumper,Spot Ups,N/A,Shot,N/A,N/A,N/A
Away,Defense,SKD,2pMa,To Basket,Transition,N/A,Ball Handler,N/A,N/A,N/A
Away,Offense,SKD,3pMa,No Dribble Jumper,Transition,N/A,Left Wing,N/A,N/A,N/A
Away,Defense,SKD,2pmi,To Basket,PNR,High,Off,P&R Roll Man,N/A,Roll
Away,Offense,SKD,2pmi,Dribble Jumper,PNR,High,Off,N/A,N/A,N/A
Away,Defense,SKD,2pmi,To Basket,PNR,High,Off,N/A,N/A,N/A
Away,Defense,SKD,2pMa,Dribble Jumper,PNR,Right,Off,N/A,N/A,N/A
Away,Offense,SKD,Foul,To Basket,Cuts,N/A,Basket,N/A,N/A,N/A
Away,Defense,SKD,2pMa,To Basket,PNR,High,Off,N/A,N/A,N/A
Away,Offense,SKD,2pmi,To Basket,PNR,Right,Away,N/A,N/A,N/A
Away,Offense,SKD,3pmi,No Dribble Jumper,Spot Ups,N/A,Shot,N/A,N/A,N/A
Away,Defense,SKD,3pMa,No Dribble Jumper,Spot Ups,N/A,Shot,N/A,N/A,N/A
Away,Offense,SKD,3pMa,No Dribble Jumper,Off Screens,Right,Straight,N/A,N/A,N/A
Away,Defense,SKD,Turnover,N/A,Spot Ups,Left,Drive,N/A,N/A,N/A
Away,Offense,SKD,2pmi,To Basket,Cuts,N/A,Flash,N/A,N/A,N/A
Away,Defense,SKD,3pMa,Dribble Jumper,Transition,N/A,Ball Handler,N/A,N/A,N/A
Away,Offense,SKD,3pmi,Dribble Jumper,PNR,High,Off,N/A,N/A,N/A
Away,Defense,SKD,3pmi,Dribble Jumper,Transition,N/A,Ball Handler,N/A,N/A,N/A
Away,Offense,SKD,2pmi,To Basket,Transition,N/A,Right Wing,N/A,N/A,N/A
Away,Defense,SKD,2pmi,Dribble Jumper,PNR,High,Off,N/A,N/A,N/A
Away,Offense,SKD,2pmi,To Basket,Spot Ups,Left,Drive,N/A,N/A,N/A
Away,Defense,SKD,2pMa,To Basket,Cuts,N/A,Basket,N/A,N/A,N/A
Away,Offense,SKD,Turnover,N/A,Misc,N/A,N/A,N/A,N/A,N/A
Away,Defense,SKD,,To Basket,Transition,N/A,Ball Handler,N/A,N/A,N/A
Away,Offense,SKD,2pmi,To Basket,PNR,High,Off,Spot Ups,Left,Drive
Away,Defense,SKD,Turnover,N/A,Misc,N/A,N/A,N/A,N/A,N/A
Away,Offense,SKD,2pMa,To Basket,Transition,N/A,Ball Handler,N/A,N/A,N/A
Away,Defense,SKD,2pMa,No Dribble Jumper,Spot Ups,N/A,Shot,N/A,N/A,N/A
Away,Offense,SKD,2pmi,To Basket,Transition,N/A,Left Wing,N/A,N/A,N/A
Away,Defense,SKD,2pMa,To Basket,PNR,High,Off,P&R Roll Man,N/A,Roll
Away,Offense,SKD,3pMa,No Dribble Jumper,Spot Ups,N/A,Shot,N/A,N/A,N/A
Away,Defense,SKD,2pMa,To Basket,Transition,N/A,Left Wing,N/A,N/A,N/A
Away,Offense,SKD,Foul,To Basket,Post,Right,Face Up,Cuts,N/A,Basket
Away,Defense,SKD,2pmi,To Basket,PNR,High,Off,P&R Roll Man,N/A,Roll
Away,Offense,SKD,Turnover,N/A,Transition,N/A,Left Wing,N/A,N/A,N/A
Away,Defense,SKD,2pMa,To Basket,Hand Offs,Left,Stationary,N/A,N/A,N/A
Away,Offense,SKD,2pMa,No Dribble Jumper,Spot Ups,N/A,Shot,N/A,N/A,N/A
Away,Defense,SKD,2pMa,To Basket,Spot Ups,Left,Drive,N/A,N/A,N/A
Away,Offense,SKD,2pMa,To Basket,Transition,N/A,Left Wing,N/A,N/A,N/A
Away,Defense,SKD,2pmi,Dribble Jumper,Spot Ups,Right,Drive,N/A,N/A,N/A
Away,Defense,SKD,Turnover,To Basket,PNR,Left,Away,Cuts,N/A,Basket
Away,Offense,SKD,And1,To Basket,Transition,N/A,Ball Handler,N/A,N/A,N/A
Away,Defense,SKD,2pmi,Dribble Jumper,PNR,High,Off,N/A,N/A,N/A
Away,Offense,SKD,3pmi,No Dribble Jumper,Spot Ups,N/A,Shot,N/A,N/A,N/A
Away,Defense,SKD,2pMa,To Basket,PNR,High,Off,N/A,N/A,N/A
Away,Offense,SKD,2pmi,To Basket,Cuts,N/A,Screen,N/A,N/A,N/A
Away,Defense,SKD,2pmi,To Basket,Transition,N/A,Ball Handler,N/A,N/A,N/A
Away,Offense,SKD,2pmi,To Basket,Transition,N/A,Right Wing,N/A,N/A,N/A
Away,Defense,SKD,2pmi,To Basket,PNR,Right,Off,N/A,N/A,N/A
Away,Defense,SKD,3pmi,No Dribble Jumper,Off Screens,Left,Straight,N/A,N/A,N/A
Away,Offense,SKD,2pMa,To Basket,Transition,N/A,Right Wing,N/A,N/A,N/A
Away,Defense,SKD,2pmi,Dribble Jumper,Hand Offs,Left,Dribble,N/A,N/A,N/A
Away,Offense,SKD,3pmi,No Dribble Jumper,Spot Ups,N/A,Shot,N/A,N/A,N/A
Away,Defense,SKD,2pmi,To Basket,Post,Middle,Dribble Move,N/A,N/A,N/A
Away,Offense,SKD,Foul,To Basket,Post,Left,Dribble Move,N/A,N/A,N/A
Away,Defense,SKD,2pmi,To Basket,PNR,Left,Away,N/A,N/A,N/A
Away,Offense,SKD,3pMa,No Dribble Jumper,Off Screens,Right,Straight,N/A,N/A,N/A
Away,Defense,SKD,2pMa,Dribble Jumper,Spot Ups,Right,Drive,N/A,N/A,N/A
Away,Offense,SKD,2pmi,Dribble Jumper,Spot Ups,Right,Drive,N/A,N/A,N/A
Away,Defense,SKD,Turnover,N/A,Hand Offs,Left,Dribble,N/A,N/A,N/A
Away,Offense,SKD,Turnover,N/A,Misc,N/A,N/A,N/A,N/A,N/A
Away,Defense,SKD,2pMa,To Basket,Transition,N/A,Ball Handler,N/A,N/A,N/A
Away,Offense,SKD,Turnover,N/A,Spot Ups,Right,Drive,N/A,N/A,N/A
Away,Defense,SKD,3pmi,No Dribble Jumper,Spot Ups,N/A,Shot,N/A,N/A,N/A
Away,Defense,SKD,Foul,N/A,Misc,N/A,N/A,N/A,N/A,N/A
Away,Defense,SKD,Turnover,N/A,Misc,N/A,N/A,N/A,N/A,N/A
Away,Offense,SKD,Turnover,N/A,Misc,N/A,N/A,N/A,N/A,N/A
Away,Defense,SKD,2pMa,To Basket,Transition,N/A,Right Wing,N/A,N/A,N/A
Away,Offense,SKD,2pmi,To Basket,Spot Ups,Right,Drive,N/A,N/A,N/A
Away,Defense,SKD,Turnover,N/A,PNR,High,N/A,Spot Ups,Right,Drive
Away,Offense,SKD,Turnover,N/A,PNR,High,Away,N/A,N/A,N/A
Away,Defense,SKD,Foul,To Basket,Spot Ups,Right,Drive,N/A,N/A,N/A
Away,Offense,SKD,3pmi,No Dribble Jumper,Off Screens,Left,Straight,N/A,N/A,N/A
Away,Defense,SKD,2pmi,To Basket,Cuts,N/A,Basket,N/A,N/A,N/A
Away,Offense,SKD,2pmi,To Basket,Transition,N/A,Right Wing,N/A,N/A,N/A
Away,Offense,SKD,Foul,N/A,Spot Ups,Left,Drive,N/A,N/A,N/A
Away,Defense,SKD,2pmi,Dribble Jumper,Spot Ups,Right,Drive,N/A,N/A,N/A
Away,Offense,SKD,,To Basket,Spot Ups,Left,Drive,N/A,N/A,N/A
Away,Defense,SKD,3pMa,No Dribble Jumper,Off Screens,Right,Straight,N/A,N/A,N/A
Away,Offense,SKD,2pmi,To Basket,PNR,High,Off,Spot Ups,Right,Drive
