Site,PossesionType,Opponent,Outcome,ShotType,PrimaryPlayType,PrimaryDirection,PrimaryAction,SecondaryPlayType,SecondaryDirection,SecondaryAction
Away,Offense,SJC,3pMa,No Dribble Jumper,Off Screens,Left,Straight,None,None,None
Away,Defense,SJC,2pmi,To Basket,Cuts,None,Screen,None,None,None
Away,Offense,SJC,3pMa,No Dribble Jumper,Spot Ups,None,Shot,None,None,None
Away,Defense,SJC,2pmi,To Basket,Post,Middle,Dribble Move,None,None,None
Away,Offense,SJC,3pmi,No Dribble Jumper,Post,Right,Dribble Move,Spot Ups,None,Shot
Away,Defense,SJC,2pMa,To Basket,PNR,Left,Off,None,None,None
Away,Offense,SJC,3pmi,No Dribble Jumper,Spot Ups,None,Shot,None,None,None
Away,Defense,SJC,Turnover,N/A,Misc,None,None,None,None,None
Away,Offense,SJC,3pMa,No Dribble Jumper,Transition,None,Left Wing,None,None,None
Away,Defense,SJC,2pMa,To Basket,PNR,Left,Off,None,None,None
Away,Offense,SJC,2pMa,No Dribble Jumper,Misc,None,None,None,None,None
Away,Defense,SJC,3pMa,No Dribble Jumper,Spot Ups,None,Shot,None,None,None
Away,Offense,SJC,3pMa,No Dribble Jumper,Spot Ups,None,Shot,None,None,None
Away,Defense,SJC,3pmi,No Dribble Jumper,Spot Ups,None,Shot,None,None,None
Away,Offense,SJC,Foul,To Basket,Transition,None,Ball Handler,None,None,None
Away,Defense,SJC,2pmi,To Basket,Cuts,None,Basket,None,None,None
Away,Offense,SJC,Foul,To Basket,PNR,Right,Away,None,None,None
Away,Defense,SJC,Turnover,To Basket,Cuts,None,Basket,None,None,None
Away,Offense,SJC,Turnover,N/A,Misc,None,None,None,None,None
Away,Defense,SJC,2pMa,To Basket,Transition,None,Left Wing,None,None,None
Away,Offense,SJC,2pmi,Dribble Jumper,Transition,None,First Middle,None,None,None
Away,Defense,SJC,Foul,To Basket,Post,Middle,Dribble Move,None,None,None
Away,Offense,SJC,3pmi,No Dribble Jumper,Hand Offs,Top,Dribble,None,None,None
Away,Defense,SJC,3pmi,No Dribble Jumper,Spot Ups,None,Shot,None,None,None
Away,Offense,SJC,3pmi,No Dribble Jumper,Spot Ups,None,Shot,None,None,None
Away,Offense,SJC,3pmi,No Dribble Jumper,Spot Ups,None,Shot,None,None,None
Away,Offense,SJC,3pmi,No Dribble Jumper,Spot Ups,None,Shot,None,None,None
Away,Defense,SJC,2pMa,To Basket,Transition,None,Ball Handler,None,None,None
Away,Offense,SJC,Turnover,N/A,Transition,None,Ball Handler,None,None,None
Away,Defense,SJC,2pmi,To Basket,Transition,None,Ball Handler,None,None,None
Away,Offense,SJC,3pmi,No Dribble Jumper,Off Screens,Left,Straight,None,None,None
Away,Defense,SJC,2pMa,To Basket,Transition,None,Right Wing,None,None,None
Away,Offense,SJC,2pmi,No Dribble Jumper,Spot Ups,None,Shot,None,None,None
Away,Defense,SJC,2pMa,To Basket,Transition,None,First Middle,None,None,None
Away,Offense,SJC,3pmi,Dribble Jumper,PNR,Left,Off,Spot Ups,Left,Drive
Away,Defense,SJC,Turnover,N/A,PNR,Left,Off,None,None,None
Away,Offense,SJC,2pmi,To Basket,Transition,None,Ball Handler,None,None,None
Away,Defense,SJC,2pmi,To Basket,Post,Right,Dribble Move,None,None,None
Away,Offense,SJC,2pmi,To Basket,Transition,None,Right Wing,None,None,None
Away,Defense,SJC,3pmi,Dribble Jumper,PNR,Right,Off,None,None,None
Away,Defense,SJC,3pmi,No Dribble Jumper,PNR,Left,Off,Spot Ups,None,Shot
Away,Defense,SJC,2pmi,To Basket,Post,Left,Dribble Move,None,None,None
Away,Offense,SJC,2pmi,To Basket,Transition,None,Trailer,None,None,None
Away,Defense,SJC,Foul,To Basket,Transition,None,Ball Handler,None,None,None
Away,Offense,SJC,3pmi,No Dribble Jumper,Spot Ups,None,Shot,None,None,None
Away,Offense,SJC,2pMa,To Basket,Cuts,None,Flash,None,None,None
Away,Defense,SJC,Turnover,N/A,PNR,High,Off,None,None,None
Away,Offense,SJC,2pMa,To Basket,Transition,None,Ball Handler,None,None,None
Away,Defense,SJC,2pmi,To Basket,PNR,Left,Off,None,None,None
Away,Offense,SJC,3pmi,No Dribble Jumper,Transition,None,Left Wing,None,None,None
Away,Defense,SJC,2pMa,To Basket,Transition,None,First Middle,None,None,None
Away,Offense,SJC,Foul,To Basket,PNR,High,Off,None,None,None
