Site,PossesionType,Opponent,Outcome,ShotType,PrimaryPlayType,PrimaryDirection,PrimaryAction,SecondaryPlayType,SecondaryDirection,SecondaryAction
Away,Defense,SLS,2pmi,To Basket,Misc,None,None,None,None,None
Away,Defense,SLS,3pmi,No Dribble Jumper,Spot Ups,None,Shot,None,None,None
Away,Offense,SLS,2pmi,To Basket,Cuts,None,Flash,None,None,None
Away,Defense,SLS,2pMa,To Basket,Transition,None,First Middle,None,None,None
Away,Offense,SLS,3pmi,No Dribble Jumper,Spot Ups,None,Shot,None,None,None
Away,Defense,SLS,3pMa,No Dribble Jumper,PNR,High,Off,P&R Roll Man,None,Pop
Away,Offense,SLS,2pmi,Dribble Jumper,PNR,High,Off,None,None,None
Away,Defense,SLS,Turnover,N/A,Transition,None,Ball Handler,None,None,None
Away,Offense,SLS,Turnover,N/A,Transition,None,Left Wing,None,None,None
Away,Defense,SLS,2pMa,To Basket,Transition,None,First Middle,None,None,None
Away,Offense,SLS,3pMa,No Dribble Jumper,Spot Ups,None,Shot,None,None,None
Away,Defense,SLS,3pMa,No Dribble Jumper,Spot Ups,None,Shot,None,None,None
Away,Offense,SLS,Turnover,To Basket,Cuts,None,Flash,None,None,None
Away,Defense,SLS,3pMa,Dribble Jumper,Transition,None,Left Wing,None,None,None
Away,Offense,SLS,2pmi,To Basket,Cuts,None,Flash,None,None,None
Away,Defense,SLS,2pMa,To Basket,Spot Ups,Left,Drive,None,None,None
Away,Offense,SLS,3pmi,No Dribble Jumper,PNR,High,Off,Spot Ups,None,Shot
Away,Defense,SLS,3pMa,No Dribble Jumper,Iso,Left,None,Spot Ups,None,Shot
Away,Offense,SLS,2pmi,To Basket,Cuts,None,Flash,None,None,None
Away,Defense,SLS,2pmi,To Basket,Transition,None,Trailer,None,None,None
Away,Offense,SLS,Turnover,To Basket,Transition,None,Right Wing,None,None,None
Away,Defense,SLS,Turnover,N/A,Spot Ups,Left,Drive,None,None,None
Away,Offense,SLS,Turnover,To Basket,Transition,None,Left Wing,None,None,None
Away,Defense,SLS,2pmi,Dribble Jumper,Spot Ups,Right,Drive,None,None,None
Away,Offense,SLS,3pmi,No Dribble Jumper,Spot Ups,None,Shot,None,None,None
Away,Defense,SLS,3pmi,No Dribble Jumper,Transition,None,Left Wing,None,None,None
Away,Offense,SLS,2pMa,To Basket,Cuts,None,Basket,None,None,None
Away,Defense,SLS,Turnover,N/A,Misc,None,None,None,None,None
Away,Offense,SLS,2pMa,To Basket,Cuts,None,Flash,None,None,None
Away,Defense,SLS,3pmi,No Dribble Jumper,PNR,High,Off,Spot Ups,None,Shot
Away,Offense,SLS,3pmi,No Dribble Jumper,Transition,None,Trailer,None,None,None
Away,Defense,SLS,2pmi,To Basket,Transition,None,Ball Handler,None,None,None
Away,Offense,SLS,2pmi,To Basket,PNR,Right,Off,None,None,None
