Home,Away,OffensivePossession,Outcome,ShotType,PrimaryPlayer,PrimaryPlayType,PrimaryDirection,PrimaryAction,SecondaryPlayer,SecondaryPlayType,SecondaryDirection,SecondaryAction
RIT,UNY,Rochester Institute of Technology Tigers,3pmi,No Dribble Jumper,Brock Bowen,PNR,High,Off,Kenny Wilburn,P&R Roll Man,N/A,Pop
RIT,UNY,Union (NY) Dutchmen,And1,To Basket,Edward Baptiste,Spot Ups,Left,Drive,N/A,N/A,N/A,N/A
RIT,UNY,Rochester Institute of Technology Tigers,2pmi,To Basket,Brody Brown,PNR,Left,N/A,Keegan Ocorr,Spot Ups,Right,Drive
RIT,UNY,Union (NY) Dutchmen,Turnover,N/A,Connor Cepiel,Off Screens,Right,Straight,N/A,N/A,N/A,N/A
RIT,UNY,Rochester Institute of Technology Tigers,2pMa,To Basket,Keegan Ocorr,Cuts,N/A,Basket,N/A,N/A,N/A,N/A
RIT,UNY,Union (NY) Dutchmen,Turnover,N/A,Edward Baptiste,Spot Ups,Left,Drive,N/A,N/A,N/A,N/A
RIT,UNY,Rochester Institute of Technology Tigers,2pmi,No Dribble Jumper,Kenny Wilburn,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A
RIT,UNY,Union (NY) Dutchmen,2pMa,To Basket,Tanner Tedesco,Transition,N/A,Ball Handler,N/A,N/A,N/A,N/A
RIT,UNY,Rochester Institute of Technology Tigers,3pmi,No Dribble Jumper,Brody Brown,Off Screens,Right,Flare,N/A,N/A,N/A,N/A
RIT,UNY,Union (NY) Dutchmen,Turnover,N/A,Tanner Tedesco,Transition,N/A,Ball Handler,N/A,N/A,N/A,N/A
RIT,UNY,Rochester Institute of Technology Tigers,Turnover,N/A,Brody Brown,Misc,N/A,N/A,N/A,N/A,N/A,N/A
RIT,UNY,Union (NY) Dutchmen,2pmi,Hook Shot,Jack Plesser,Post,Left,Dribble,N/A,N/A,N/A,N/A
RIT,UNY,Rochester Institute of Technology Tigers,3pMa,No Dribble Jumper,Chase Dickens,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A
RIT,UNY,Union (NY) Dutchmen,2pmi,To Basket,Jack Plesser,Spot Ups,Right,Drive,N/A,N/A,N/A,N/A
RIT,UNY,Rochester Institute of Technology Tigers,2pmi,To Basket,Brock Bowen,Transition,N/A,First Middle,N/A,N/A,N/A,N/A
RIT,UNY,Union (NY) Dutchmen,3pmi,No Dribble Jumper,Jack Plesser,PNR,High,N/A,Connor Cepiel,Spot Ups,N/A,Shot
RIT,UNY,Rochester Institute of Technology Tigers,3pMa,No Dribble Jumper,Brock Bowen,Off Screens,Left,Straight,N/A,N/A,N/A,N/A
RIT,UNY,Union (NY) Dutchmen,2pMa,No Dribble Jumper,Edward Baptiste,Off Screens,Left,Straight,N/A,N/A,N/A,N/A
RIT,UNY,Rochester Institute of Technology Tigers,2pmi,To Basket,Chase Dickens,Iso,Left,N/A,N/A,N/A,N/A,N/A
RIT,UNY,Union (NY) Dutchmen,Turnover,N/A,Edward Baptiste,Spot Ups,Right,Drive,N/A,N/A,N/A,N/A
RIT,UNY,Rochester Institute of Technology Tigers,3pMa,Dribble Jumper,Chase Dickens,PNR,Right,Off,N/A,N/A,N/A,N/A
RIT,UNY,Union (NY) Dutchmen,2pmi,To Basket,Christian Dufort,Cuts,N/A,Basket,N/A,N/A,N/A,N/A
RIT,UNY,Rochester Institute of Technology Tigers,2pmi,To Basket,Keegan Ocorr,PNR,Left,Off,Kenny Wilburn,Cuts,N/A,Basket
RIT,UNY,Union (NY) Dutchmen,Turnover,N/A,Lemar Fulmore Jr,Transition,N/A,Ball Handler,N/A,N/A,N/A,N/A
RIT,UNY,Rochester Institute of Technology Tigers,3pMa,No Dribble Jumper,Jackson Otis,Transition,N/A,Left Wing,N/A,N/A,N/A,N/A
RIT,UNY,Union (NY) Dutchmen,3pmi,No Dribble Jumper,Connor Cepiel,Iso,Top,N/A,Matthew Garside,Spot Ups,N/A,Shot
RIT,UNY,Rochester Institute of Technology Tigers,2pmi,To Basket,Josiah Turner,Spot Ups,Left,Drive,N/A,N/A,N/A,N/A
RIT,UNY,Union (NY) Dutchmen,Turnover,To Basket,Matthew Garside,PNR,Right,Off,Christian Dufort,P&R Roll Man,N/A,Roll
RIT,UNY,Rochester Institute of Technology Tigers,2pMa,To Basket,Brandon Weiss,Hand Offs,Left,Stationary,N/A,N/A,N/A,N/A
RIT,UNY,Union (NY) Dutchmen,Foul,To Basket,Lemar Fulmore Jr,Cuts,N/A,Basket,N/A,N/A,N/A,N/A
RIT,UNY,Rochester Institute of Technology Tigers,3pmi,No Dribble Jumper,Jackson Otis,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A
RIT,UNY,Rochester Institute of Technology Tigers,2pMa,To Basket,Brandon Weiss,PNR,High,Away,Josiah Turner,Cuts,N/A,Basket
RIT,UNY,Union (NY) Dutchmen,2pMa,No Dribble Jumper,Christian Dufort,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A
RIT,UNY,Rochester Institute of Technology Tigers,3pMa,Dribble Jumper,Brock Bowen,Spot Ups,Left,Drive,N/A,N/A,N/A,N/A
RIT,UNY,Union (NY) Dutchmen,Turnover,To Basket,Matthew Garside,Iso,Right,N/A,Luke Mcgarrity,Cuts,N/A,Basket
RIT,UNY,Rochester Institute of Technology Tigers,2pmi,To Basket,Ronnie Toole,Cuts,N/A,Basket,N/A,N/A,N/A,N/A
RIT,UNY,Union (NY) Dutchmen,Turnover,N/A,Brendan Reid,Transition,N/A,Trailer,N/A,N/A,N/A,N/A
RIT,UNY,Rochester Institute of Technology Tigers,2pmi,To Basket,Zac Ditzel,Transition,N/A,Right Wing,N/A,N/A,N/A,N/A
RIT,UNY,Rochester Institute of Technology Tigers,3pmi,No Dribble Jumper,Brock Bowen,Off Screens,Left,Flare,N/A,N/A,N/A,N/A
RIT,UNY,Union (NY) Dutchmen,3pMa,No Dribble Jumper,Matthew Garside,Transition,N/A,Left Wing,N/A,N/A,N/A,N/A
RIT,UNY,Rochester Institute of Technology Tigers,2pMa,To Basket,Ronnie Toole,PNR,High,Off,N/A,N/A,N/A,N/A
