Site,PossesionType,Opponent,Outcome,ShotType,PrimaryPlayType,PrimaryDirection,PrimaryAction,SecondaryPlayType,SecondaryDirection,SecondaryAction
Away,Offense,VC,3pMa,No Dribble Jumper,Post,Right,Dribble Move,Spot Ups,N/A,Shot
Away,Defense,VC,2pmi,To Basket,Cuts,N/A,Basket,N/A,N/A,N/A
Away,Defense,VC,3pmi,No Dribble Jumper,Off Screens,Left,Straight,N/A,N/A,N/A
Away,Offense,VC,3pmi,No Dribble Jumper,Spot Ups,N/A,Shot,N/A,N/A,N/A
Away,Defense,VC,3pmi,No Dribble Jumper,Transition,N/A,Trailer,N/A,N/A,N/A
Away,Offense,VC,2pmi,To Basket,PNR,High,Off,N/A,N/A,N/A
Away,Defense,VC,2pmi,To Basket,Transition,N/A,Trailer,N/A,N/A,N/A
Away,Offense,VC,3pMa,No Dribble Jumper,Transition,N/A,Right Wing,N/A,N/A,N/A
Away,Defense,VC,Turnover,N/A,PNR,Right,Off,N/A,N/A,N/A
Away,Offense,VC,2pmi,To Basket,Hand Offs,Top,Dribble,N/A,N/A,N/A
Away,Defense,VC,Foul,To Basket,Misc,N/A,N/A,N/A,N/A,N/A
Away,Defense,VC,2pMa,To Basket,Iso,Top,N/A,N/A,N/A,N/A
Away,Offense,VC,Turnover,N/A,PNR,High,Off,N/A,N/A,N/A
Away,Defense,VC,2pmi,To Basket,Post,Right,Dribble Move,N/A,N/A,N/A
Away,Defense,VC,3pMa,No Dribble Jumper,Spot Ups,N/A,Shot,N/A,N/A,N/A
Away,Offense,VC,2pMa,To Basket,PNR,Left,Off,N/A,N/A,N/A
Away,Defense,VC,2pmi,To Basket,Cuts,N/A,Basket,N/A,N/A,N/A
Away,Offense,VC,2pmi,To Basket,Iso,Top,N/A,N/A,N/A,N/A
Away,Defense,VC,2pmi,To Basket,PNR,Left,N/A,P&R Roll Man,N/A,Slips
Away,Offense,VC,2pmi,To Basket,PNR,Left,Off,Spot Ups,Left,Drive
Away,Defense,VC,Foul,To Basket,PNR,Left,Off,N/A,N/A,N/A
Away,Offense,VC,3pmi,No Dribble Jumper,Transition,N/A,Right Wing,N/A,N/A,N/A
Away,Defense,VC,3pmi,No Dribble Jumper,Hand Offs,Left,Dribble,N/A,N/A,N/A
Away,Offense,VC,Turnover,N/A,Misc,N/A,N/A,N/A,N/A,N/A
Away,Defense,VC,2pMa,To Basket,PNR,High,Away,N/A,N/A,N/A
Away,Offense,VC,3pmi,No Dribble Jumper,Off Screens,Right,Straight,N/A,N/A,N/A
Away,Defense,VC,3pMa,Dribble Jumper,Spot Ups,Right,Drive,N/A,N/A,N/A
Away,Offense,VC,2pmi,To Basket,PNR,Left,Off,Cuts,N/A,Basket
Away,Defense,VC,2pMa,To Basket,Spot Ups,Left,Drive,N/A,N/A,N/A
Away,Offense,VC,3pMa,No Dribble Jumper,Spot Ups,N/A,Shot,N/A,N/A,N/A
Away,Defense,VC,3pmi,No Dribble Jumper,PNR,Right,Off,Spot Ups,N/A,Shot
Away,Offense,VC,2pMa,To Basket,Transition,N/A,Left Wing,N/A,N/A,N/A
Away,Defense,VC,Turnover,To Basket,PNR,High,Away,Cuts,N/A,Basket
Away,Offense,VC,Turnover,N/A,PNR,Left,Off,N/A,N/A,N/A
Away,Defense,VC,2pMa,To Basket,Transition,N/A,Ball Handler,N/A,N/A,N/A
Away,Offense,VC,2pmi,To Basket,PNR,Right,Off,N/A,N/A,N/A
Away,Defense,VC,2pmi,To Basket,PNR,High,Off,N/A,N/A,N/A
Away,Offense,VC,2pmi,To Basket,Hand Offs,Top,Dribble,N/A,N/A,N/A
Away,Offense,VC,2pmi,Dribble Jumper,PNR,Left,Off,N/A,N/A,N/A
Away,Defense,VC,2pmi,To Basket,Cuts,N/A,Flash,N/A,N/A,N/A
Away,Offense,VC,2pmi,N/A,Post,Left,Dribble Move,N/A,N/A,N/A
Away,Defense,VC,2pMa,To Basket,Cuts,N/A,Basket,N/A,N/A,N/A
Away,Offense,VC,2pmi,To Basket,Transition,N/A,Trailer,N/A,N/A,N/A
