Site,PossesionType,Opponent,Outcome,ShotType,PrimaryPlayType,PrimaryDirection,PrimaryAction,SecondaryPlayType,SecondaryDirection,SecondaryAction
Away,Defense,WEL,3pmi,Dribble Jumper,PNR,High,Off,Spot Ups,Left,Drive
Away,Offense,WEL,2pMa,Dribble Jumper,Transition,None,Trailer,None,None,None
Away,Defense,WEL,2pmi,To Basket,Cuts,None,Flash,None,None,None
Away,Offense,WEL,Turnover,N/A,Transition,None,Left Wing,None,None,None
Away,Defense,WEL,2pmi,To Basket,Transition,None,Ball Handler,None,None,None
Away,Offense,WEL,2pMa,N/A,Post,Left,Dribble Move,None,None,None
Away,Defense,WEL,2pmi,Dribble Jumper,Iso,Top,None,None,None,None
Away,Offense,WEL,2pMa,To Basket,Cuts,None,Basket,None,None,None
Away,Defense,WEL,Foul,To Basket,Iso,Right,None,None,None,None
Away,Offense,WEL,2pmi,No Dribble Jumper,Iso,Top,None,None,None,None
Away,Defense,WEL,2pMa,Dribble Jumper,Spot Ups,Left,Drive,None,None,None
Away,Offense,WEL,Foul,To Basket,Hand Offs,Top,Stationary,None,None,None
Away,Defense,WEL,2pMa,To Basket,Cuts,None,Basket,None,None,None
Away,Offense,WEL,3pmi,No Dribble Jumper,Hand Offs,Right,Dribble,None,None,None
Away,Defense,WEL,2pMa,N/A,Post,Left,Face Up,None,None,None
Away,Offense,WEL,2pmi,To Basket,Iso,Top,None,None,None,None
Away,Defense,WEL,3pmi,No Dribble Jumper,Spot Ups,None,Shot,None,None,None
Away,Offense,WEL,2pMa,To Basket,Off Screens,Right,Straight,None,None,None
Away,Defense,WEL,Foul,To Basket,Iso,Top,None,None,None,None
Away,Offense,WEL,2pmi,To Basket,Off Screens,Right,Straight,None,None,None
Away,Defense,WEL,2pmi,Dribble Jumper,Transition,None,Ball Handler,None,None,None
Away,Offense,WEL,2pmi,To Basket,Transition,None,Ball Handler,None,None,None
Away,Defense,WEL,Foul,To Basket,Transition,None,Ball Handler,None,None,None
Away,Offense,WEL,And1,To Basket,Iso,Left,None,Cuts,None,Basket
Away,Defense,WEL,2pmi,Dribble Jumper,Spot Ups,Straight,Drive,None,None,None
Away,Offense,WEL,3pMa,No Dribble Jumper,Transition,None,Trailer,None,None,None
Away,Defense,WEL,2pmi,Dribble Jumper,Iso,Top,None,None,None,None
Away,Offense,WEL,2pMa,To Basket,Transition,None,First Middle,None,None,None
Away,Defense,WEL,3pmi,No Dribble Jumper,Spot Ups,None,Shot,None,None,None
Away,Offense,WEL,3pMa,No Dribble Jumper,Transition,None,Left Wing,None,None,None
Away,Defense,WEL,3pMa,Dribble Jumper,PNR,High,Off,None,None,None
Away,Offense,WEL,Turnover,N/A,PNR,High,Off,None,None,None
Away,Defense,WEL,2pMa,To Basket,Transition,None,Ball Handler,None,None,None
Away,Offense,WEL,3pmi,No Dribble Jumper,Transition,None,Right Wing,None,None,None
Away,Defense,WEL,2pmi,To Basket,Transition,None,Ball Handler,None,None,None
Away,Offense,WEL,2pMa,To Basket,Cuts,None,Screen,None,None,None
Away,Defense,WEL,3pmi,No Dribble Jumper,Spot Ups,None,Shot,None,None,None
Away,Offense,WEL,Foul,To Basket,PNR,High,Off,None,None,None
Away,Defense,WEL,3pMa,No Dribble Jumper,Spot Ups,None,Shot,None,None,None
Away,Offense,WEL,2pMa,To Basket,PNR,High,Away,None,None,None
Away,Defense,WEL,2pMa,To Basket,Cuts,None,Basket,None,None,None
Away,Offense,WEL,2pmi,Dribble Jumper,PNR,High,Off,None,None,None
Away,Defense,WEL,2pmi,To Basket,Transition,None,Ball Handler,None,None,None
Away,Offense,WEL,3pmi,No Dribble Jumper,Transition,None,Right Wing,None,None,None
Away,Offense,WEL,3pmi,No Dribble Jumper,Spot Ups,None,Shot,None,None,None
Away,Defense,WEL,3pmi,No Dribble Jumper,PNR,High,Off,Spot Ups,None,Shot
Away,Offense,WEL,3pmi,No Dribble Jumper,Transition,None,Left Wing,None,None,None
Away,Defense,WEL,Foul,To Basket,Transition,None,Ball Handler,None,None,None
Away,Offense,WEL,2pmi,To Basket,PNR,High,Off,None,None,None
Away,Defense,WEL,2pmi,To Basket,Transition,None,Ball Handler,None,None,None
Away,Offense,WEL,3pMa,No Dribble Jumper,Off Screens,Left,Straight,None,None,None
Away,Defense,WEL,Foul,To Basket,Cuts,None,Flash,None,None,None
Away,Offense,WEL,2pmi,To Basket,Transition,None,Right Wing,None,None,None
Away,Defense,WEL,2pMa,Hook Shot,Post,Left,Dribble Move,None,None,None
Away,Offense,WEL,2pMa,To Basket,PNR,High,Off,Spot Ups,Right,Drive
Away,Defense,WEL,2pMa,Hook Shot,Post,Left,Dribble Move,None,None,None
Away,Offense,WEL,2pMa,Dribble Jumper,Misc,None,None,None,None,None
Away,Defense,WEL,2pMa,To Basket,Cuts,None,Basket,None,None,None
Away,Offense,WEL,2pMa,To Basket,Off Screens,Right,Straight,None,None,None
Away,Defense,WEL,Turnover,To Basket,Spot Ups,Right,Drive,None,None,None
Away,Offense,WEL,2pmi,To Basket,Hand Offs,Top,Stationary,None,None,None
Away,Offense,WEL,3pmi,No Dribble Jumper,Spot Ups,None,Shot,None,None,None
Away,Offense,WEL,3pmi,No Dribble Jumper,PNR,High,Off,Spot Ups,None,Shot
Away,Defense,WEL,Turnover,N/A,Transition,None,Ball Handler,None,None,None
Away,Offense,WEL,2pMa,To Basket,Transition,None,Left Wing,None,None,None
Away,Defense,WEL,2pmi,To Basket,Misc,None,None,None,None,None
