Home,Away,OffensivePossession,Outcome,ShotType,PrimaryPlayer,PrimaryPlayType,PrimaryDirection,PrimaryAction,SecondaryPlayer,SecondaryPlayType,SecondaryDirection,SecondaryAction
ASU,RIT,Alfred State Pioneers,Foul,To Basket,Dylan Perry,PNR,High,Off,Cody Schneider,P&R Roll Man,N/A,Slips
ASU,RIT,Rochester Institute of Technology Tigers,2pMa,To Basket,Kenny Wilburn,Cuts,N/A,Basket,N/A,N/A,N/A,N/A
ASU,RIT,Alfred State Pioneers,2pMa,Dribble Jumper,Ryan Rosa,Post,Left,Dribble,Cody Schneider,Spot Ups,Right,Drive
ASU,RIT,Rochester Institute of Technology Tigers,3pmi,No Dribble Jumper,Matt Caggiano,PNR,High,Off,Brody Brown,Spot Ups,N/A,Shot
ASU,RIT,Alfred State Pioneers,2pMa,Dribble Jumper,Ryan Rosa,Transition,N/A,Ball Handler,N/A,N/A,N/A,N/A
ASU,RIT,Rochester Institute of Technology Tigers,2pmi,To Basket,Chase Dickens,Iso,Right,N/A,Kenny Wilburn,Cuts,N/A,Basket
ASU,RIT,Alfred State Pioneers,2pMa,To Basket,Paris Jamison,Transition,N/A,Right Wing,N/A,N/A,N/A,N/A
ASU,RIT,Rochester Institute of Technology Tigers,2pMa,To Basket,Matt Caggiano,PNR,Right,Off,N/A,N/A,N/A,N/A
ASU,RIT,Alfred State Pioneers,3pmi,No Dribble Jumper,Michael Miller,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A
ASU,RIT,Rochester Institute of Technology Tigers,2pMa,To Basket,Kenny Wilburn,Transition,N/A,First Middle,N/A,N/A,N/A,N/A
ASU,RIT,Alfred State Pioneers,2pMa,To Basket,Dylan Perry,PNR,Right,Off,Ryan Rosa,Spot Ups,Right,Drive
ASU,RIT,Rochester Institute of Technology Tigers,3pMa,No Dribble Jumper,Matt Caggiano,PNR,High,Off,Kenny Wilburn,P&R Roll Man,N/A,Pop
ASU,RIT,Alfred State Pioneers,2pmi,To Basket,Dylan Perry,Hand Offs,Right,Dribble,N/A,N/A,N/A,N/A
ASU,RIT,Rochester Institute of Technology Tigers,2pMa,Dribble Jumper,Chase Dickens,Transition,N/A,Ball Handler,N/A,N/A,N/A,N/A
ASU,RIT,Alfred State Pioneers,2pMa,To Basket,Dylan Perry,PNR,High,Off,Ryan Rosa,Spot Ups,Left,Drive
ASU,RIT,Rochester Institute of Technology Tigers,2pmi,To Basket,Matt Caggiano,PNR,High,Off,N/A,N/A,N/A,N/A
ASU,RIT,Rochester Institute of Technology Tigers,2pmi,Drop Step,Kenny Wilburn,Post,Left,Dribble,N/A,N/A,N/A,N/A
ASU,RIT,Alfred State Pioneers,Turnover,N/A,Paris Jamison,Misc,N/A,N/A,N/A,N/A,N/A,N/A
ASU,RIT,Rochester Institute of Technology Tigers,2pMa,To Basket,Keegan Ocorr,Transition,N/A,Ball Handler,N/A,N/A,N/A,N/A
ASU,RIT,Alfred State Pioneers,2pmi,Dribble Jumper,Cody Schneider,Iso,Right,N/A,N/A,N/A,N/A,N/A
ASU,RIT,Rochester Institute of Technology Tigers,2pmi,To Basket,Brody Brown,Transition,N/A,Left Wing,N/A,N/A,N/A,N/A
ASU,RIT,Alfred State Pioneers,3pmi,No Dribble Jumper,Zy Switzer,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A
ASU,RIT,Rochester Institute of Technology Tigers,2pMa,No Dribble Jumper,Brock Bowen,Off Screens,Right,Straight,N/A,N/A,N/A,N/A
ASU,RIT,Alfred State Pioneers,3pMa,No Dribble Jumper,Paris Jamison,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A
ASU,RIT,Rochester Institute of Technology Tigers,2pmi,To Basket,Kenny Wilburn,Post,Right,Dribble,N/A,N/A,N/A,N/A
ASU,RIT,Alfred State Pioneers,Turnover,N/A,Ryan Rosa,Hand Offs,Right,Dribble,N/A,N/A,N/A,N/A
ASU,RIT,Rochester Institute of Technology Tigers,2pMa,To Basket,Matt Caggiano,Transition,N/A,Ball Handler,N/A,N/A,N/A,N/A
ASU,RIT,Alfred State Pioneers,Turnover,N/A,Emmanuel Leftenant,PNR,High,Off,Paris Jamison,Spot Ups,Right,Drive
ASU,RIT,Rochester Institute of Technology Tigers,3pmi,No Dribble Jumper,Keegan Ocorr,Transition,N/A,Trailer,N/A,N/A,N/A,N/A
ASU,RIT,Alfred State Pioneers,3pMa,No Dribble Jumper,Dylan Perry,Off Screens,Right,Straight,N/A,N/A,N/A,N/A
ASU,RIT,Rochester Institute of Technology Tigers,2pMa,To Basket,Nolan Smih,Cuts,N/A,Basket,N/A,N/A,N/A,N/A
ASU,RIT,Alfred State Pioneers,2pmi,To Basket,Cody Schneider,Transition,N/A,Right Wing,N/A,N/A,N/A,N/A
ASU,RIT,Rochester Institute of Technology Tigers,3pmi,No Dribble Jumper,Matt Caggiano,Transition,N/A,Trailer,N/A,N/A,N/A,N/A
ASU,RIT,Rochester Institute of Technology Tigers,2pmi,To Basket,Zac Ditzel,Cuts,N/A,Basket,N/A,N/A,N/A,N/A
ASU,RIT,Alfred State Pioneers,2pMa,To Basket,Emmanuel Leftenant,PNR,High,Off,N/A,N/A,N/A,N/A
ASU,RIT,Rochester Institute of Technology Tigers,Turnover,N/A,Zac Ditzel,Spot Ups,Right,Drive,N/A,N/A,N/A,N/A
ASU,RIT,Alfred State Pioneers,Foul,To Basket,Emmanuel Leftenant,Spot Ups,Left,Drive,N/A,N/A,N/A,N/A
ASU,RIT,Rochester Institute of Technology Tigers,3pmi,Dribble Jumper,Brock Bowen,PNR,Right,Off,N/A,N/A,N/A,N/A
ASU,RIT,Rochester Institute of Technology Tigers,Turnover,N/A,Brock Bowen,Misc,N/A,N/A,N/A,N/A,N/A,N/A
ASU,RIT,Alfred State Pioneers,3pmi,No Dribble Jumper,Zy Switzer,Transition,N/A,Left Wing,N/A,N/A,N/A,N/A
ASU,RIT,Rochester Institute of Technology Tigers,Turnover,N/A,Chase Dickens,Misc,N/A,N/A,N/A,N/A,N/A,N/A
ASU,RIT,Alfred State Pioneers,2pmi,To Basket,Emmanuel Leftenant,Misc,N/A,N/A,N/A,N/A,N/A,N/A
ASU,RIT,Rochester Institute of Technology Tigers,Turnover,N/A,Kenny Wilburn,Transition,N/A,Trailer,N/A,N/A,N/A,N/A
ASU,RIT,Alfred State Pioneers,2pMa,To Basket,Dylan Perry,Cuts,N/A,Basket,N/A,N/A,N/A,N/A
ASU,RIT,Rochester Institute of Technology Tigers,2pmi,Dribble Jumper,Zac Ditzel,Transition,N/A,Right Wing,N/A,N/A,N/A,N/A
ASU,RIT,Alfred State Pioneers,2pmi,To Basket,Cody Schneider,PNR,High,Off,N/A,N/A,N/A,N/A
ASU,RIT,Rochester Institute of Technology Tigers,2pmi,N/A,Kenny Wilburn,Post,Left,Dribble,N/A,N/A,N/A,N/A
ASU,RIT,Rochester Institute of Technology Tigers,2pMa,To Basket,Chase Dickens,Transition,N/A,First Middle,N/A,N/A,N/A,N/A
ASU,RIT,Alfred State Pioneers,3pMa,Dribble Jumper,Dylan Perry,Spot Ups,Right,Drive,N/A,N/A,N/A,N/A
ASU,RIT,Rochester Institute of Technology Tigers,2pmi,To Basket,Chase Dickens,Hand Offs,Top,Stationary,N/A,N/A,N/A,N/A
ASU,RIT,Rochester Institute of Technology Tigers,2pMa,To Basket,Brandon Weiss,Cuts,N/A,Basket,N/A,N/A,N/A,N/A
ASU,RIT,Alfred State Pioneers,2pmi,To Basket,Paris Jamison,PNR,Right,Off,N/A,N/A,N/A,N/A
ASU,RIT,Rochester Institute of Technology Tigers,Turnover,N/A,Kenny Wilburn,Iso,Top,N/A,N/A,N/A,N/A,N/A
ASU,RIT,Alfred State Pioneers,2pmi,To Basket,Cody Schneider,Spot Ups,Right,Drive,N/A,N/A,N/A,N/A
ASU,RIT,Alfred State Pioneers,Turnover,N/A,Cody Schneider,Iso,Top,N/A,N/A,N/A,N/A,N/A
ASU,RIT,Rochester Institute of Technology Tigers,3pMa,No Dribble Jumper,Kenny Wilburn,Post,Right,N/A,Chase Dickens,Spot Ups,N/A,Shot
ASU,RIT,Rochester Institute of Technology Tigers,2pmi,To Basket,Chase Dickens,Off Screens,Left,Straight,N/A,N/A,N/A,N/A
ASU,RIT,Alfred State Pioneers,Turnover,N/A,Paris Jamison,PNR,High,Away,Ryan Rosa,Spot Ups,Left,Drive
ASU,RIT,Rochester Institute of Technology Tigers,3pmi,No Dribble Jumper,Zac Ditzel,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A
ASU,RIT,Alfred State Pioneers,Turnover,N/A,Paris Jamison,Transition,N/A,Right Wing,N/A,N/A,N/A,N/A
ASU,RIT,Rochester Institute of Technology Tigers,3pMa,No Dribble Jumper,Chase Dickens,Transition,N/A,Left Wing,N/A,N/A,N/A,N/A
ASU,RIT,Alfred State Pioneers,2pmi,To Basket,Paris Jamison,Cuts,N/A,Basket,N/A,N/A,N/A,N/A
ASU,RIT,Rochester Institute of Technology Tigers,3pmi,No Dribble Jumper,Kenny Wilburn,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A
ASU,RIT,Alfred State Pioneers,2pMa,To Basket,Paris Jamison,Hand Offs,Right,Dribble,N/A,N/A,N/A,N/A
ASU,RIT,Rochester Institute of Technology Tigers,2pMa,To Basket,Kenny Wilburn,Cuts,N/A,Basket,N/A,N/A,N/A,N/A
ASU,RIT,Alfred State Pioneers,3pmi,No Dribble Jumper,Dylan Perry,PNR,High,Off,Zachary Gilebarto,Spot Ups,N/A,Shot
ASU,RIT,Rochester Institute of Technology Tigers,Turnover,To Basket,Kenny Wilburn,Cuts,N/A,Screen,N/A,N/A,N/A,N/A
ASU,RIT,Alfred State Pioneers,2pMa,To Basket,Zachary Gilebarto,Transition,N/A,Right Wing,N/A,N/A,N/A,N/A
ASU,RIT,Rochester Institute of Technology Tigers,3pmi,Dribble Jumper,Brandon Weiss,PNR,High,Off,N/A,N/A,N/A,N/A
ASU,RIT,Rochester Institute of Technology Tigers,2pmi,To Basket,Chase Dickens,Cuts,N/A,Screen,N/A,N/A,N/A,N/A
ASU,RIT,Alfred State Pioneers,3pmi,No Dribble Jumper,Cody Schneider,Transition,N/A,Trailer,N/A,N/A,N/A,N/A
ASU,RIT,Rochester Institute of Technology Tigers,3pmi,No Dribble Jumper,Chase Dickens,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A
ASU,RIT,Alfred State Pioneers,2pmi,To Basket,Emmanuel Leftenant,PNR,High,Off,N/A,N/A,N/A,N/A
ASU,RIT,Rochester Institute of Technology Tigers,2pMa,To Basket,Brody Brown,PNR,Left,Off,Zac Ditzel,Cuts,N/A,Basket
ASU,RIT,Alfred State Pioneers,2pmi,To Basket,Paris Jamison,Off Screens,Left,Straight,N/A,N/A,N/A,N/A
ASU,RIT,Rochester Institute of Technology Tigers,Turnover,N/A,Zac Ditzel,Transition,N/A,Right Wing,N/A,N/A,N/A,N/A
ASU,RIT,Alfred State Pioneers,2pMa,To Basket,Ryan Rosa,Cuts,N/A,Basket,N/A,N/A,N/A,N/A
ASU,RIT,Rochester Institute of Technology Tigers,2pmi,Dribble Jumper,Chase Dickens,Spot Ups,Left,Drive,N/A,N/A,N/A,N/A
ASU,RIT,Alfred State Pioneers,3pmi,No Dribble Jumper,Michael Miller,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A
ASU,RIT,Rochester Institute of Technology Tigers,Foul,To Basket,Kenny Wilburn,Transition,N/A,Trailer,N/A,N/A,N/A,N/A
ASU,RIT,Alfred State Pioneers,3pmi,No Dribble Jumper,Cody Schneider,Post,Left,Dribble,Paris Jamison,Spot Ups,N/A,Shot
ASU,RIT,Rochester Institute of Technology Tigers,2pMa,To Basket,Chase Dickens,PNR,High,Off,N/A,N/A,N/A,N/A
ASU,RIT,Alfred State Pioneers,3pmi,No Dribble Jumper,Michael Miller,PNR,Right,Off,Cody Schneider,P&R Roll Man,N/A,Pop
ASU,RIT,Rochester Institute of Technology Tigers,3pmi,No Dribble Jumper,Brody Brown,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A
ASU,RIT,Alfred State Pioneers,2pMa,To Basket,Paris Jamison,Spot Ups,Right,Drive,N/A,N/A,N/A,N/A
ASU,RIT,Rochester Institute of Technology Tigers,2pMa,To Basket,Keegan Ocorr,Spot Ups,Left,Drive,N/A,N/A,N/A,N/A
ASU,RIT,Alfred State Pioneers,Turnover,N/A,Michael Miller,Transition,N/A,Right Wing,N/A,N/A,N/A,N/A
ASU,RIT,Rochester Institute of Technology Tigers,2pMa,Dribble Jumper,Brody Brown,Off Screens,Left,Straight,N/A,N/A,N/A,N/A
ASU,RIT,Alfred State Pioneers,Foul,To Basket,Emmanuel Leftenant,Misc,N/A,N/A,N/A,N/A,N/A,N/A
ASU,RIT,Rochester Institute of Technology Tigers,Turnover,N/A,Kenny Wilburn,Iso,Top,N/A,N/A,N/A,N/A,N/A
ASU,RIT,Alfred State Pioneers,2pmi,To Basket,Cody Schneider,Transition,N/A,First Middle,N/A,N/A,N/A,N/A
ASU,RIT,Rochester Institute of Technology Tigers,2pmi,Dribble Jumper,Chase Dickens,PNR,High,Off,N/A,N/A,N/A,N/A
ASU,RIT,Alfred State Pioneers,Foul,To Basket,Emmanuel Leftenant,Transition,N/A,Ball Handler,N/A,N/A,N/A,N/A
ASU,RIT,Rochester Institute of Technology Tigers,Turnover,N/A,Matt Caggiano,Hand Offs,Left,Dribble,N/A,N/A,N/A,N/A
ASU,RIT,Alfred State Pioneers,Foul,To Basket,Logan Dunbar,Cuts,N/A,Basket,N/A,N/A,N/A,N/A
ASU,RIT,Rochester Institute of Technology Tigers,2pMa,To Basket,Matt Caggiano,PNR,High,Off,N/A,N/A,N/A,N/A
ASU,RIT,Alfred State Pioneers,3pmi,No Dribble Jumper,Dylan Perry,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A
ASU,RIT,Alfred State Pioneers,2pmi,To Basket,Logan Dunbar,Cuts,N/A,Basket,N/A,N/A,N/A,N/A
ASU,RIT,Rochester Institute of Technology Tigers,2pmi,To Basket,Matt Caggiano,Transition,N/A,Ball Handler,N/A,N/A,N/A,N/A
