Site,PossesionType,Opponent,Outcome,ShotType,PrimaryPlayType,PrimaryDirection,PrimaryAction,SecondaryPlayType,SecondaryDirection,SecondaryAction
Home,Defense,Bar,3pMa,No Dribble Jumper,Hand Offs,Left,Dribble,None,None,None
Home,Offense,Bar,3pmi,No Dribble Jumper,Spot Ups,None,Shot,None,None,None
Home,Defense,Bar,3pmi,No Dribble Jumper,Spot Ups,None,Shot,None,None,None
Home,Offense,Bar,3pMa,No Dribble Jumper,Off Screens,Right,Straight,None,None,None
Home,Defense,Bar,3pMa,Dribble Jumper,Transition,None,Right Wing,None,None,None
Home,Offense,Bar,3pMa,Dribble Jumper,PNR,High,Off,None,None,None
Home,Defense,Bar,3pmi,Dribble Jumper,Spot Ups,Right,Drive,None,None,None
Home,Offense,Bar,3pMa,No Dribble Jumper,Transition,None,Right Wing,None,None,None
Home,Defense,Bar,2pMa,Dribble Jumper,Hand Offs,Right,Dribble,None,None,None
Home,Offense,Bar,2pmi,To Basket,Spot Ups,Left,Drive,None,None,None
Home,Offense,Bar,3pMa,No Dribble Jumper,PNR,Left,None,None,None,None
Home,Defense,Bar,Foul,To Basket,Transition,None,Ball Handler,None,None,None
Home,Offense,Bar,2pMa,Dribble Jumper,PNR,High,Off,None,None,None
Home,Defense,Bar,2pMa,To Basket,Off Screens,Left,Straight,None,None,None
Home,Offense,Bar,3pmi,Dribble Jumper,PNR,High,None,None,None,None
Home,Offense,Bar,2pMa,Dribble Jumper,PNR,High,Off,None,None,None
Home,Defense,Bar,2pMa,To Basket,Iso,Top,None,None,None,None
Home,Offense,Bar,3pmi,Dribble Jumper,PNR,High,None,None,None,None
Home,Defense,Bar,3pmi,Dribble Jumper,Transition,None,Ball Handler,None,None,None
Home,Defense,Bar,3pmi,No Dribble Jumper,Spot Ups,None,Shot,None,None,None
Home,Offense,Bar,Foul,To Basket,PNR,Right,Off,None,None,None
Home,Defense,Bar,2pmi,Dribble Jumper,Misc,None,None,None,None,None
Home,Offense,Bar,2pmi,To Basket,PNR,High,Off,None,None,None
Home,Defense,Bar,And1,To Basket,Transition,None,Leak Outs,None,None,None
Home,Offense,Bar,2pmi,Dribble Jumper,Off Screens,Right,Flare,None,None,None
Home,Defense,Bar,2pMa,To Basket,Transition,None,Ball Handler,None,None,None
Home,Offense,Bar,3pMa,Dribble Jumper,Hand Offs,Left,Dribble,None,None,None
Home,Defense,Bar,Turnover,N/A,Misc,None,None,None,None,None
Home,Offense,Bar,2pMa,No Dribble Jumper,Off Screens,Right,Straight,None,None,None
Home,Defense,Bar,Turnover,N/A,Hand Offs,Right,Stationary,None,None,None
Home,Offense,Bar,3pMa,No Dribble Jumper,PNR,High,Off,Spot Ups,None,Shot
Home,Defense,Bar,Turnover,N/A,Off Screens,Right,Straight,None,None,None
Home,Offense,Bar,3pmi,No Dribble Jumper,PNR,High,Off,Spot Ups,None,Shot
Home,Defense,Bar,3pmi,No Dribble Jumper,Transition,None,Trailer,None,None,None
Home,Offense,Bar,Foul,To Basket,Transition,None,Left Wing,None,None,None
Home,Defense,Bar,2pmi,To Basket,PNR,Right,Off,None,None,None
Home,Offense,Bar,3pMa,No Dribble Jumper,PNR,Right,Off,Spot Ups,None,Shot
