Home,Away,OffensivePossession,Outcome,ShotType,PrimaryPlayer,PrimaryPlayType,PrimaryDirection,PrimaryAction,SecondaryPlayer,SecondaryPlayType,SecondaryDirection,SecondaryAction
GUB,RIT,Rochester Institute of Technology Tigers,3pmi,No Dribble Jumper,Brock Bowen,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A
GUB,RIT,Gallaudet University Bison,Turnover,N/A,Brandon Chung,Hand Offs,Top,Dribble,N/A,N/A,N/A,N/A
GUB,RIT,Rochester Institute of Technology Tigers,2pmi,To Basket,Jackson Otis,Cuts,N/A,Flash,N/A,N/A,N/A,N/A
GUB,RIT,Rochester Institute of Technology Tigers,And1,To Basket,Brock Bowen,Spot Ups,Right,Drive,N/A,N/A,N/A,N/A
GUB,RIT,Gallaudet University Bison,3pmi,Dribble Jumper,Rory Lewis,PNR,High,Off,N/A,N/A,N/A,N/A
GUB,RIT,Rochester Institute of Technology Tigers,3pMa,No Dribble Jumper,Jackson Otis,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A
GUB,RIT,Gallaudet University Bison,Foul,To Basket,Enow Otto Jr.,Hand Offs,Top,Dribble,N/A,N/A,N/A,N/A
GUB,RIT,Rochester Institute of Technology Tigers,2pmi,Dribble Jumper,Keegan Ocorr,Iso,Top,N/A,N/A,N/A,N/A,N/A
GUB,RIT,Gallaudet University Bison,Turnover,N/A,Bruce Brewer Jr,Hand Offs,Right,Dribble,N/A,N/A,N/A,N/A
GUB,RIT,Rochester Institute of Technology Tigers,3pMa,No Dribble Jumper,Brody Brown,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A
GUB,RIT,Gallaudet University Bison,2pmi,To Basket,Enow Otto Jr.,Cuts,N/A,Screen,N/A,N/A,N/A,N/A
GUB,RIT,Rochester Institute of Technology Tigers,3pMa,No Dribble Jumper,Brock Bowen,Transition,N/A,Trailer,N/A,N/A,N/A,N/A
GUB,RIT,Gallaudet University Bison,3pmi,No Dribble Jumper,Zachary Bippus,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A
GUB,RIT,Rochester Institute of Technology Tigers,Turnover,N/A,Jackson Otis,Transition,N/A,Right Wing,N/A,N/A,N/A,N/A
GUB,RIT,Gallaudet University Bison,2pmi,Dribble Jumper,Bruce Brewer Jr,PNR,High,Off,Blessed Mbogo,Spot Ups,Left,Drive
GUB,RIT,Rochester Institute of Technology Tigers,2pmi,No Dribble Jumper,Jackson Otis,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A
GUB,RIT,Rochester Institute of Technology Tigers,3pMa,No Dribble Jumper,Brock Bowen,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A
GUB,RIT,Gallaudet University Bison,2pmi,To Basket,Alex Antsiferov,Cuts,N/A,Basket,N/A,N/A,N/A,N/A
GUB,RIT,Rochester Institute of Technology Tigers,2pMa,To Basket,Jackson Otis,Cuts,N/A,Basket,N/A,N/A,N/A,N/A
GUB,RIT,Gallaudet University Bison,Foul,To Basket,Zachary Bippus,Iso,Top,N/A,N/A,N/A,N/A,N/A
GUB,RIT,Rochester Institute of Technology Tigers,3pmi,No Dribble Jumper,Keegan Ocorr,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A
GUB,RIT,Gallaudet University Bison,Turnover,N/A,Alex Antsiferov,Transition,N/A,First Middle,N/A,N/A,N/A,N/A
GUB,RIT,Rochester Institute of Technology Tigers,2pmi,To Basket,Keegan Ocorr,Transition,N/A,Left Wing,N/A,N/A,N/A,N/A
