Site,PossesionType,Opponent,Outcome,ShotType,PrimaryPlayType,PrimaryDirection,PrimaryAction,SecondaryPlayType,SecondaryDirection,SecondaryAction
Home,Defense,HOB,2pmi,To Basket,Spot Ups,Right,Drive,None,None,None
Home,Offense,HOB,2pMa,Dribble Jumper,Iso,Top,None,None,None,None
Home,Defense,HOB,2pMa,To Basket,Iso,Right,None,None,None,None
Home,Offense,HOB,Turnover,N/A,Misc,None,None,None,None,None
Home,Defense,HOB,2pmi,Dribble Jumper,PNR,Right,Away,None,None,None
Home,Defense,HOB,2pMa,Drop Step,Post,Right,Dribble Move,None,None,None
Home,Offense,HOB,2pmi,To Basket,Transition,None,Right Wing,None,None,None
Home,Defense,HOB,And1,To Basket,PNR,High,Away,None,None,None
Home,Offense,HOB,3pmi,No Dribble Jumper,PNR,High,Off,Spot Ups,None,Shot
Home,Offense,HOB,2pMa,To Basket,Cuts,None,Flash,None,None,None
Home,Defense,HOB,Turnover,N/A,Misc,None,None,None,None,None
Home,Offense,HOB,2pMa,To Basket,Transition,None,Ball Handler,None,None,None
Home,Defense,HOB,2pmi,To Basket,Misc,None,None,None,None,None
Home,Offense,HOB,2pMa,Dribble Jumper,Transition,None,Ball Handler,None,None,None
Home,Defense,HOB,3pMa,No Dribble Jumper,Spot Ups,None,Shot,None,None,None
Home,Offense,HOB,3pMa,No Dribble Jumper,Spot Ups,None,Shot,None,None,None
Home,Defense,HOB,2pmi,Dribble Jumper,PNR,Left,Off,Spot Ups,Left,Drive
Home,Offense,HOB,2pmi,Dribble Jumper,Spot Ups,Left,Drive,None,None,None
Home,Defense,HOB,2pMa,To Basket,Iso,Right,None,None,None,None
Home,Offense,HOB,3pMa,No Dribble Jumper,PNR,High,Off,P&R Roll Man,None,Pop
Home,Defense,HOB,2pMa,To Basket,PNR,Left,Away,None,None,None
Home,Offense,HOB,Foul,To Basket,Hand Offs,Left,Dribble,None,None,None
Home,Defense,HOB,2pmi,To Basket,Misc,None,None,None,None,None
Home,Offense,HOB,2pMa,Dribble Jumper,Spot Ups,Left,Drive,None,None,None
Home,Defense,HOB,Turnover,N/A,Misc,None,None,None,None,None
Home,Offense,HOB,3pmi,No Dribble Jumper,Spot Ups,None,Shot,None,None,None
