Site,PossesionType,Opponent,Outcome,ShotType,PrimaryPlayType,PrimaryDirection,PrimaryAction,SecondaryPlayType,SecondaryDirection,SecondaryAction
Home,Defense,IC,3pMa,No Dribble Jumper,Hand Offs,Right,Dribble,None,None,None
Home,Offense,IC,3pMa,No Dribble Jumper,Spot Ups,None,Shot,None,None,None
Home,Defense,IC,2pmi,To Basket,PNR,Left,Off,P&R Roll Man,None,Roll
Home,Offense,IC,2pMa,To Basket,Transition,None,Leak Outs,None,None,None
Home,Defense,IC,3pmi,No Dribble Jumper,Transition,None,Right Wing,None,None,None
Home,Offense,IC,2pmi,To Basket,Spot Ups,Left,Drive,None,None,None
Home,Defense,IC,Foul,No Dribble Jumper,Hand Offs,Left,Dribble,None,None,None
Home,Offense,IC,2pmi,Dribble Jumper,Spot Ups,Right,Drive,None,None,None
Home,Defense,IC,3pmi,No Dribble Jumper,PNR,High,Off,Spot Ups,None,Shot
Home,Defense,IC,Turnover,N/A,Spot Ups,Right,Drive,None,None,None
Home,Offense,IC,3pMa,No Dribble Jumper,Off Screens,Left,Straight,None,None,None
Home,Defense,IC,3pmi,No Dribble Jumper,Hand Offs,Top,Dribble,None,None,None
Home,Offense,IC,3pMa,No Dribble Jumper,Iso,Top,None,Spot Ups,None,Shot
Home,Defense,IC,Foul,To Basket,PNR,High,Off,None,None,None
Home,Offense,IC,And1,To Basket,Cuts,None,Basket,None,None,None
Home,Defense,IC,3pmi,No Dribble Jumper,Spot Ups,None,Shot,None,None,None
Home,Offense,IC,3pmi,Dribble Jumper,Transition,None,Ball Handler,None,None,None
Home,Defense,IC,3pmi,No Dribble Jumper,Post,Left,None,Spot Ups,None,Shot
Home,Defense,IC,Foul,To Basket,Post,Left,Dribble Move,None,None,None
Home,Offense,IC,2pmi,To Basket,Iso,Top,None,None,None,None
Home,Defense,IC,3pmi,No Dribble Jumper,Transition,None,Left Wing,None,None,None
Home,Offense,IC,2pMa,To Basket,PNR,Left,Off,Cuts,None,Basket
Home,Defense,IC,3pmi,No Dribble Jumper,Spot Ups,None,Shot,None,None,None
Home,Defense,IC,3pmi,No Dribble Jumper,PNR,Right,Off,Spot Ups,None,Shot
Home,Offense,IC,2pMa,To Basket,Transition,None,Leak Outs,None,None,None
Home,Defense,IC,3pMa,No Dribble Jumper,PNR,Left,Off,P&R Roll Man,None,Pop
Home,Offense,IC,3pmi,No Dribble Jumper,Spot Ups,None,Shot,None,None,None
Home,Offense,IC,3pMa,No Dribble Jumper,Spot Ups,None,Shot,None,None,None
