Site,PossesionType,Opponent,Outcome,ShotType,PrimaryPlayType,PrimaryDirection,PrimaryAction,SecondaryPlayType,SecondaryDirection,SecondaryAction
Home,Offense,SLS,Turnover,N/A,Misc,N/A,N/A,N/A,N/A,N/A
Home,Defense,SLS,Turnover,N/A,Transition,N/A,Ball Handler,N/A,N/A,N/A
Home,Offense,SLS,2pmi,No Dribble Jumper,Spot Ups,N/A,Shot,N/A,N/A,N/A
Home,Offense,SLS,2pmi,To Basket,Spot Ups,Right,Drive,N/A,N/A,N/A
Home,Defense,SLS,2pmi,Drop Step,Post,Middle,Dribble Move,N/A,N/A,N/A
Home,Offense,SLS,3pMa,No Dribble Jumper,Post,Right,Dribble Move,Spot Ups,N/A,Shot
Home,Defense,SLS,Turnover,N/A,PNR,Left,Off,N/A,N/A,N/A
Home,Offense,SLS,Turnover,N/A,Misc,N/A,N/A,N/A,N/A,N/A
Home,Defense,SLS,3pmi,No Dribble Jumper,Transition,N/A,Left Wing,N/A,N/A,N/A
Home,Defense,SLS,2pMa,To Basket,Post,Right,Dribble Move,N/A,N/A,N/A
Home,Offense,SLS,3pmi,Dribble Jumper,Spot Ups,Left,Drive,N/A,N/A,N/A
Home,Offense,SLS,3pmi,No Dribble Jumper,Spot Ups,N/A,Shot,N/A,N/A,N/A
Home,Offense,SLS,3pmi,No Dribble Jumper,Spot Ups,N/A,Shot,N/A,N/A,N/A
Home,Defense,SLS,Turnover,N/A,Spot Ups,Left,Drive,N/A,N/A,N/A
Home,Offense,SLS,Turnover,N/A,Spot Ups,Right,Drive,N/A,N/A,N/A
Home,Defense,SLS,2pmi,To Basket,Transition,N/A,First Middle,N/A,N/A,N/A
Home,Defense,SLS,3pmi,No Dribble Jumper,Off Screens,Left,Straight,N/A,N/A,N/A
Home,Offense,SLS,2pMa,To Basket,Cuts,N/A,Basket,N/A,N/A,N/A
Home,Defense,SLS,3pMa,No Dribble Jumper,Spot Ups,N/A,Shot,N/A,N/A,N/A
Home,Offense,SLS,2pMa,To Basket,Spot Ups,Left,Drive,N/A,N/A,N/A
Home,Defense,SLS,2pmi,To Basket,PNR,Left,Away,N/A,N/A,N/A
Home,Offense,SLS,2pmi,To Basket,Transition,N/A,Left Wing,N/A,N/A,N/A
Home,Defense,SLS,Turnover,N/A,Post,Left,Dribble Move,N/A,N/A,N/A
Home,Offense,SLS,2pmi,To Basket,Cuts,N/A,Basket,N/A,N/A,N/A
Home,Defense,SLS,2pmi,Dribble Jumper,Hand Offs,Top,Dribble,N/A,N/A,N/A
Home,Defense,SLS,2pmi,Dribble Jumper,Spot Ups,Left,Drive,N/A,N/A,N/A
Home,Defense,SLS,Turnover,N/A,Misc,N/A,N/A,N/A,N/A,N/A
Home,Offense,SLS,2pMa,To Basket,Transition,N/A,First Middle,N/A,N/A,N/A
Home,Defense,SLS,Foul,To Basket,Cuts,N/A,Basket,N/A,N/A,N/A
Home,Offense,SLS,,N/A,,N/A,N/A,N/A,N/A,N/A
Home,Defense,SLS,2pmi,To Basket,Spot Ups,Right,Drive,N/A,N/A,N/A
Home,Offense,SLS,3pmi,No Dribble Jumper,Spot Ups,N/A,Shot,N/A,N/A,N/A
Home,Defense,SLS,3pmi,No Dribble Jumper,Transition,N/A,Right Wing,N/A,N/A,N/A
Home,Offense,SLS,3pmi,No Dribble Jumper,Transition,N/A,Left Wing,N/A,N/A,N/A
Home,Defense,SLS,3pmi,No Dribble Jumper,Spot Ups,N/A,Shot,N/A,N/A,N/A
Home,Offense,SLS,Turnover,N/A,Misc,N/A,N/A,N/A,N/A,N/A
Home,Defense,SLS,2pMa,To Basket,Transition,N/A,First Middle,N/A,N/A,N/A
Home,Offense,SLS,Turnover,N/A,Spot Ups,N/A,N/A,N/A,N/A,N/A
Home,Defense,SLS,3pMa,No Dribble Jumper,PNR,High,Off,Spot Ups,N/A,Shot
Home,Offense,SLS,3pmi,No Dribble Jumper,Spot Ups,N/A,Shot,N/A,N/A,N/A
Home,Offense,SLS,3pMa,No Dribble Jumper,Spot Ups,N/A,Shot,N/A,N/A,N/A
Home,Defense,SLS,2pMa,To Basket,Transition,N/A,First Middle,N/A,N/A,N/A
Home,Offense,SLS,3pmi,No Dribble Jumper,Spot Ups,N/A,Shot,N/A,N/A,N/A
Home,Defense,SLS,3pmi,No Dribble Jumper,Post,Middle,N/A,Spot Ups,N/A,Shot
Home,Offense,SLS,2pMa,No Dribble Jumper,Spot Ups,N/A,Shot,N/A,N/A,N/A
Home,Defense,SLS,3pmi,No Dribble Jumper,Spot Ups,N/A,Shot,N/A,N/A,N/A
Home,Offense,SLS,3pMa,No Dribble Jumper,Spot Ups,N/A,Shot,N/A,N/A,N/A
Home,Defense,SLS,2pmi,To Basket,Spot Ups,Left,Drive,N/A,N/A,N/A
Home,Defense,SLS,2pmi,To Basket,Off Screens,Right,Straight,N/A,N/A,N/A
Home,Offense,SLS,3pmi,No Dribble Jumper,Spot Ups,N/A,Shot,N/A,N/A,N/A
Home,Offense,SLS,3pmi,No Dribble Jumper,Spot Ups,N/A,Shot,N/A,N/A,N/A
