Home,Away,OffensivePossession,Outcome,ShotType,PrimaryPlayer,PrimaryPlayType,PrimaryDirection,PrimaryAction,SecondaryPlayer,SecondaryPlayType,SecondaryDirection,SecondaryAction
VC,RIT,Rochester Institute of Technology Tigers,3pMa,No Dribble Jumper,Brock Bowen,Off Screens,Right,Straight,N/A,N/A,N/A,N/A
VC,RIT,Vassar Brewers,2pmi,To Basket,JP Miranda,Spot Ups,Left,Drive,N/A,N/A,N/A,N/A
VC,RIT,Vassar Brewers,2pMa,To Basket,JP Miranda,Spot Ups,Straight,Drive,N/A,N/A,N/A,N/A
VC,RIT,Rochester Institute of Technology Tigers,2pmi,No Dribble Jumper,Chase Dickens,Iso,Right,N/A,Kenny Wilburn,Spot Ups,N/A,Shot
VC,RIT,Rochester Institute of Technology Tigers,2pmi,To Basket,Chase Dickens,PNR,Left,Off,N/A,N/A,N/A,N/A
VC,RIT,Rochester Institute of Technology Tigers,2pmi,To Basket,Kenny Wilburn,Cuts,N/A,Basket,N/A,N/A,N/A,N/A
VC,RIT,Rochester Institute of Technology Tigers,Foul,Dribble Jumper,Keegan Ocorr,Spot Ups,Right,Drive,N/A,N/A,N/A,N/A
VC,RIT,Vassar Brewers,2pmi,Dribble Jumper,JP Miranda,Spot Ups,Left,Drive,N/A,N/A,N/A,N/A
VC,RIT,Rochester Institute of Technology Tigers,And1,To Basket,Chase Dickens,Iso,Left,N/A,N/A,N/A,N/A,N/A
VC,RIT,Vassar Brewers,3pMa,No Dribble Jumper,Shea Fitzgerald,PNR,High,Off,JP Miranda,Spot Ups,N/A,Shot
VC,RIT,Rochester Institute of Technology Tigers,2pMa,To Basket,Brock Bowen,PNR,High,Off,Jackson Otis,Spot Ups,Right,Drive
VC,RIT,Vassar Brewers,Turnover,N/A,Shea Fitzgerald,Misc,N/A,N/A,N/A,N/A,N/A,N/A
VC,RIT,Rochester Institute of Technology Tigers,2pMa,To Basket,Keegan Ocorr,Misc,N/A,N/A,N/A,N/A,N/A,N/A
VC,RIT,Vassar Brewers,2pMa,To Basket,JP Miranda,PNR,High,Off,Nathan Denham,P&R Roll Man,N/A,Roll
