#,Title,Notes,Text Overlay,User Tags,Synergy Tags,Result,Duration,In Point,Out Point,Team,Game,Date,Pd.,Clock,Player,Synergy String
1,Brock Bowen,,,,"Post Up, Spot Up, 3FGM, Assist",Make 3 Pts,00:00:26.6,,,Rochester Institute of Technology Tigers,RIT@VC,02/09/2024,1,19:37,"Brock Bowen, Josiah Turner",33 Josiah Turner > Post-Up > Right Block > Post Pin > Dribble Move > Defense Commits > Ball Delivered > 10 Brock Bowen > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Make 3 Pts,
2,Kreekor Karageuzian,,,,"Cut, 2FGm",Miss 2 Pts,00:00:22.6,,,Vassar Brewers,RIT@VC,02/09/2024,1,19:16,Kreekor Karageuzian,4 Kreekor Karageuzian > Cut > Basket > Miss 2 Pts,
3,Shea Fitzgerald,,,,"Off Screen, 3FGm, Def Reb",Miss 3 Pts,00:00:10.2,,,Vassar Brewers,RIT@VC,02/09/2024,1,19:13,"Shea Fitzgerald, Brock Bowen",3 Shea Fitzgerald > Off Screen > To Shooter's Left > Straight > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts,
4,Jackson Otis,,,,"Spot Up, 3FGm, Def Reb",Miss 3 Pts,00:00:20.9,,,Rochester Institute of Technology Tigers,RIT@VC,02/09/2024,1,18:58,"Jackson Otis, Shea Fitzgerald",25 Jackson Otis > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts,
5,Case Parsons,,,,"Transition, 3FGm",Miss 3 Pts,00:00:16.9,,,Vassar Brewers,RIT@VC,02/09/2024,1,18:50,Case Parsons,21 Case Parsons > Transition > Trailer > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts,
6,Keegan Ocorr,,,,"P&R BH, 2FGm, Def Reb",Miss 2 Pts,00:00:17.1,,,Rochester Institute of Technology Tigers,RIT@VC,02/09/2024,1,18:32,"Keegan Ocorr, Case Parsons",1 Keegan Ocorr > P&R Ball Handler > High P&R > Dribble Off Pick > To Basket > Miss 2 Pts,
7,Case Parsons,,,,"Transition, 2FGm, Def Reb",Miss 2 Pts,00:00:15.5,,,Vassar Brewers,RIT@VC,02/09/2024,1,18:23,"Case Parsons, Brock Bowen",21 Case Parsons > Transition > Trailer > To Basket > Miss 2 Pts,
8,Chase Dickens,,,,"Transition, 3FGM, Assist",Make 3 Pts,00:00:14.8,,,Rochester Institute of Technology Tigers,RIT@VC,02/09/2024,1,18:16,"Brock Bowen, Chase Dickens",11 Chase Dickens > Transition > Right Wing > No Dribble Jumper > Open > Long/3pt > Make 3 Pts,
9,Shea Fitzgerald,,,,"P&R BH, Turnover",Turnover,00:00:36.6,,,Vassar Brewers,RIT@VC,02/09/2024,1,17:39,Shea Fitzgerald,3 Shea Fitzgerald > P&R Ball Handler > Right P&R > Side > Dribble Off Pick > Defense Commits > Turnover,
10,Chase Dickens,,,,"Handoff, 2FGm",Miss 2 Pts,00:00:14.2,,,Rochester Institute of Technology Tigers,RIT@VC,02/09/2024,1,17:24,Chase Dickens,11 Chase Dickens > Hand Off > From Dribble > Top > To Basket > Miss 2 Pts,
