#,Title,Notes,Text Overlay,User Tags,Synergy Tags,Result,Duration,In Point,Out Point,Team,Game,Date,Pd.,Clock,Player,Synergy String
1,Keegan Ocorr,,,,"Turnover, Steal",Turnover,00:00:14.0,,,Rochester Institute of Technology Tigers,SLS@RIT,02/02/2024,1,19:49,"Trey Syroka, Keegan Ocorr",1 Keegan Ocorr > No Play Type > Turnover,
2,Gavin Macaulay,,,,"Transition Turnover, Turnover",Turnover,00:00:12.3,,,St. Lawrence Saints,SLS@RIT,02/02/2024,1,19:45,Gavin Macaulay,13 Gavin Macaulay > Transition > Ballhandler > Turnover,
3,Jackson Otis,,,,"Spot Up, 2FGm",Miss 2 Pts,00:00:19.2,,,Rochester Institute of Technology Tigers,SLS@RIT,02/02/2024,1,19:30,Jackson Otis,25 Jackson Otis > Spot-Up > No Dribble Jumper > Open > Medium/17' to <3p > Miss 2 Pts,
4,Josiah Turner,,,,"Off Reb, Off Reb",Run Offense,00:00:07.3,,,Rochester Institute of Technology Tigers,SLS@RIT,02/02/2024,1,,Josiah Turner,33 Josiah Turner > Offensive Rebound > Long > Run Offense,
5,Keegan Ocorr,,,,"Spot Up, 2FGm",Miss 2 Pts,00:00:19.7,,,Rochester Institute of Technology Tigers,SLS@RIT,02/02/2024,1,19:19,Keegan Ocorr,1 Keegan Ocorr > Spot-Up > Drives Right > To Basket > Miss 2 Pts,
6,Andrew Cowan,,,,"Post Up, 2FGm, Def Reb",Miss 2 Pts,00:00:20.5,,,St. Lawrence Saints,SLS@RIT,02/02/2024,1,18:48,"Andrew Cowan, Chase Dickens",24 Andrew Cowan > Post-Up > Flash Middle > Right Shoulder > Dribble Move > To Drop Step > Miss 2 Pts,
7,Brock Bowen,,,,"Post Up, Spot Up, 3FGM, Assist",Make 3 Pts,00:00:14.9,,,Rochester Institute of Technology Tigers,SLS@RIT,02/02/2024,1,18:39,"Brock Bowen, Jackson Otis",25 Jackson Otis > Post-Up > Right Block > Right Shoulder > Dribble Move > Defense Commits > Ball Delivered > 10 Brock Bowen > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Make 3 Pts,
8,Gavin Macaulay,,,,"P&R BH, Turnover",Turnover,00:00:17.1,,,St. Lawrence Saints,SLS@RIT,02/02/2024,1,18:23,Gavin Macaulay,13 Gavin Macaulay > P&R Ball Handler > Left P&R > Side > Dribble Off Pick > Turnover,
9,Josiah Turner,,,,"Turnover, Steal",Turnover,00:00:14.9,,,Rochester Institute of Technology Tigers,SLS@RIT,02/02/2024,1,18:09,"Josiah Turner, Trey Syroka",33 Josiah Turner > No Play Type > Turnover,
10,Aiden Macaulay,,,,"Transition, 3FGm",Miss 3 Pts,00:00:19.5,,,St. Lawrence Saints,SLS@RIT,02/02/2024,1,18:02,Aiden Macaulay,23 Aiden Macaulay > Transition > Left Wing > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts,
11,Aiden Macaulay,,,,"Off Reb, Off Reb",Run Offense,00:00:11.8,,,St. Lawrence Saints,SLS@RIT,02/02/2024,1,,Aiden Macaulay,23 Aiden Macaulay > Offensive Rebound > Long > Run Offense,
12,Andrew Cowan,,,,"Post Up, 2FGM",Make 2 Pts,00:00:28.1,,,St. Lawrence Saints,SLS@RIT,02/02/2024,1,17:38,Andrew Cowan,24 Andrew Cowan > Post-Up > Right Block > Right Shoulder > Dribble Move > To Basket > Make 2 Pts,
13,Chase Dickens,,,,"Spot Up, 3FGm",Miss 3 Pts,00:00:19.8,,,Rochester Institute of Technology Tigers,SLS@RIT,02/02/2024,1,17:19,Chase Dickens,11 Chase Dickens > Spot-Up > Drives Left > Dribble Jumper > Long/3pt > Miss 3 Pts,
14,Josiah Turner,,,,"Off Reb, Off Reb",Run Offense,00:00:07.2,,,Rochester Institute of Technology Tigers,SLS@RIT,02/02/2024,1,,Josiah Turner,33 Josiah Turner > Offensive Rebound > Short > Run Offense,
15,Brock Bowen,,,,"Spot Up, 3FGm",Miss 3 Pts,00:00:16.7,,,Rochester Institute of Technology Tigers,SLS@RIT,02/02/2024,1,17:13,Brock Bowen,10 Brock Bowen > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts,
16,Keegan Ocorr,,,,"Off Reb, Off Reb",Run Offense,00:00:10.5,,,Rochester Institute of Technology Tigers,SLS@RIT,02/02/2024,1,,Keegan Ocorr,1 Keegan Ocorr > Offensive Rebound > Long > Run Offense,
17,Chase Dickens,,,,"Spot Up, 3FGm, Def Reb",Miss 3 Pts,00:00:19.9,,,Rochester Institute of Technology Tigers,SLS@RIT,02/02/2024,1,16:59,"Chase Dickens, Adam Dudzinski",11 Chase Dickens > Spot-Up > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts,
18,Trey Syroka,,,,"Spot Up, Turnover, Steal",Turnover,00:00:12.9,,,St. Lawrence Saints,SLS@RIT,02/02/2024,1,16:42,"Trey Syroka, Brock Bowen",2 Trey Syroka > Spot-Up > Drives Left > Turnover,
19,Brock Bowen,,,,Foul,Non Shooting Foul,00:00:09.5,,,,SLS@RIT,02/02/2024,1,,Andrew Cowan,10 Brock Bowen > Non Possession > Non Shooting Foul,
20,Jackson Otis,,,,"Spot Up, Turnover",Turnover,00:00:21.9,,,Rochester Institute of Technology Tigers,SLS@RIT,02/02/2024,1,16:24,Jackson Otis,25 Jackson Otis > Spot-Up > Drives Right > Turnover,
21,Andrew Cowan,,,,"Transition, 2FGm, Block, Blocked Attempt",Miss 2 Pts,00:00:15.7,,,St. Lawrence Saints,SLS@RIT,02/02/2024,1,16:18,"Andrew Cowan, Josiah Turner",24 Andrew Cowan > Transition > First Middle > To Basket > Miss 2 Pts,
22,Andrew Cowan,,,,"Off Reb, Off Reb, Foul",Run Offense,00:00:06.6,,,St. Lawrence Saints,SLS@RIT,02/02/2024,1,,"Andrew Cowan, Brock Bowen",24 Andrew Cowan > Offensive Rebound > Short > Run Offense,
23,Aiden Macaulay,,,,"Off Screen, 3FGm, Def Reb",Miss 3 Pts,00:00:11.6,,,St. Lawrence Saints,SLS@RIT,02/02/2024,1,16:11,"Chase Dickens, Aiden Macaulay",23 Aiden Macaulay > Off Screen > To Shooter's Left > Straight > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts,
24,Josiah Turner,,,,"Cut, 2FGM, Assist",Make 2 Pts,00:00:13.4,,,Rochester Institute of Technology Tigers,SLS@RIT,02/02/2024,1,15:55,"Josiah Turner, Jackson Otis",33 Josiah Turner > Cut > Basket > Make 2 Pts,
25,Trey Syroka,,,,"Spot Up, 3FGM, Assist",Make 3 Pts,00:00:24.4,,,St. Lawrence Saints,SLS@RIT,02/02/2024,1,15:28,"Trey Syroka, Gavin Macaulay",2 Trey Syroka > Spot-Up > No Dribble Jumper > Open > Long/3pt > Make 3 Pts,
26,Chase Dickens,,,,Foul,Non Shooting Foul,00:00:10.5,,,,SLS@RIT,02/02/2024,1,,Trey Syroka,11 Chase Dickens > Non Possession > Non Shooting Foul,
27,Chase Dickens,,,,"Spot Up, 2FGM",Make 2 Pts,00:00:07.8,,,Rochester Institute of Technology Tigers,SLS@RIT,02/02/2024,1,15:11,Chase Dickens,11 Chase Dickens > Spot-Up > Drives Left > To Basket > Make 2 Pts,
28,Aiden Macaulay,,,,"P&R BH, 2FGm, Def Reb",Miss 2 Pts,00:00:26.1,,,St. Lawrence Saints,SLS@RIT,02/02/2024,1,14:47,"Josiah Turner, Aiden Macaulay",23 Aiden Macaulay > P&R Ball Handler > Left P&R > Side > Go Away from Pick > To Basket > Miss 2 Pts,
29,Jackson Otis,,,,"Transition, 2FGm, Block, Blocked Attempt",Miss 2 Pts,00:00:16.0,,,Rochester Institute of Technology Tigers,SLS@RIT,02/02/2024,1,14:40,"Jackson Otis, Andrew Cowan",25 Jackson Otis > Transition > Left Wing > To Basket > Miss 2 Pts,
30,Jackson Otis,,,,"Off Reb, 2FGM, Off Reb",Make 2 Pts,00:00:08.7,,,Rochester Institute of Technology Tigers,SLS@RIT,02/02/2024,1,14:40,Jackson Otis,25 Jackson Otis > Offensive Rebound > Short > Scoring Attempt > At Basket > Make 2 Pts,
31,Andrew Cowan,,,,"Post Up, Turnover, Steal",Turnover,00:00:19.9,,,St. Lawrence Saints,SLS@RIT,02/02/2024,1,14:33,"Andrew Cowan, Chase Dickens",24 Andrew Cowan > Post-Up > Left Block > Left Shoulder > Dribble Move > Defense Commits > Turnover,
32,Jackson Otis,,,,"Cut, 2FGm, Def Reb",Miss 2 Pts,00:00:14.1,,,Rochester Institute of Technology Tigers,SLS@RIT,02/02/2024,1,14:08,"Jackson Otis, Adam Dudzinski",25 Jackson Otis > Cut > Basket > Miss 2 Pts,
33,Trey Syroka,,,,"Handoff, 2FGm",Miss 2 Pts,00:00:13.3,,,St. Lawrence Saints,SLS@RIT,02/02/2024,1,13:54,Trey Syroka,2 Trey Syroka > Hand Off > From Dribble > Top > Dribble Jumper > Short to < 17' > Miss 2 Pts,
34,Carter Storey,,,,"Off Reb, Off Reb",Run Offense,00:00:07.7,,,St. Lawrence Saints,SLS@RIT,02/02/2024,1,,Carter Storey,10 Carter Storey > Offensive Rebound > Short > Run Offense,
35,Troy McPherson,,,,"Spot Up, 2FGm",Miss 2 Pts,00:00:18.9,,,St. Lawrence Saints,SLS@RIT,02/02/2024,1,13:49,Troy McPherson,4 Troy McPherson > Spot-Up > Drives Left > Dribble Jumper > Medium/17' to <3p > Miss 2 Pts,
36,Troy McPherson,,,,"Off Reb, Off Reb",Run Offense,00:00:11.5,,,St. Lawrence Saints,SLS@RIT,02/02/2024,1,,Troy McPherson,4 Troy McPherson > Offensive Rebound > Long > Run Offense,
