Home,Away,OffensivePossession,Outcome,ShotType,PrimaryPlayer,PrimaryPlayType,PrimaryDirection,PrimaryAction,SecondaryPlayer,SecondaryPlayType,SecondaryDirection,SecondaryAction
RIT,Bar,Rochester Institute of Technology Tigers,2pmi,To Basket,Keegan Ocorr,Cuts,N/A,Screen,N/A,N/A,N/A,N/A
RIT,Bar,Bard College,3pmi,No Dribble Jumper,Laz Panagiotounis,PNR,Right,Off,Sean Wilcox,Spot Ups,N/A,Shot
RIT,Bar,Rochester Institute of Technology Tigers,2pmi,Hook Shot,Kenny Wilburn,Post,Left,Dribble,N/A,N/A,N/A,N/A
RIT,Bar,Bard College,3pmi,No Dribble Jumper,Rowan Heinze,Post,Right,Dribble,Cory Dennis,Spot Ups,N/A,Shot
RIT,Bar,Rochester Institute of Technology Tigers,Foul,To Basket,Keegan Ocorr,Off Screens,Left,Flare,N/A,N/A,N/A,N/A
RIT,Bar,Bard College,Turnover,N/A,Sean Wilcox,Post,Right,Dribble,N/A,N/A,N/A,N/A
RIT,Bar,Rochester Institute of Technology Tigers,Turnover,N/A,Keegan Ocorr,Transition,N/A,N/A,N/A,N/A,N/A,N/A
RIT,Bar,Bard College,2pmi,Drop Step,Sean Wilcox,Post,Left,Dribble,N/A,N/A,N/A,N/A
RIT,Bar,Bard College,3pMa,No Dribble Jumper,Cory Dennis,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A
RIT,Bar,Rochester Institute of Technology Tigers,And1,To Basket,Chase Dickens,PNR,Right,Off,N/A,N/A,N/A,N/A
RIT,Bar,Rochester Institute of Technology Tigers,3pmi,Dribble Jumper,Brock Bowen,Spot Ups,Straight,Drive,N/A,N/A,N/A,N/A
RIT,Bar,Rochester Institute of Technology Tigers,2pmi,To Basket,Chase Dickens,Cuts,N/A,Basket,N/A,N/A,N/A,N/A
RIT,Bar,Bard College,3pMa,No Dribble Jumper,Laz Panagiotounis,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A
RIT,Bar,Rochester Institute of Technology Tigers,2pMa,To Basket,Kenny Wilburn,Cuts,N/A,Basket,N/A,N/A,N/A,N/A
RIT,Bar,Bard College,3pMa,No Dribble Jumper,Elliot Harris,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A
RIT,Bar,Rochester Institute of Technology Tigers,Turnover,N/A,Kenny Wilburn,Post,Middle,Face Up,N/A,N/A,N/A,N/A
RIT,Bar,Bard College,2pMa,To Basket,Elliot Harris,Cuts,N/A,Screen,N/A,N/A,N/A,N/A
RIT,Bar,Rochester Institute of Technology Tigers,2pmi,Dribble Jumper,Chase Dickens,Spot Ups,Right,Drive,N/A,N/A,N/A,N/A
RIT,Bar,Bard College,2pmi,To Basket,Connor Melis,Transition,N/A,Right Wing,N/A,N/A,N/A,N/A
RIT,Bar,Rochester Institute of Technology Tigers,Turnover,N/A,Brock Bowen,Transition,N/A,Ball Handler,N/A,N/A,N/A,N/A
RIT,Bar,Bard College,2pMa,To Basket,Rowan Heinze,Cuts,N/A,Flash,N/A,N/A,N/A,N/A
RIT,Bar,Rochester Institute of Technology Tigers,Turnover,N/A,Luke Granto,Spot Ups,Left,Drive,N/A,N/A,N/A,N/A
RIT,Bar,Bard College,3pMa,Dribble Jumper,Laz Panagiotounis,PNR,Right,Off,N/A,N/A,N/A,N/A
RIT,Bar,Rochester Institute of Technology Tigers,2pmi,To Basket,Brody Brown,Off Screens,Left,Flare,N/A,N/A,N/A,N/A
RIT,Bar,Bard College,Foul,To Basket,Rowan Heinze,Cuts,N/A,Basket,N/A,N/A,N/A,N/A
RIT,Bar,Rochester Institute of Technology Tigers,3pmi,No Dribble Jumper,Luke Granto,PNR,High,Off,Ronnie Toole,Spot Ups,N/A,Shot
RIT,Bar,Bard College,3pmi,No Dribble Jumper,Heston Tucker,Transition,N/A,Left Wing,N/A,N/A,N/A,N/A
RIT,Bar,Rochester Institute of Technology Tigers,2pmi,To Basket,Luke Granto,Transition,N/A,Ball Handler,N/A,N/A,N/A,N/A
RIT,Bar,Bard College,2pMa,To Basket,Heston Tucker,Cuts,N/A,Screen,N/A,N/A,N/A,N/A
RIT,Bar,Rochester Institute of Technology Tigers,2pMa,To Basket,Brandon Weiss,Spot Ups,Right,Drive,N/A,N/A,N/A,N/A
RIT,Bar,Bard College,Turnover,N/A,Elliot Harris,Misc,N/A,N/A,N/A,N/A,N/A,N/A
RIT,Bar,Rochester Institute of Technology Tigers,Turnover,N/A,Luke Granto,Transition,N/A,Right Wing,N/A,N/A,N/A,N/A
RIT,Bar,Bard College,3pMa,No Dribble Jumper,Cory Dennis,Off Screens,Right,Straight,N/A,N/A,N/A,N/A
RIT,Bar,Rochester Institute of Technology Tigers,3pMa,No Dribble Jumper,Keegan Ocorr,PNR,Right,Away,Zac Ditzel,Spot Ups,N/A,Shot
RIT,Bar,Bard College,2pMa,To Basket,Heston Tucker,Cuts,N/A,Screen,N/A,N/A,N/A,N/A
RIT,Bar,Rochester Institute of Technology Tigers,2pmi,To Basket,Kenny Wilburn,Spot Ups,Right,Drive,N/A,N/A,N/A,N/A
RIT,Bar,Bard College,2pMa,To Basket,Heston Tucker,Transition,N/A,Left Wing,N/A,N/A,N/A,N/A
RIT,Bar,Rochester Institute of Technology Tigers,2pmi,To Basket,Kenny Wilburn,Cuts,N/A,Flash,N/A,N/A,N/A,N/A
RIT,Bar,Bard College,Turnover,N/A,Azriel Almodovar,Transition,N/A,Ball Handler,N/A,N/A,N/A,N/A
RIT,Bar,Rochester Institute of Technology Tigers,Foul,To Basket,Zac Ditzel,Transition,N/A,Ball Handler,N/A,N/A,N/A,N/A
RIT,Bar,Bard College,2pMa,To Basket,Azriel Almodovar,PNR,Right,Off,N/A,N/A,N/A,N/A
RIT,Bar,Rochester Institute of Technology Tigers,3pMa,No Dribble Jumper,Kenny Wilburn,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A
RIT,Bar,Bard College,3pmi,No Dribble Jumper,Elliot Harris,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A
RIT,Bar,Rochester Institute of Technology Tigers,2pMa,To Basket,Jackson Otis,Cuts,N/A,Basket,N/A,N/A,N/A,N/A
RIT,Bar,Bard College,Turnover,N/A,Elliot Harris,Off Screens,Left,Straight,N/A,N/A,N/A,N/A
RIT,Bar,Rochester Institute of Technology Tigers,Turnover,N/A,Kenny Wilburn,Misc,N/A,N/A,N/A,N/A,N/A,N/A
RIT,Bar,Bard College,2pMa,To Basket,Heston Tucker,Cuts,N/A,Screen,N/A,N/A,N/A,N/A
RIT,Bar,Rochester Institute of Technology Tigers,2pmi,To Basket,Kenny Wilburn,Iso,Top,N/A,Brandon Weiss,Spot Ups,Left,Drive
RIT,Bar,Bard College,3pmi,No Dribble Jumper,Laz Panagiotounis,Off Screens,Left,Flare,N/A,N/A,N/A,N/A
RIT,Bar,Rochester Institute of Technology Tigers,3pMa,No Dribble Jumper,Keegan Ocorr,PNR,High,Off,Brandon Weiss,Spot Ups,N/A,Shot
RIT,Bar,Bard College,2pmi,To Basket,Laz Panagiotounis,PNR,Left,Off,Rowan Heinze,P&R Roll Man,N/A,Roll
RIT,Bar,Rochester Institute of Technology Tigers,2pMa,To Basket,Zac Ditzel,Cuts,N/A,Basket,N/A,N/A,N/A,N/A
RIT,Bar,Bard College,3pmi,No Dribble Jumper,Laz Panagiotounis,PNR,Left,Off,Sean Wilcox,Spot Ups,N/A,Shot
RIT,Bar,Bard College,Turnover,N/A,Rowan Heinze,Misc,N/A,N/A,N/A,N/A,N/A,N/A
RIT,Bar,Rochester Institute of Technology Tigers,And1,To Basket,Keegan Ocorr,PNR,Right,Away,Kenny Wilburn,Cuts,N/A,Basket
RIT,Bar,Bard College,2pmi,To Basket,Kevin Le,Cuts,N/A,Basket,N/A,N/A,N/A,N/A
RIT,Bar,Rochester Institute of Technology Tigers,3pmi,No Dribble Jumper,Brandon Weiss,Off Screens,Left,Straight,N/A,N/A,N/A,N/A
RIT,Bar,Bard College,3pMa,No Dribble Jumper,Laz Panagiotounis,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A
RIT,Bar,Bard College,2pmi,Dribble Jumper,Connor Melis,Spot Ups,Right,Drive,N/A,N/A,N/A,N/A
RIT,Bar,Rochester Institute of Technology Tigers,2pmi,To Basket,Chase Dickens,Transition,N/A,Ball Handler,N/A,N/A,N/A,N/A
RIT,Bar,Bard College,Foul,No Dribble Jumper,Elliot Harris,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A
RIT,Bar,Rochester Institute of Technology Tigers,2pmi,To Basket,Zac Ditzel,Spot Ups,Right,Drive,N/A,N/A,N/A,N/A
