Home,Away,OffensivePossession,Outcome,ShotType,PrimaryPlayer,PrimaryPlayType,PrimaryDirection,PrimaryAction,SecondaryPlayer,SecondaryPlayType,SecondaryDirection,SecondaryAction
RIT,IC,Ithaca College,2pMa,To Basket,Evan Cabral,PNR,High,Off,N/A,N/A,N/A,N/A
RIT,IC,Rochester Institute of Technology Tigers,2pMa,N/A,Josiah Turner,Post,Right,Dribble,N/A,N/A,N/A,N/A
RIT,IC,Ithaca College,3pMa,Dribble Jumper,Triston Wennersten,Transition,N/A,Left Wing,N/A,N/A,N/A,N/A
RIT,IC,Rochester Institute of Technology Tigers,2pMa,Dribble Jumper,Chase Dickens,PNR,High,Off,N/A,N/A,N/A,N/A
RIT,IC,Ithaca College,2pmi,To Basket,Evan Cabral,PNR,High,Off,N/A,N/A,N/A,N/A
RIT,IC,Rochester Institute of Technology Tigers,3pmi,No Dribble Jumper,Brock Bowen,Transition,N/A,Left Wing,N/A,N/A,N/A,N/A
RIT,IC,Rochester Institute of Technology Tigers,2pmi,To Basket,Keegan Ocorr,Spot Ups,Left,Drive,N/A,N/A,N/A,N/A
RIT,IC,Ithaca College,2pmi,Dribble Jumper,Evan Cabral,PNR,High,Off,Cole Wissink,Spot Ups,Right,Drive
RIT,IC,Rochester Institute of Technology Tigers,Turnover,To Basket,Josiah Turner,Cuts,N/A,Flash,N/A,N/A,N/A,N/A
RIT,IC,Ithaca College,2pMa,To Basket,Cole Wissink,Transition,N/A,Ball Handler,N/A,N/A,N/A,N/A
RIT,IC,Rochester Institute of Technology Tigers,3pMa,No Dribble Jumper,Brock Bowen,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A
RIT,IC,Ithaca College,2pMa,To Basket,Triston Wennersten,Cuts,N/A,Basket,N/A,N/A,N/A,N/A
RIT,IC,Rochester Institute of Technology Tigers,3pMa,No Dribble Jumper,Brock Bowen,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A
