Home,Away,OffensivePossession,Outcome,ShotType,PrimaryPlayer,PrimaryPlayType,PrimaryDirection,PrimaryAction,SecondaryPlayer,SecondaryPlayType,SecondaryDirection,SecondaryAction
CU,RIT,Clarkson University Golden Knights,2pmi,To Basket,Braeden Burns,PNR,High,Off,Jack Dalgety,Cuts,N/A,Basket
CU,RIT,Rochester Institute of Technology Tigers,3pMa,No Dribble Jumper,Brock Bowen,Off Screens,Right,N/A,N/A,N/A,N/A,N/A
CU,RIT,Clarkson University Golden Knights,2pMa,Hook Shot,Finn Cork,Post,Middle,Dribble,N/A,N/A,N/A,N/A
CU,RIT,Rochester Institute of Technology Tigers,3pMa,No Dribble Jumper,Keegan Ocorr,PNR,Right,Off,Jackson Otis,Spot Ups,N/A,Shot
CU,RIT,Clarkson University Golden Knights,2pmi,Dribble Jumper,Ryan Miles-Ferguson,Hand Offs,Top,Dribble,N/A,N/A,N/A,N/A
CU,RIT,Rochester Institute of Technology Tigers,Turnover,N/A,Josiah Turner,Spot Ups,Left,Drive,N/A,N/A,N/A,N/A
CU,RIT,Clarkson University Golden Knights,3pMa,No Dribble Jumper,Braeden Burns,Transition,N/A,Left Wing,N/A,N/A,N/A,N/A
CU,RIT,Rochester Institute of Technology Tigers,3pmi,No Dribble Jumper,Keegan Ocorr,Hand Offs,Left,Dribble,N/A,N/A,N/A,N/A
CU,RIT,Clarkson University Golden Knights,3pMa,No Dribble Jumper,Steve DeRegis,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A
CU,RIT,Rochester Institute of Technology Tigers,Foul,To Basket,Josiah Turner,Iso,Top,N/A,N/A,N/A,N/A,N/A
CU,RIT,Clarkson University Golden Knights,3pmi,Dribble Jumper,Ryan Miles-Ferguson,Spot Ups,Left,Drive,N/A,N/A,N/A,N/A
CU,RIT,Clarkson University Golden Knights,2pmi,N/A,Finn Cork,Post,Right,Dribble,N/A,N/A,N/A,N/A
CU,RIT,Rochester Institute of Technology Tigers,3pmi,Dribble Jumper,Jackson Otis,Spot Ups,Left,Drive,N/A,N/A,N/A,N/A
CU,RIT,Clarkson University Golden Knights,3pMa,No Dribble Jumper,Braeden Burns,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A
CU,RIT,Rochester Institute of Technology Tigers,2pMa,To Basket,Keegan Ocorr,Spot Ups,Left,Drive,N/A,N/A,N/A,N/A
CU,RIT,Clarkson University Golden Knights,2pmi,To Basket,Braeden Burns,Spot Ups,Left,Drive,N/A,N/A,N/A,N/A
CU,RIT,Rochester Institute of Technology Tigers,3pmi,Dribble Jumper,Brock Bowen,Iso,Left,N/A,N/A,N/A,N/A,N/A
CU,RIT,Clarkson University Golden Knights,3pMa,No Dribble Jumper,Steve DeRegis,Transition,N/A,Trailer,N/A,N/A,N/A,N/A
CU,RIT,Rochester Institute of Technology Tigers,2pmi,To Basket,Mark Osime,Spot Ups,Left,Drive,N/A,N/A,N/A,N/A
CU,RIT,Clarkson University Golden Knights,3pMa,Dribble Jumper,Ryan Miles-Ferguson,PNR,Left,Off,N/A,N/A,N/A,N/A
CU,RIT,Rochester Institute of Technology Tigers,2pmi,To Basket,Chase Dickens,PNR,Left,Off,N/A,N/A,N/A,N/A
CU,RIT,Rochester Institute of Technology Tigers,3pmi,No Dribble Jumper,Chase Dickens,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A
CU,RIT,Rochester Institute of Technology Tigers,Foul,To Basket,Kenny Wilburn,Cuts,N/A,Basket,N/A,N/A,N/A,N/A
CU,RIT,Clarkson University Golden Knights,2pmi,Dribble Jumper,Ryan Miles-Ferguson,Hand Offs,Right,Dribble,N/A,N/A,N/A,N/A
CU,RIT,Rochester Institute of Technology Tigers,2pmi,No Dribble Jumper,Kenny Wilburn,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A
CU,RIT,Clarkson University Golden Knights,3pMa,No Dribble Jumper,Finn Cork,Post,Left,Dribble,Jack Dalgety,Spot Ups,N/A,Shot
CU,RIT,Rochester Institute of Technology Tigers,3pmi,No Dribble Jumper,Brody Brown,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A
CU,RIT,Clarkson University Golden Knights,3pMa,Dribble Jumper,Steve DeRegis,PNR,High,Off,Braeden Burns,Spot Ups,Straight,Drive
CU,RIT,Rochester Institute of Technology Tigers,2pmi,Drop Step,Kenny Wilburn,Post,Right,Dribble,N/A,N/A,N/A,N/A
CU,RIT,Clarkson University Golden Knights,2pMa,To Basket,Finn Cork,Spot Ups,Right,Drive,N/A,N/A,N/A,N/A
CU,RIT,Rochester Institute of Technology Tigers,2pMa,Dribble Jumper,Keegan Ocorr,PNR,High,Off,N/A,N/A,N/A,N/A
CU,RIT,,Foul,To Basket,Steve DeRegis,Misc,N/A,N/A,N/A,N/A,N/A,N/A
CU,RIT,Rochester Institute of Technology Tigers,3pmi,No Dribble Jumper,Chase Dickens,Off Screens,Right,Straight,N/A,N/A,N/A,N/A
CU,RIT,Clarkson University Golden Knights,2pMa,To Basket,Ryan Miles-Ferguson,Post,Right,Dribble,Jack Dalgety,Spot Ups,Left,Drive
