Home,Away,OffensivePossession,Outcome,ShotType,PrimaryPlayer,PrimaryPlayType,PrimaryDirection,PrimaryAction,SecondaryPlayer,SecondaryPlayType,SecondaryDirection,SecondaryAction
UNY,RIT,Rochester Institute of Technology Tigers,Foul,To Basket,Brock Bowen,PNR,Right,Off,N/A,N/A,N/A,N/A
UNY,RIT,Union (NY) Dutchmen,2pMa,Dribble Jumper,Jack Plesser,Spot Ups,Left,Drive,N/A,N/A,N/A,N/A
UNY,RIT,Rochester Institute of Technology Tigers,Turnover,N/A,Josiah Turner,Post,Right,Dribble,N/A,N/A,N/A,N/A
UNY,RIT,Union (NY) Dutchmen,2pmi,To Basket,Tanner Tedesco,Transition,N/A,Ball Handler,N/A,N/A,N/A,N/A
UNY,RIT,Union (NY) Dutchmen,2pMa,To Basket,Edward Baptiste,Cuts,N/A,Screen,N/A,N/A,N/A,N/A
UNY,RIT,Rochester Institute of Technology Tigers,2pMa,To Basket,Keegan Ocorr,Spot Ups,Left,Drive,N/A,N/A,N/A,N/A
UNY,RIT,Union (NY) Dutchmen,Turnover,To Basket,Connor Cepiel,PNR,High,Off,Jack Plesser,P&R Roll Man,N/A,Roll
UNY,RIT,Rochester Institute of Technology Tigers,2pmi,Hook Shot,Jackson Otis,Post,Left,Dribble,N/A,N/A,N/A,N/A
UNY,RIT,Union (NY) Dutchmen,2pmi,No Dribble Jumper,Tanner Tedesco,PNR,Right,Off,Jack Plesser,Spot Ups,N/A,Shot
UNY,RIT,Rochester Institute of Technology Tigers,3pmi,Dribble Jumper,Chase Dickens,PNR,Right,Off,N/A,N/A,N/A,N/A
UNY,RIT,Union (NY) Dutchmen,Foul,To Basket,Jack Plesser,Cuts,N/A,Basket,N/A,N/A,N/A,N/A
UNY,RIT,Rochester Institute of Technology Tigers,2pmi,To Basket,Josiah Turner,Cuts,N/A,Basket,N/A,N/A,N/A,N/A
UNY,RIT,Union (NY) Dutchmen,3pMa,No Dribble Jumper,Connor Cepiel,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A
UNY,RIT,Rochester Institute of Technology Tigers,3pmi,No Dribble Jumper,Brock Bowen,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A
UNY,RIT,Union (NY) Dutchmen,Turnover,N/A,Luke Mcgarrity,Hand Offs,Top,Dribble,N/A,N/A,N/A,N/A
UNY,RIT,Rochester Institute of Technology Tigers,2pMa,To Basket,Josiah Turner,Cuts,N/A,Basket,N/A,N/A,N/A,N/A
UNY,RIT,Union (NY) Dutchmen,3pmi,No Dribble Jumper,Luke Mcgarrity,PNR,Left,Off,Connor Cepiel,Spot Ups,N/A,Shot
UNY,RIT,Rochester Institute of Technology Tigers,3pmi,No Dribble Jumper,Chase Dickens,PNR,Left,Off,Keegan Ocorr,Spot Ups,N/A,Shot
UNY,RIT,Union (NY) Dutchmen,2pMa,To Basket,Christian Dufort,Post,Left,Dribble,N/A,N/A,N/A,N/A
UNY,RIT,Rochester Institute of Technology Tigers,Turnover,N/A,Chase Dickens,Misc,N/A,N/A,N/A,N/A,N/A,N/A
UNY,RIT,Union (NY) Dutchmen,2pMa,To Basket,Jack Plesser,Cuts,N/A,Basket,N/A,N/A,N/A,N/A
UNY,RIT,Rochester Institute of Technology Tigers,2pMa,Dribble Jumper,Brock Bowen,Hand Offs,Left,Dribble,N/A,N/A,N/A,N/A
UNY,RIT,Union (NY) Dutchmen,2pmi,Dribble Jumper,Tanner Tedesco,Spot Ups,Left,Drive,N/A,N/A,N/A,N/A
UNY,RIT,Rochester Institute of Technology Tigers,2pMa,To Basket,Josiah Turner,Post,Left,Dribble,N/A,N/A,N/A,N/A
UNY,RIT,Union (NY) Dutchmen,3pmi,No Dribble Jumper,Luke Mcgarrity,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A
UNY,RIT,Rochester Institute of Technology Tigers,3pMa,Dribble Jumper,Brock Bowen,PNR,High,Off,N/A,N/A,N/A,N/A
UNY,RIT,Union (NY) Dutchmen,3pMa,No Dribble Jumper,Tanner Tedesco,PNR,High,Off,Christian Dufort,P&R Roll Man,N/A,Pop
UNY,RIT,Rochester Institute of Technology Tigers,And1,To Basket,Brock Bowen,Hand Offs,Left,Dribble,N/A,N/A,N/A,N/A
UNY,RIT,Union (NY) Dutchmen,2pmi,To Basket,Matthew Garside,PNR,Right,Off,Christian Dufort,P&R Roll Man,N/A,Roll
UNY,RIT,Union (NY) Dutchmen,3pmi,No Dribble Jumper,Connor Cepiel,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A
UNY,RIT,Rochester Institute of Technology Tigers,2pMa,To Basket,Zac Ditzel,Transition,N/A,Right Wing,N/A,N/A,N/A,N/A
UNY,RIT,Union (NY) Dutchmen,2pMa,Dribble Jumper,Matthew Garside,Off Screens,Left,Straight,N/A,N/A,N/A,N/A
UNY,RIT,Rochester Institute of Technology Tigers,2pmi,To Basket,Matt Caggiano,PNR,Right,Off,N/A,N/A,N/A,N/A
UNY,RIT,Union (NY) Dutchmen,3pmi,No Dribble Jumper,Christian Dufort,Transition,N/A,First Middle,N/A,N/A,N/A,N/A
UNY,RIT,Rochester Institute of Technology Tigers,3pmi,No Dribble Jumper,Mark Osime,Transition,N/A,Left Wing,N/A,N/A,N/A,N/A
UNY,RIT,Union (NY) Dutchmen,2pmi,Drop Step,Aren Cummings,Post,Right,Dribble,N/A,N/A,N/A,N/A
UNY,RIT,Rochester Institute of Technology Tigers,3pmi,No Dribble Jumper,Matt Caggiano,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A
UNY,RIT,Union (NY) Dutchmen,Turnover,N/A,Tanner Tedesco,Transition,N/A,Ball Handler,N/A,N/A,N/A,N/A
UNY,RIT,Rochester Institute of Technology Tigers,2pMa,Dribble Jumper,Matt Caggiano,Spot Ups,Right,Drive,N/A,N/A,N/A,N/A
UNY,RIT,Union (NY) Dutchmen,3pmi,Dribble Jumper,Tanner Tedesco,Spot Ups,Right,Drive,N/A,N/A,N/A,N/A
UNY,RIT,Rochester Institute of Technology Tigers,2pmi,To Basket,Matt Caggiano,Iso,Top,N/A,N/A,N/A,N/A,N/A
UNY,RIT,Union (NY) Dutchmen,Turnover,N/A,Christian Dufort,Misc,N/A,N/A,N/A,N/A,N/A,N/A
UNY,RIT,Rochester Institute of Technology Tigers,3pMa,Dribble Jumper,Chase Dickens,Hand Offs,Left,Dribble,N/A,N/A,N/A,N/A
UNY,RIT,Union (NY) Dutchmen,2pMa,To Basket,Christian Dufort,Iso,Right,N/A,N/A,N/A,N/A,N/A
UNY,RIT,Rochester Institute of Technology Tigers,2pMa,Dribble Jumper,Mark Osime,Hand Offs,Right,Dribble,N/A,N/A,N/A,N/A
UNY,RIT,Union (NY) Dutchmen,3pmi,No Dribble Jumper,Matthew Garside,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A
UNY,RIT,Union (NY) Dutchmen,Turnover,N/A,Connor Cepiel,Misc,N/A,N/A,N/A,N/A,N/A,N/A
UNY,RIT,Rochester Institute of Technology Tigers,3pmi,Dribble Jumper,Zac Ditzel,PNR,Left,Off,N/A,N/A,N/A,N/A
UNY,RIT,Union (NY) Dutchmen,2pMa,To Basket,Tanner Tedesco,PNR,High,Off,Aren Cummings,P&R Roll Man,N/A,Roll
UNY,RIT,Rochester Institute of Technology Tigers,3pmi,No Dribble Jumper,Nolan Smih,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A
UNY,RIT,Union (NY) Dutchmen,3pmi,No Dribble Jumper,Christian Dufort,Transition,N/A,Right Wing,N/A,N/A,N/A,N/A
UNY,RIT,Rochester Institute of Technology Tigers,3pMa,No Dribble Jumper,Mark Osime,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A
UNY,RIT,Union (NY) Dutchmen,2pMa,To Basket,Aren Cummings,Cuts,N/A,Basket,N/A,N/A,N/A,N/A
UNY,RIT,Rochester Institute of Technology Tigers,2pmi,To Basket,Zac Ditzel,PNR,Right,Off,Chase Dickens,Spot Ups,Right,Drive
UNY,RIT,Union (NY) Dutchmen,Foul,To Basket,Tanner Tedesco,Transition,N/A,Ball Handler,N/A,N/A,N/A,N/A
UNY,RIT,Rochester Institute of Technology Tigers,2pMa,To Basket,Keegan Ocorr,Transition,N/A,Left Wing,N/A,N/A,N/A,N/A
UNY,RIT,Union (NY) Dutchmen,2pmi,To Basket,Tanner Tedesco,PNR,High,Off,Aren Cummings,P&R Roll Man,N/A,Roll
