#,Title,Notes,Text Overlay,User Tags,Synergy Tags,Result,Duration,In Point,Out Point,Team,Game,Date,Pd.,Clock,Player,Synergy String
1,Jack Dalgety,,,,"P&R BH, Cut, 2FGm, Def Reb, Block, Blocked Attempt",Miss 2 Pts,00:00:25.7,,,Clarkson University Golden Knights,CU@RIT,02/03/2024,1,19:38,"Jack Dalgety, Jackson Otis, Josiah Turner",15 Braeden Burns > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 21 Jack Dalgety > Cut > Basket > Miss 2 Pts,
2,Brock Bowen,,,,"Off Screen, 3FGM, Assist",Make 3 Pts,00:00:14.2,,,Rochester Institute of Technology Tigers,CU@RIT,02/03/2024,1,19:22,"Keegan Ocorr, Brock Bowen",10 Brock Bowen > Off Screen > To Shooter's Right > Fade > No Dribble Jumper > Guarded > Long/3pt > Make 3 Pts,
3,Finn Cork,,,,"Post Up, 2FGM",Make 2 Pts,00:00:17.2,,,Clarkson University Golden Knights,CU@RIT,02/03/2024,1,19:05,Finn Cork,40 Finn Cork > Post-Up > Flash Middle > Left Shoulder > Dribble Move > To Hook > Make 2 Pts,
4,Jackson Otis,,,,"P&R BH, Spot Up, 3FGM, Assist",Make 3 Pts,00:00:14.0,,,Rochester Institute of Technology Tigers,CU@RIT,02/03/2024,1,18:49,"Jackson Otis, Keegan Ocorr",1 Keegan Ocorr > P&R Ball Handler > Right P&R > Side > Dribble Off Pick > Defense Commits > Ball Delivered > 25 Jackson Otis > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Make 3 Pts,
5,Ryan Miles-Ferguson,,,,"Handoff, 2FGm",Miss 2 Pts,00:00:19.9,,,Clarkson University Golden Knights,CU@RIT,02/03/2024,1,18:34,Ryan Miles-Ferguson,3 Ryan Miles-Ferguson > Hand Off > From Dribble > Top > Dribble Jumper > Medium/17' to <3p > Miss 2 Pts,
6,Jack Dalgety,,,,"Off Reb, 2FGm, Off Reb, Def Reb",Miss 2 Pts,00:00:09.7,,,Clarkson University Golden Knights,CU@RIT,02/03/2024,1,18:34,"Jack Dalgety, Josiah Turner",21 Jack Dalgety > Offensive Rebound > Short > Scoring Attempt > At Basket > Miss 2 Pts,
7,Josiah Turner,,,,"Spot Up, Turnover",Turnover,00:00:25.7,,,Rochester Institute of Technology Tigers,CU@RIT,02/03/2024,1,18:15,Josiah Turner,33 Josiah Turner > Spot-Up > Drives Left > Turnover,
8,Braeden Burns,,,,"Transition, 3FGM, Assist",Make 3 Pts,00:00:13.1,,,Clarkson University Golden Knights,CU@RIT,02/03/2024,1,18:05,"Braeden Burns, Steve DeRegis",15 Braeden Burns > Transition > Left Wing > No Dribble Jumper > Open > Long/3pt > Make 3 Pts,
9,Keegan Ocorr,,,,"Handoff, 3FGm, Def Reb",Miss 3 Pts,00:00:16.9,,,Rochester Institute of Technology Tigers,CU@RIT,02/03/2024,1,17:48,"Keegan Ocorr, Braeden Burns",1 Keegan Ocorr > Hand Off > From Dribble > Left > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts,
10,Steve DeRegis,,,,"Spot Up, 3FGM, Assist",Make 3 Pts,00:00:14.4,,,Clarkson University Golden Knights,CU@RIT,02/03/2024,1,17:31,"Ryan Miles-Ferguson, Steve DeRegis",12 Steve DeRegis > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Make 3 Pts,
11,Josiah Turner,,,,"Iso, Foul",Foul,00:00:12.5,,,Rochester Institute of Technology Tigers,CU@RIT,02/03/2024,1,17:17,"Finn Cork, Josiah Turner",33 Josiah Turner > ISO > Top > Drives Left > To Basket > Foul,
12,Josiah Turner,,,,FTM,Free Throw,00:00:08.1,,,Rochester Institute of Technology Tigers,CU@RIT,02/03/2024,1,,Josiah Turner,33 Josiah Turner > Non Possession > Free Throw,
13,Josiah Turner,,,,"FTm, Def Reb",Free Throw,00:00:06.6,,,Rochester Institute of Technology Tigers,CU@RIT,02/03/2024,1,,"Josiah Turner, Braeden Burns",33 Josiah Turner > Non Possession > Free Throw,
14,Ryan Miles-Ferguson,,,,"Spot Up, 3FGm",Miss 3 Pts,00:00:18.9,,,Clarkson University Golden Knights,CU@RIT,02/03/2024,1,17:04,Ryan Miles-Ferguson,3 Ryan Miles-Ferguson > Spot-Up > Drives Left > Dribble Jumper > Long/3pt > Miss 3 Pts,
15,Ryan Miles-Ferguson,,,,"Off Reb, Off Reb, Foul",Run Offense,00:00:08.6,,,Clarkson University Golden Knights,CU@RIT,02/03/2024,1,,"Ryan Miles-Ferguson, Keegan Ocorr",3 Ryan Miles-Ferguson > Offensive Rebound > Short > Run Offense,
16,Ryan Miles-Ferguson,,,,,No Violation,00:00:09.8,,,Clarkson University Golden Knights,CU@RIT,02/03/2024,1,,Ryan Miles-Ferguson,3 Ryan Miles-Ferguson > Non Possession > No Violation,
17,Finn Cork,,,,"Post Up, 2FGm, Def Reb",Miss 2 Pts,00:00:12.8,,,Clarkson University Golden Knights,CU@RIT,02/03/2024,1,16:52,"Finn Cork, Mark Osime",40 Finn Cork > Post-Up > Right Block > Right Shoulder > Dribble Move > To Jumper > Miss 2 Pts,
18,Jackson Otis,,,,"Spot Up, 3FGm, Def Reb",Miss 3 Pts,00:00:36.9,,,Rochester Institute of Technology Tigers,CU@RIT,02/03/2024,1,16:26,"Jackson Otis, Finn Cork",25 Jackson Otis > Spot-Up > Drives Left > Dribble Jumper > Long/3pt > Miss 3 Pts,
19,Braeden Burns,,,,"Spot Up, 3FGM, Assist",Make 3 Pts,00:00:21.5,,,Clarkson University Golden Knights,CU@RIT,02/03/2024,1,16:09,"Braeden Burns, Ryan Miles-Ferguson",15 Braeden Burns > Spot-Up > No Dribble Jumper > Open > Long/3pt > Make 3 Pts,
20,Keegan Ocorr,,,,"Spot Up, 2FGM",Make 2 Pts,00:00:18.9,,,Rochester Institute of Technology Tigers,CU@RIT,02/03/2024,1,15:46,Keegan Ocorr,1 Keegan Ocorr > Spot-Up > Drives Left > To Basket > Make 2 Pts,
21,Braeden Burns,,,,"Spot Up, 2FGm, Def Reb",Miss 2 Pts,00:00:15.8,,,Clarkson University Golden Knights,CU@RIT,02/03/2024,1,15:31,"Braeden Burns, Brock Bowen",15 Braeden Burns > Spot-Up > Drives Left > To Basket > Miss 2 Pts,
22,Brock Bowen,,,,"Iso, 3FGm, Def Reb",Miss 3 Pts,00:00:29.1,,,Rochester Institute of Technology Tigers,CU@RIT,02/03/2024,1,15:08,"Brock Bowen, Ryan Miles-Ferguson",10 Brock Bowen > ISO > Left > Early Jumper > Dribble Jumper > Long/3pt > Miss 3 Pts,
23,Steve DeRegis,,,,"Transition, 3FGM, Assist",Make 3 Pts,00:00:15.7,,,Clarkson University Golden Knights,CU@RIT,02/03/2024,1,15:00,"Steve DeRegis, Finn Cork",12 Steve DeRegis > Transition > Trailer > No Dribble Jumper > Open > Long/3pt > Make 3 Pts,
24,Mark Osime,,,,"Spot Up, 2FGm, Def Reb",Miss 2 Pts,00:00:19.3,,,Rochester Institute of Technology Tigers,CU@RIT,02/03/2024,1,14:36,"Jack Dalgety, Mark Osime",23 Mark Osime > Spot-Up > Drives Left > To Basket > Miss 2 Pts,
25,Ryan Miles-Ferguson,,,,"P&R BH, 3FGM",Make 3 Pts,00:00:17.6,,,Clarkson University Golden Knights,CU@RIT,02/03/2024,1,14:25,Ryan Miles-Ferguson,3 Ryan Miles-Ferguson > P&R Ball Handler > Left P&R > Side > Dribble Off Pick > Dribble Jumper > Long/3pt > Make 3 Pts,
26,Chase Dickens,,,,"P&R BH, 2FGm",Miss 2 Pts,00:00:13.4,,,Rochester Institute of Technology Tigers,CU@RIT,02/03/2024,1,14:11,Chase Dickens,11 Chase Dickens > P&R Ball Handler > Left P&R > Side > Dribble Off Pick > To Basket > Miss 2 Pts,
