#,Title,Notes,Text Overlay,User Tags,Synergy Tags,Result,Duration,In Point,Out Point,Team,Game,Date,Pd.,Clock,Player,Synergy String
1,Chase Dickens,,,,"P&R BH, 3FGM",Make 3 Pts,00:00:11.5,,,Rochester Institute of Technology Tigers,UNY@RIT,02/20/2024,1,19:35,Chase Dickens,11 Chase Dickens > P&R Ball Handler > Left P&R > Baseline > Dribble Off Pick > Dribble Jumper > Long/3pt > Make 3 Pts,
2,Tanner Tedesco,,,,"Handoff, 3FGm, Block, Blocked Attempt",Miss 3 Pts,00:00:20.2,,,Union (NY) Dutchmen,UNY@RIT,02/20/2024,1,19:16,"Tanner Tedesco, Josiah Turner",5 Tanner Tedesco > Hand Off > From Stationary > Left > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts,
3,Jack Plesser,,,,"P&R BH, P&R Roll Man, 2FGM, Assist",Make 2 Pts,00:00:16.9,,,Union (NY) Dutchmen,UNY@RIT,02/20/2024,1,19:04,"Jack Plesser, Tanner Tedesco",5 Tanner Tedesco > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 33 Jack Plesser > P&R Roll Man > Rolls to Basket > Make 2 Pts,
4,Jackson Otis,,,,"Spot Up, 3FGm",Miss 3 Pts,00:00:13.6,,,Rochester Institute of Technology Tigers,UNY@RIT,02/20/2024,1,18:49,Jackson Otis,25 Jackson Otis > Spot-Up > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts,
5,Josiah Turner,,,,"Off Reb, 2FGM, Off Reb",Make 2 Pts,00:00:07.5,,,Rochester Institute of Technology Tigers,UNY@RIT,02/20/2024,1,18:49,Josiah Turner,33 Josiah Turner > Offensive Rebound > Short > Scoring Attempt > At Basket > Make 2 Pts,
6,Luke Mcgarrity,,,,"Spot Up, 3FGM, Assist",Make 3 Pts,00:00:28.4,,,Union (NY) Dutchmen,UNY@RIT,02/20/2024,1,18:21,"Luke Mcgarrity, Tanner Tedesco",14 Luke Mcgarrity > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Make 3 Pts,
7,Chase Dickens,,,,"Off Screen, 2FGm, Def Reb",Miss 2 Pts,00:00:26.2,,,Rochester Institute of Technology Tigers,UNY@RIT,02/20/2024,1,17:54,"Chase Dickens, Edward Baptiste",11 Chase Dickens > Off Screen > To Shooter's Left > Straight > To Basket > Miss 2 Pts,
8,Edward Baptiste,,,,"P&R BH, P&R Roll Man, 2FGM, Assist",Make 2 Pts,00:00:14.8,,,Union (NY) Dutchmen,UNY@RIT,02/20/2024,1,17:44,"Edward Baptiste, Tanner Tedesco",5 Tanner Tedesco > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 22 Edward Baptiste > P&R Roll Man > Rolls to Basket > Make 2 Pts,
9,Keegan Ocorr,,,,"P&R BH, Spot Up, 3FGm, Def Reb",Miss 3 Pts,00:00:20.3,,,Rochester Institute of Technology Tigers,UNY@RIT,02/20/2024,1,17:23,"Keegan Ocorr, Jack Plesser",10 Brock Bowen > P&R Ball Handler > Right P&R > Side > Dribble Off Pick > Defense Commits > Ball Delivered > 1 Keegan Ocorr > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts,
10,Jack Plesser,,,,,No Violation,00:00:07.4,,,Union (NY) Dutchmen,UNY@RIT,02/20/2024,1,,Jack Plesser,33 Jack Plesser > Non Possession > No Violation,
11,Tanner Tedesco,,,,"P&R BH, Turnover, Steal",Turnover,00:00:23.3,,,Union (NY) Dutchmen,UNY@RIT,02/20/2024,1,17:03,"Tanner Tedesco, Josiah Turner",5 Tanner Tedesco > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Turnover,
12,Brock Bowen,,,,"Handoff, 2FGm, Def Reb",Miss 2 Pts,00:00:21.9,,,Rochester Institute of Technology Tigers,UNY@RIT,02/20/2024,1,16:40,"Brock Bowen, Connor Cepiel",10 Brock Bowen > Hand Off > From Dribble > Top > Dribble Jumper > Medium/17' to <3p > Miss 2 Pts,
13,Jack Plesser,,,,"Cut, 2FGm, Def Reb",Miss 2 Pts,00:00:19.9,,,Union (NY) Dutchmen,UNY@RIT,02/20/2024,1,16:26,"Jack Plesser, Brock Bowen",33 Jack Plesser > Cut > Basket > Miss 2 Pts,
14,Chase Dickens,,,,,No Violation,00:00:11.9,,,Rochester Institute of Technology Tigers,UNY@RIT,02/20/2024,1,,Chase Dickens,11 Chase Dickens > Non Possession > No Violation,
15,Chase Dickens,,,,"Off Screen, 2FGm, Def Reb",Miss 2 Pts,00:00:13.2,,,Rochester Institute of Technology Tigers,UNY@RIT,02/20/2024,1,16:12,"Chase Dickens, Jack Plesser",11 Chase Dickens > Off Screen > To Shooter's Right > Straight > No Dribble Jumper > Open > Short to < 17' > Miss 2 Pts,
16,Luke Mcgarrity,,,,"Handoff, 2FGM, Assist",Make 2 Pts,00:00:15.8,,,Union (NY) Dutchmen,UNY@RIT,02/20/2024,1,15:55,"Luke Mcgarrity, Jack Plesser",14 Luke Mcgarrity > Hand Off > From Stationary > Right > To Basket > Make 2 Pts,
17,Josiah Turner,,,,"Post Up, 2FGM",Make 2 Pts,00:00:14.9,,,Rochester Institute of Technology Tigers,UNY@RIT,02/20/2024,1,15:35,Josiah Turner,33 Josiah Turner > Post-Up > Right Block > Right Shoulder > Dribble Move > To Jumper > Make 2 Pts,
18,Luke Mcgarrity,,,,"Spot Up, 3FGM, Assist",Make 3 Pts,00:00:19.5,,,Union (NY) Dutchmen,UNY@RIT,02/20/2024,1,15:16,"Luke Mcgarrity, Connor Cepiel",14 Luke Mcgarrity > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Make 3 Pts,
19,Josiah Turner,,,,"Cut, 2FGm, Def Reb",Miss 2 Pts,00:00:15.3,,,Rochester Institute of Technology Tigers,UNY@RIT,02/20/2024,1,14:58,"Josiah Turner, Connor Cepiel",33 Josiah Turner > Cut > Basket > Miss 2 Pts,
20,Jack Plesser,,,,"P&R BH, P&R Roll Man, Foul",Foul,00:00:23.8,,,Union (NY) Dutchmen,UNY@RIT,02/20/2024,1,14:34,"Josiah Turner, Jack Plesser",5 Tanner Tedesco > P&R Ball Handler > Right P&R > Side > Dribble Off Pick > Defense Commits > Ball Delivered > 33 Jack Plesser > P&R Roll Man > Slips the Pick > To Basket > Foul,
21,Jack Plesser,,,,FTM,Free Throw,00:00:06.3,,,Union (NY) Dutchmen,UNY@RIT,02/20/2024,1,,Jack Plesser,33 Jack Plesser > Non Possession > Free Throw,
22,Jack Plesser,,,,FTM,Free Throw,00:00:05.7,,,Union (NY) Dutchmen,UNY@RIT,02/20/2024,1,,Jack Plesser,33 Jack Plesser > Non Possession > Free Throw,
23,Josiah Turner,,,,"P&R BH, P&R Roll Man, 3FGM, Assist",Make 3 Pts,00:00:12.7,,,Rochester Institute of Technology Tigers,UNY@RIT,02/20/2024,1,14:20,"Josiah Turner, Brock Bowen",10 Brock Bowen > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 33 Josiah Turner > P&R Roll Man > Pick and Pops > No Dribble Jumper > Open > Long/3pt > Make 3 Pts,
24,Jack Plesser,,,,2FGM,Make 2 Pts,00:00:18.5,,,Union (NY) Dutchmen,UNY@RIT,02/20/2024,1,14:02,Jack Plesser,33 Jack Plesser > No Play Type > Dribble Jumper > Short to < 17' > Make 2 Pts,
25,Chase Dickens,,,,"P&R BH, 3FGM",Make 3 Pts,00:00:13.6,,,Rochester Institute of Technology Tigers,UNY@RIT,02/20/2024,1,13:45,Chase Dickens,11 Chase Dickens > P&R Ball Handler > Left P&R > Side > Dribble Off Pick > Dribble Jumper > Long/3pt > Make 3 Pts,
26,Edward Baptiste,,,,"Spot Up, 2FGm",Miss 2 Pts,00:00:17.3,,,Union (NY) Dutchmen,UNY@RIT,02/20/2024,1,13:24,Edward Baptiste,22 Edward Baptiste > Spot-Up > Drives Right > Dribble Jumper > Short to < 17' > Miss 2 Pts,
27,Edward Baptiste,,,,"Off Reb, 2FGm, Off Reb, Def Reb",Miss 2 Pts,00:00:08.5,,,Union (NY) Dutchmen,UNY@RIT,02/20/2024,1,13:24,"Edward Baptiste, Brock Bowen",22 Edward Baptiste > Offensive Rebound > Short > Scoring Attempt > At Basket > Miss 2 Pts,
28,Brock Bowen,,,,"P&R BH, 2FGm, Def Reb",Miss 2 Pts,00:00:25.2,,,Rochester Institute of Technology Tigers,UNY@RIT,02/20/2024,1,13:04,"Brock Bowen, Connor Cepiel",10 Brock Bowen > P&R Ball Handler > High P&R > Dribble Off Pick > To Basket > Miss 2 Pts,
29,Connor Cepiel,,,,"Transition Turnover, Turnover, Steal",Turnover,00:00:13.7,,,Union (NY) Dutchmen,UNY@RIT,02/20/2024,1,12:54,"Connor Cepiel, Chase Dickens",15 Connor Cepiel > Transition > Ballhandler > Turnover,
30,Chase Dickens,,,,"Transition, 2FGm, Def Reb",Miss 2 Pts,00:00:13.3,,,Rochester Institute of Technology Tigers,UNY@RIT,02/20/2024,1,12:48,"Chase Dickens, Jack Plesser",11 Chase Dickens > Transition > Ballhandler > To Basket > Miss 2 Pts,
31,Matthew Garside,,,,"Spot Up, 3FGm, Def Reb",Miss 3 Pts,00:00:15.5,,,Union (NY) Dutchmen,UNY@RIT,02/20/2024,1,12:31,"Matthew Garside, Josiah Turner",12 Matthew Garside > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts,
32,Josiah Turner,,,,"Transition, 3FGM, Assist",Make 3 Pts,00:00:15.7,,,Rochester Institute of Technology Tigers,UNY@RIT,02/20/2024,1,12:23,"Josiah Turner, Brock Bowen",33 Josiah Turner > Transition > Trailer > No Dribble Jumper > Open > Long/3pt > Make 3 Pts,
33,Matthew Garside,,,,"P&R BH, 3FGm, Def Reb",Miss 3 Pts,00:00:17.5,,,Union (NY) Dutchmen,UNY@RIT,02/20/2024,1,12:03,"Matthew Garside, Chase Dickens",12 Matthew Garside > P&R Ball Handler > High P&R > Dribble Off Pick > Dribble Jumper > Long/3pt > Miss 3 Pts,
34,Keegan Ocorr,,,,"Transition, 3FGm, Def Reb",Miss 3 Pts,00:00:16.9,,,Rochester Institute of Technology Tigers,UNY@RIT,02/20/2024,1,11:52,"Keegan Ocorr, Connor Cepiel",1 Keegan Ocorr > Transition > Left Wing > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts,
35,Luke Mcgarrity,,,,"Spot Up, 3FGM, Assist",Make 3 Pts,00:00:17.1,,,Union (NY) Dutchmen,UNY@RIT,02/20/2024,1,11:32,"Luke Mcgarrity, Jack Plesser",14 Luke Mcgarrity > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Make 3 Pts,
36,Josiah Turner,,,,"Post Up, Foul",Foul,00:00:15.5,,,Rochester Institute of Technology Tigers,UNY@RIT,02/20/2024,1,11:12,"Matthew Garside, Josiah Turner",33 Josiah Turner > Post-Up > Right Block > Face-up > Drive Baseline > Foul,
37,Josiah Turner,,,,FTM,Free Throw,00:00:05.8,,,Rochester Institute of Technology Tigers,UNY@RIT,02/20/2024,1,,Josiah Turner,33 Josiah Turner > Non Possession > Free Throw,
38,Josiah Turner,,,,FTM,Free Throw,00:00:05.7,,,Rochester Institute of Technology Tigers,UNY@RIT,02/20/2024,1,,Josiah Turner,33 Josiah Turner > Non Possession > Free Throw,
39,Aren Cummings,,,,"Turnover, Steal",Turnover,00:00:23.1,,,Union (NY) Dutchmen,UNY@RIT,02/20/2024,1,10:53,"Aren Cummings, Mark Osime",23 Aren Cummings > No Play Type > Turnover,
40,Chase Dickens,,,,"Handoff, Foul",Foul,00:00:18.2,,,Rochester Institute of Technology Tigers,UNY@RIT,02/20/2024,1,10:42,"Matthew Garside, Chase Dickens",11 Chase Dickens > Hand Off > From Stationary > Left > To Basket > Foul,
41,Chase Dickens,,,,FTM,Free Throw,00:00:05.5,,,Rochester Institute of Technology Tigers,UNY@RIT,02/20/2024,1,,Chase Dickens,11 Chase Dickens > Non Possession > Free Throw,
42,Chase Dickens,,,,FTM,Free Throw,00:00:05.6,,,Rochester Institute of Technology Tigers,UNY@RIT,02/20/2024,1,,Chase Dickens,11 Chase Dickens > Non Possession > Free Throw,
43,Christian Dufort,,,,"P&R BH, Spot Up, Foul",Foul,00:00:29.8,,,Union (NY) Dutchmen,UNY@RIT,02/20/2024,1,10:18,"Josiah Turner, Christian Dufort",5 Tanner Tedesco > P&R Ball Handler > Left P&R > Side > Dribble Off Pick > Defense Commits > Ball Delivered > 24 Christian Dufort > Spot-Up > Drives Right > To Basket > Foul,
44,Christian Dufort,,,,FTM,Free Throw,00:00:05.4,,,Union (NY) Dutchmen,UNY@RIT,02/20/2024,1,,Christian Dufort,24 Christian Dufort > Non Possession > Free Throw,
45,Christian Dufort,,,,FTM,Free Throw,00:00:05.6,,,Union (NY) Dutchmen,UNY@RIT,02/20/2024,1,,Christian Dufort,24 Christian Dufort > Non Possession > Free Throw,
46,Mark Osime,,,,"Cut, 2FGM, Assist",Make 2 Pts,00:00:14.1,,,Rochester Institute of Technology Tigers,UNY@RIT,02/20/2024,1,10:02,"Mark Osime, Chase Dickens",23 Mark Osime > Cut > Basket > Make 2 Pts,
47,Luke Mcgarrity,,,,"Spot Up, 3FGm, Def Reb",Miss 3 Pts,00:00:16.1,,,Union (NY) Dutchmen,UNY@RIT,02/20/2024,1,9:44,"Luke Mcgarrity, Mark Osime",14 Luke Mcgarrity > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts,
48,Matt Caggiano,,,,"Transition Turnover, Foul, Turnover",Turnover,00:00:12.9,,,Rochester Institute of Technology Tigers,UNY@RIT,02/20/2024,1,9:40,Matt Caggiano,5 Matt Caggiano > Transition > Ballhandler > Turnover,
49,Aren Cummings,,,,"P&R BH, Spot Up, 2FGm, Def Reb",Miss 2 Pts,00:00:30.8,,,Union (NY) Dutchmen,UNY@RIT,02/20/2024,1,9:13,"Aren Cummings, Mark Osime",15 Connor Cepiel > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 23 Aren Cummings > Spot-Up > Drives Right > To Basket > Miss 2 Pts,
50,Brody Brown,,,,"Transition, 2FGm, Def Reb, Block, Blocked Attempt",Miss 2 Pts,00:00:11.9,,,Rochester Institute of Technology Tigers,UNY@RIT,02/20/2024,1,9:08,"Brody Brown, Aren Cummings",12 Brody Brown > Transition > Left Wing > To Basket > Miss 2 Pts,
51,Tanner Tedesco,,,,"P&R BH, 2FGm, Def Reb",Miss 2 Pts,00:00:19.5,,,Union (NY) Dutchmen,UNY@RIT,02/20/2024,1,8:54,"Tanner Tedesco, Chase Dickens",5 Tanner Tedesco > P&R Ball Handler > Left P&R > Side > Go Away from Pick > Dribble Jumper > Medium/17' to <3p > Miss 2 Pts,
52,Matt Caggiano,,,,"Transition, 2FGm, Def Reb",Miss 2 Pts,00:00:14.0,,,Rochester Institute of Technology Tigers,UNY@RIT,02/20/2024,1,8:45,"Matt Caggiano, Aren Cummings",5 Matt Caggiano > Transition > Left Wing > To Basket > Miss 2 Pts,
53,Luke Mcgarrity,,,,"Transition, 3FGM, Assist",Make 3 Pts,00:00:11.5,,,Union (NY) Dutchmen,UNY@RIT,02/20/2024,1,8:39,"Luke Mcgarrity, Aren Cummings",14 Luke Mcgarrity > Transition > Left Wing > Dribble Jumper > Long/3pt > Make 3 Pts,
54,Mark Osime,,,,"P&R BH, Spot Up, Foul",Foul,00:00:30.1,,,Rochester Institute of Technology Tigers,UNY@RIT,02/20/2024,1,8:04,"Aren Cummings, Mark Osime",5 Matt Caggiano > P&R Ball Handler > Left P&R > Side > Go Away from Pick > Defense Commits > Ball Delivered > 23 Mark Osime > Spot-Up > Drives Right > To Basket > Foul,
55,Mark Osime,,,,FTM,Free Throw,00:00:05.9,,,Rochester Institute of Technology Tigers,UNY@RIT,02/20/2024,1,,Mark Osime,23 Mark Osime > Non Possession > Free Throw,
56,Mark Osime,,,,"FTm, Def Reb",Free Throw,00:00:06.4,,,Rochester Institute of Technology Tigers,UNY@RIT,02/20/2024,1,,"Mark Osime, Christian Dufort",23 Mark Osime > Non Possession > Free Throw,
57,Christian Dufort,,,,"Turnover, Steal",Turnover,00:00:13.0,,,Union (NY) Dutchmen,UNY@RIT,02/20/2024,1,7:48,"Christian Dufort, Kenny Wilburn",24 Christian Dufort > No Play Type > Turnover,
58,Brock Bowen,,,,"Transition, 2FGM",Make 2 Pts,00:00:16.7,,,Rochester Institute of Technology Tigers,UNY@RIT,02/20/2024,1,7:37,Brock Bowen,10 Brock Bowen > Transition > Left Wing > Dribble Jumper > Short to < 17' > Make 2 Pts,
