Player,Team,TotalPlays,Total3ptShots,Total3ptMakes,3pt%,Total2ptShots,Total2ptMakes,2pt%,TotalMidRangeShots,TotalMidRangeMakes,MidRange%,EFG%,Turnover,Foul,SourceFile,PrimaryPlayer,SecondaryPlayer
Rowan Heinze,Bard College,3,0,0,,1,1,100.0,0,0,,100.0,1.0,1.0,player_cut_basket_efficiency.csv,,
Azriel Almodovar,Bard College,2,0,0,,1,1,100.0,0,0,,100.0,0.0,1.0,player_cut_basket_efficiency.csv,,
Sean Wilcox,Bard College,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,player_cut_basket_efficiency.csv,,
Heston Tucker,Bard College,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,player_cut_basket_efficiency.csv,,
Laz Panagiotounis,Bard College,1,0,0,,1,0,0.0,0,0,,0.0,0.0,0.0,player_cut_basket_efficiency.csv,,
Kevin Le,Bard College,1,0,0,,1,0,0.0,0,0,,0.0,0.0,0.0,player_cut_basket_efficiency.csv,,
Rowan Heinze,Bard College,5,0,0,,3,2,66.6667,0,0,,66.66667,1.0,1.0,player_cut_efficiency.csv,,
Heston Tucker,Bard College,5,0,0,,5,5,100.0,0,0,,100.0,0.0,0.0,player_cut_efficiency.csv,,
Sean Wilcox,Bard College,2,0,0,,2,2,100.0,0,0,,100.0,0.0,0.0,player_cut_efficiency.csv,,
Azriel Almodovar,Bard College,2,0,0,,1,1,100.0,0,0,,100.0,0.0,1.0,player_cut_efficiency.csv,,
Kevin Le,Bard College,1,0,0,,1,0,0.0,0,0,,0.0,0.0,0.0,player_cut_efficiency.csv,,
Laz Panagiotounis,Bard College,1,0,0,,1,0,0.0,0,0,,0.0,0.0,0.0,player_cut_efficiency.csv,,
Elliot Harris,Bard College,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,player_cut_efficiency.csv,,
Heston Tucker,Bard College,3,0,0,,3,3,100.0,0,0,,100.0,0.0,0.0,player_cut_flash_efficiency.csv,,
Elliot Harris,Bard College,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,player_cut_flash_efficiency.csv,,
Rowan Heinze,Bard College,2,0,0,,2,1,50.0,0,0,,50.0,0.0,0.0,player_cut_screen_efficiency.csv,,
Sean Wilcox,Bard College,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,player_cut_screen_efficiency.csv,,
Heston Tucker,Bard College,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,player_cut_screen_efficiency.csv,,
Laz Panagiotounis,Bard College,1,0,0,,1,1,100.0,1,1,100.0,100.0,0.0,0.0,player_handoffs_bhleft_dribble_efficiency.csv,,
Azriel Almodovar,Bard College,1,0,0,,0,0,,0,0,,,0.0,1.0,player_handoffs_bhleft_dribble_efficiency.csv,,
Elliot Harris,Bard College,1,1,1,100.0,0,0,,0,0,,150.0,0.0,0.0,player_handoffs_bhleft_dribble_efficiency.csv,,
Azriel Almodovar,Bard College,2,0,0,,0,0,,0,0,,,1.0,1.0,player_handoffs_bhleft_efficiency.csv,,
Laz Panagiotounis,Bard College,1,0,0,,1,1,100.0,1,1,100.0,100.0,0.0,0.0,player_handoffs_bhleft_efficiency.csv,,
Elliot Harris,Bard College,1,1,1,100.0,0,0,,0,0,,150.0,0.0,0.0,player_handoffs_bhleft_efficiency.csv,,
Azriel Almodovar,Bard College,1,0,0,,0,0,,0,0,,,1.0,0.0,player_handoffs_bhleft_stationary_efficiency.csv,,
Laz Panagiotounis,Bard College,3,1,1,100.0,0,0,,0,0,,150.0,2.0,0.0,player_handoffs_bhright_dribble_efficiency.csv,,
Elliot Harris,Bard College,2,2,2,100.0,0,0,,0,0,,150.0,0.0,0.0,player_handoffs_bhright_dribble_efficiency.csv,,
Heston Tucker,Bard College,1,0,0,,1,1,100.0,1,1,100.0,100.0,0.0,0.0,player_handoffs_bhright_dribble_efficiency.csv,,
Connor Melis,Bard College,1,0,0,,1,0,0.0,1,0,0.0,0.0,0.0,0.0,player_handoffs_bhright_dribble_efficiency.csv,,
Laz Panagiotounis,Bard College,3,1,1,100.0,0,0,,0,0,,150.0,2.0,0.0,player_handoffs_bhright_efficiency.csv,,
Elliot Harris,Bard College,2,2,2,100.0,0,0,,0,0,,150.0,0.0,0.0,player_handoffs_bhright_efficiency.csv,,
Heston Tucker,Bard College,1,0,0,,1,1,100.0,1,1,100.0,100.0,0.0,0.0,player_handoffs_bhright_efficiency.csv,,
