Player,Team,TotalPlays,Total3ptShots,Total3ptMakes,3pt%,Total2ptShots,Total2ptMakes,2pt%,TotalMidRangeShots,TotalMidRangeMakes,MidRange%,EFG%,Turnover,Foul,SourceFile,PrimaryPlayer,SecondaryPlayer
Azriel Almodovar,Bard College,2,0,0,,1,1,100.0,0,0,,100.0,0.0,1.0,player_cut_basket_efficiency.csv,,
Azriel Almodovar,Bard College,2,0,0,,1,1,100.0,0,0,,100.0,0.0,1.0,player_cut_efficiency.csv,,
Azriel Almodovar,Bard College,1,0,0,,0,0,,0,0,,,0.0,1.0,player_handoffs_bhleft_dribble_efficiency.csv,,
Azriel Almodovar,Bard College,2,0,0,,0,0,,0,0,,,1.0,1.0,player_handoffs_bhleft_efficiency.csv,,
Azriel Almodovar,Bard College,1,0,0,,0,0,,0,0,,,1.0,0.0,player_handoffs_bhleft_stationary_efficiency.csv,,
Azriel Almodovar,Bard College,2,0,0,,1,0,0.0,1,0,0.0,0.0,0.0,1.0,player_handoffs_dribble_efficiency.csv,,
Azriel Almodovar,Bard College,3,0,0,,1,0,0.0,1,0,0.0,0.0,1.0,1.0,player_handoffs_efficiency.csv,,
Azriel Almodovar,Bard College,1,0,0,,0,0,,0,0,,,1.0,0.0,player_handoffs_stationary_efficiency.csv,,
Azriel Almodovar,Bard College,1,0,0,,1,0,0.0,1,0,0.0,0.0,0.0,0.0,player_handoffs_top_dribble_efficiency.csv,,
Azriel Almodovar,Bard College,1,0,0,,1,0,0.0,1,0,0.0,0.0,0.0,0.0,player_handoffs_top_efficiency.csv,,
Azriel Almodovar,Bard College,1,0,0,,1,0,0.0,1,0,0.0,0.0,0.0,0.0,player_misc_efficiency.csv,,
Azriel Almodovar,Bard College,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,player_offscreens_curl_efficiency.csv,,
Azriel Almodovar,Bard College,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,player_offscreens_efficiency.csv,,
Azriel Almodovar,Bard College,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,player_offscreens_rightshoulder_curl_efficiency.csv,,
Azriel Almodovar,Bard College,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,player_offscreens_rightshoulder_efficiency.csv,,
Azriel Almodovar,Bard College,2,0,0,,1,0,0.0,0,0,,0.0,1.0,0.0,player_pnr_bhhigh_efficiency.csv,,
Azriel Almodovar,Bard College,1,0,0,,1,0,0.0,0,0,,0.0,0.0,0.0,player_pnr_bhhigh_offpick_efficiency.csv,,
Azriel Almodovar,Bard College,1,0,0,,0,0,,0,0,,,1.0,0.0,player_pnr_bhhigh_rejectpick_efficiency.csv,,
Azriel Almodovar,Bard College,2,0,0,,2,1,50.0,0,0,,50.0,0.0,0.0,player_pnr_bhleft_efficiency.csv,,
Azriel Almodovar,Bard College,2,0,0,,2,1,50.0,0,0,,50.0,0.0,0.0,player_pnr_bhleft_offpick_efficiency.csv,,
Azriel Almodovar,Bard College,4,0,0,,3,1,33.3333,0,0,,33.33333,1.0,0.0,player_pnr_efficiency.csv,,
Azriel Almodovar,Bard College,3,0,0,,3,1,33.3333,0,0,,33.33333,0.0,0.0,player_pnr_offpick_efficiency.csv,,
Azriel Almodovar,Bard College,1,0,0,,0,0,,0,0,,,1.0,0.0,player_pnr_rejectpick_efficiency.csv,,
Azriel Almodovar,Bard College,2,0,0,,1,1,100.0,0,0,,100.0,1.0,0.0,player_spotup_drive_efficiency.csv,,
Azriel Almodovar,Bard College,2,0,0,,1,1,100.0,0,0,,100.0,1.0,0.0,player_spotup_efficiency.csv,,
Azriel Almodovar,Bard College,1,0,0,,0,0,,0,0,,,1.0,0.0,player_spotup_leftdrive_efficiency.csv,,
Azriel Almodovar,Bard College,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,player_spotup_rightdrive_efficiency.csv,,
Azriel Almodovar,Bard College,3,0,0,,1,1,100.0,0,0,,100.0,1.0,1.0,player_transition_bh_efficiency.csv,,
Azriel Almodovar,Bard College,20,0,0,,13,5,38.4615,2,0,0.0,38.46154,4.0,3.0,playerefficiency.csv,,
Azriel Almodovar,Bard College,6,0,0,,3,2,66.6667,0,0,,66.66667,2.0,1.0,playerefficiencyleft.csv,,
Azriel Almodovar,Bard College,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,playerefficiencyright.csv,,
,Bard College,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,twoplayer_post_cut_efficiency.csv,Kevin Le,Azriel Almodovar
