Player,Team,TotalPlays,Total3ptShots,Total3ptMakes,3pt%,Total2ptShots,Total2ptMakes,2pt%,TotalMidRangeShots,TotalMidRangeMakes,MidRange%,EFG%,Turnover,Foul,SourceFile,PrimaryPlayer,SecondaryPlayer
Heston Tucker,Bard College,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,player_cut_basket_efficiency.csv,,
Heston Tucker,Bard College,5,0,0,,5,5,100.0,0,0,,100.0,0.0,0.0,player_cut_efficiency.csv,,
Heston Tucker,Bard College,3,0,0,,3,3,100.0,0,0,,100.0,0.0,0.0,player_cut_flash_efficiency.csv,,
Heston Tucker,Bard College,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,player_cut_screen_efficiency.csv,,
Heston Tucker,Bard College,1,0,0,,1,1,100.0,1,1,100.0,100.0,0.0,0.0,player_handoffs_bhright_dribble_efficiency.csv,,
Heston Tucker,Bard College,1,0,0,,1,1,100.0,1,1,100.0,100.0,0.0,0.0,player_handoffs_bhright_efficiency.csv,,
Heston Tucker,Bard College,1,0,0,,1,1,100.0,1,1,100.0,100.0,0.0,0.0,player_handoffs_dribble_efficiency.csv,,
Heston Tucker,Bard College,1,0,0,,1,1,100.0,1,1,100.0,100.0,0.0,0.0,player_handoffs_efficiency.csv,,
Heston Tucker,Bard College,1,0,0,,0,0,,0,0,,,0.0,1.0,player_misc_efficiency.csv,,
Heston Tucker,Bard College,1,1,0,0.0,0,0,,0,0,,0.0,0.0,0.0,player_offscreens_efficiency.csv,,
Heston Tucker,Bard College,1,1,0,0.0,0,0,,0,0,,0.0,0.0,0.0,player_offscreens_rightshoulder_efficiency.csv,,
Heston Tucker,Bard College,2,0,0,,2,2,100.0,2,2,100.0,100.0,0.0,0.0,player_spotup_drive_efficiency.csv,,
Heston Tucker,Bard College,3,1,1,100.0,2,2,100.0,2,2,100.0,116.66667,0.0,0.0,player_spotup_efficiency.csv,,
Heston Tucker,Bard College,1,1,1,100.0,0,0,,0,0,,150.0,0.0,0.0,player_spotup_jumpshot_efficiency.csv,,
Heston Tucker,Bard College,2,0,0,,2,2,100.0,2,2,100.0,100.0,0.0,0.0,player_spotup_rightdrive_efficiency.csv,,
Heston Tucker,Bard College,2,0,0,,2,2,100.0,0,0,,100.0,0.0,0.0,player_transition_bh_efficiency.csv,,
Heston Tucker,Bard College,1,0,0,,1,1,100.0,0,0,,100.0,,,player_transition_leakouts_efficiency.csv,,
Heston Tucker,Bard College,2,1,0,0.0,1,1,100.0,0,0,,50.0,0.0,0.0,player_transition_leftwing_efficiency.csv,,
Heston Tucker,Bard College,18,3,1,33.3333,14,14,100.0,3,3,100.0,91.17647,0.0,1.0,playerefficiency.csv,,
Heston Tucker,Bard College,1,1,0,0.0,0,0,,0,0,,0.0,0.0,0.0,playerefficiencyleft.csv,,
Heston Tucker,Bard College,3,0,0,,3,3,100.0,3,3,100.0,100.0,0.0,0.0,playerefficiencyright.csv,,
,Bard College,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,twoplayer_iso_cut_efficiency.csv,Kevin Le,Heston Tucker
,Bard College,1,0,0,,1,1,100.0,1,1,100.0,100.0,0.0,0.0,twoplayer_iso_spotupdrives_efficiency.csv,Cory Dennis,Heston Tucker
