Player,Team,TotalPlays,Total3ptShots,Total3ptMakes,3pt%,Total2ptShots,Total2ptMakes,2pt%,TotalMidRangeShots,TotalMidRangeMakes,MidRange%,EFG%,Turnover,Foul,SourceFile,PrimaryPlayer,SecondaryPlayer
Kevin Le,Bard College,1,0,0,,1,0,0.0,0,0,,0.0,0.0,0.0,player_cut_basket_efficiency.csv,,
Kevin Le,Bard College,1,0,0,,1,0,0.0,0,0,,0.0,0.0,0.0,player_cut_efficiency.csv,,
Kevin Le,Bard College,1,0,0,,1,0,0.0,0,0,,0.0,0.0,0.0,player_offscreens_curl_efficiency.csv,,
Kevin Le,Bard College,1,0,0,,1,0,0.0,0,0,,0.0,0.0,0.0,player_offscreens_efficiency.csv,,
Kevin Le,Bard College,1,0,0,,1,0,0.0,0,0,,0.0,0.0,0.0,player_offscreens_rightshoulder_curl_efficiency.csv,,
Kevin Le,Bard College,1,0,0,,1,0,0.0,0,0,,0.0,0.0,0.0,player_offscreens_rightshoulder_efficiency.csv,,
Kevin Le,Bard College,1,0,0,,1,0,0.0,0,0,,0.0,0.0,0.0,player_pnr_bhhigh_efficiency.csv,,
Kevin Le,Bard College,1,0,0,,1,0,0.0,0,0,,0.0,0.0,0.0,player_pnr_bhhigh_offpick_efficiency.csv,,
Kevin Le,Bard College,1,0,0,,1,0,0.0,0,0,,0.0,0.0,0.0,player_pnr_efficiency.csv,,
Kevin Le,Bard College,1,0,0,,1,0,0.0,0,0,,0.0,0.0,0.0,player_pnr_offpick_efficiency.csv,,
Kevin Le,Bard College,2,0,0,,1,0,0.0,0,0,,0.0,1.0,0.0,player_spotup_drive_efficiency.csv,,
Kevin Le,Bard College,3,1,0,0.0,1,0,0.0,0,0,,0.0,1.0,0.0,player_spotup_efficiency.csv,,
Kevin Le,Bard College,1,1,0,0.0,0,0,,0,0,,0.0,0.0,0.0,player_spotup_jumpshot_efficiency.csv,,
Kevin Le,Bard College,2,0,0,,1,0,0.0,0,0,,0.0,1.0,0.0,player_spotup_rightdrive_efficiency.csv,,
Kevin Le,Bard College,9,2,1,50.0,5,1,20.0,0,0,,35.71429,1.0,1.0,playerefficiency.csv,,
Kevin Le,Bard College,1,0,0,,1,0,0.0,0,0,,0.0,0.0,0.0,playerefficiencyleft.csv,,
Kevin Le,Bard College,2,0,0,,1,0,0.0,0,0,,0.0,1.0,0.0,playerefficiencyright.csv,,
,Bard College,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,twoplayer_iso_cut_efficiency.csv,Kevin Le,Heston Tucker
,Bard College,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,twoplayer_post_cut_efficiency.csv,Kevin Le,Azriel Almodovar
,Bard College,1,1,1,100.0,0,0,,0,0,,150.0,0.0,0.0,player_rollman_efficiency.csv,Cory Dennis,Kevin Le
,Bard College,1,1,1,100.0,0,0,,0,0,,150.0,0.0,0.0,player_rollman_pop_efficiency.csv,Cory Dennis,Kevin Le
,Bard College,1,1,0,0.0,0,0,,0,0,,0.0,0.0,0.0,twoplayer_pnr_spotupsjumpers_efficiency.csv,Laz Panagiotounis,Kevin Le
,Bard College,1,1,0,0.0,0,0,,0,0,,0.0,0.0,0.0,twoplayer_pnrbhleft_spotupjumper_efficiency.csv,Laz Panagiotounis,Kevin Le
,Bard College,1,1,1,100.0,0,0,,0,0,,150.0,0.0,0.0,twoplayer_pnrbhright_rollman_efficiency.csv,Cory Dennis,Kevin Le
,Bard College,1,1,1,100.0,0,0,,0,0,,150.0,0.0,0.0,twoplayer_pnrbhright_rollmanpops_efficiency.csv,Cory Dennis,Kevin Le
