Player,Team,TotalPlays,Total3ptShots,Total3ptMakes,3pt%,Total2ptShots,Total2ptMakes,2pt%,TotalMidRangeShots,TotalMidRangeMakes,MidRange%,EFG%,Turnover,Foul,SourceFile,PrimaryPlayer,SecondaryPlayer
Braeden Burns,Clarkson University Golden Knights,1,0,0,,1,0,0.0,0,0,,0.0,0.0,0.0,player_handoffs_bhleft_dribble_efficiency.csv,,
Braeden Burns,Clarkson University Golden Knights,1,0,0,,1,0,0.0,0,0,,0.0,0.0,0.0,player_handoffs_bhleft_efficiency.csv,,
Braeden Burns,Clarkson University Golden Knights,2,0,0,,2,2,100.0,1,1,100.0,100.0,0.0,0.0,player_handoffs_bhright_dribble_efficiency.csv,,
Braeden Burns,Clarkson University Golden Knights,2,0,0,,2,2,100.0,1,1,100.0,100.0,0.0,0.0,player_handoffs_bhright_efficiency.csv,,
Braeden Burns,Clarkson University Golden Knights,4,1,0,0.0,3,2,66.6667,1,1,100.0,50.0,0.0,0.0,player_handoffs_dribble_efficiency.csv,,
Braeden Burns,Clarkson University Golden Knights,4,1,0,0.0,3,2,66.6667,1,1,100.0,50.0,0.0,0.0,player_handoffs_efficiency.csv,,
Braeden Burns,Clarkson University Golden Knights,1,1,0,0.0,0,0,,0,0,,0.0,0.0,0.0,player_handoffs_top_dribble_efficiency.csv,,
Braeden Burns,Clarkson University Golden Knights,1,1,0,0.0,0,0,,0,0,,0.0,0.0,0.0,player_handoffs_top_efficiency.csv,,
Braeden Burns,Clarkson University Golden Knights,1,0,0,,0,0,,0,0,,,1.0,0.0,player_misc_efficiency.csv,,
Braeden Burns,Clarkson University Golden Knights,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,player_pnr_bhleft_efficiency.csv,,
Braeden Burns,Clarkson University Golden Knights,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,player_pnr_bhleft_offpick_efficiency.csv,,
Braeden Burns,Clarkson University Golden Knights,1,0,0,,1,0,0.0,0,0,,0.0,0.0,0.0,player_pnr_bhright_efficiency.csv,,
Braeden Burns,Clarkson University Golden Knights,1,0,0,,1,0,0.0,0,0,,0.0,0.0,0.0,player_pnr_bhright_offpick_efficiency.csv,,
Braeden Burns,Clarkson University Golden Knights,2,0,0,,2,1,50.0,0,0,,50.0,0.0,0.0,player_pnr_efficiency.csv,,
Braeden Burns,Clarkson University Golden Knights,2,0,0,,2,1,50.0,0,0,,50.0,0.0,0.0,player_pnr_offpick_efficiency.csv,,
Braeden Burns,Clarkson University Golden Knights,10,1,1,100.0,7,2,28.5714,1,0,0.0,43.75,0.0,2.0,player_spotup_drive_efficiency.csv,,
Braeden Burns,Clarkson University Golden Knights,16,6,4,66.6667,7,2,28.5714,1,0,0.0,61.53846,0.0,3.0,player_spotup_efficiency.csv,,
Braeden Burns,Clarkson University Golden Knights,6,5,3,60.0,0,0,,0,0,,90.0,0.0,1.0,player_spotup_jumpshot_efficiency.csv,,
Braeden Burns,Clarkson University Golden Knights,2,0,0,,2,1,50.0,0,0,,50.0,0.0,0.0,player_spotup_leftdrive_efficiency.csv,,
Braeden Burns,Clarkson University Golden Knights,7,0,0,,5,1,20.0,1,0,0.0,20.0,0.0,2.0,player_spotup_rightdrive_efficiency.csv,,
Braeden Burns,Clarkson University Golden Knights,1,1,1,100.0,0,0,,0,0,,150.0,0.0,0.0,player_spotup_straightdrive_efficiency.csv,,
Braeden Burns,Clarkson University Golden Knights,2,1,1,100.0,1,0,0.0,0,0,,75.0,0.0,0.0,player_transition_leftwing_efficiency.csv,,
Braeden Burns,Clarkson University Golden Knights,1,0,0,,1,0,0.0,0,0,,0.0,0.0,0.0,player_transition_rightwing_efficiency.csv,,
Braeden Burns,Clarkson University Golden Knights,1,0,0,,0,0,,0,0,,,1.0,0.0,player_transition_trailer_efficiency.csv,,
Braeden Burns,Clarkson University Golden Knights,29,8,5,62.5,15,5,33.3333,2,1,50.0,54.34783,3.0,3.0,playerefficiency.csv,,
Braeden Burns,Clarkson University Golden Knights,4,0,0,,4,2,50.0,0,0,,50.0,0.0,0.0,playerefficiencyleft.csv,,
Braeden Burns,Clarkson University Golden Knights,10,0,0,,8,3,37.5,2,1,50.0,37.5,0.0,2.0,playerefficiencyright.csv,,
,Clarkson University Golden Knights,1,0,0,,1,0,0.0,0,0,,0.0,0.0,0.0,twoplayer_pnr_cut_efficiency.csv,Braeden Burns,Jack Dalgety
,Clarkson University Golden Knights,1,0,0,,1,0,0.0,0,0,,0.0,0.0,0.0,twoplayer_pnrbhhigh_cuts_efficiency.csv,Braeden Burns,Jack Dalgety
,Clarkson University Golden Knights,1,1,0,0.0,0,0,,0,0,,0.0,0.0,0.0,twoplayer_iso_spotupjumpers_efficiency.csv,Ryan Miles-Ferguson,Braeden Burns
,Clarkson University Golden Knights,1,1,1,100.0,0,0,,0,0,,150.0,0.0,0.0,twoplayer_pnr_spotupdrives_efficiency.csv,Steve DeRegis,Braeden Burns
,Clarkson University Golden Knights,1,1,1,100.0,0,0,,0,0,,150.0,0.0,0.0,twoplayer_pnr_spotupsdrives_efficiency.csv,Steve DeRegis,Braeden Burns
,Clarkson University Golden Knights,1,1,1,100.0,0,0,,0,0,,150.0,0.0,0.0,twoplayer_pnrbhhigh_spotupdrives_efficiency.csv,Steve DeRegis,Braeden Burns
