Player,Team,TotalPlays,Total3ptShots,Total3ptMakes,3pt%,Total2ptShots,Total2ptMakes,2pt%,TotalMidRangeShots,TotalMidRangeMakes,MidRange%,EFG%,Turnover,Foul,SourceFile,PrimaryPlayer,SecondaryPlayer
Jack Dalgety,Clarkson University Golden Knights,1,0,0,,1,0,0.0,0,0,,0.0,0.0,0.0,player_cut_basket_efficiency.csv,,
Jack Dalgety,Clarkson University Golden Knights,1,0,0,,1,0,0.0,0,0,,0.0,0.0,0.0,player_cut_efficiency.csv,,
Jack Dalgety,Clarkson University Golden Knights,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,player_handoffs_bhleft_dribble_efficiency.csv,,
Jack Dalgety,Clarkson University Golden Knights,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,player_handoffs_bhleft_efficiency.csv,,
Jack Dalgety,Clarkson University Golden Knights,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,player_handoffs_dribble_efficiency.csv,,
Jack Dalgety,Clarkson University Golden Knights,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,player_handoffs_efficiency.csv,,
Jack Dalgety,Clarkson University Golden Knights,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,player_offscreens_efficiency.csv,,
Jack Dalgety,Clarkson University Golden Knights,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,player_offscreens_leftshoulder_efficiency.csv,,
Jack Dalgety,Clarkson University Golden Knights,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,player_offscreens_leftshoulder_straight_efficiency.csv,,
Jack Dalgety,Clarkson University Golden Knights,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,player_offscreens_straight_efficiency.csv,,
Jack Dalgety,Clarkson University Golden Knights,1,0,0,,0,0,,0,0,,,0.0,1.0,player_pnr_bhleft_efficiency.csv,,
Jack Dalgety,Clarkson University Golden Knights,1,0,0,,0,0,,0,0,,,0.0,1.0,player_pnr_bhleft_offpick_efficiency.csv,,
Jack Dalgety,Clarkson University Golden Knights,1,0,0,,0,0,,0,0,,,0.0,1.0,player_pnr_efficiency.csv,,
Jack Dalgety,Clarkson University Golden Knights,1,0,0,,0,0,,0,0,,,0.0,1.0,player_pnr_offpick_efficiency.csv,,
Jack Dalgety,Clarkson University Golden Knights,6,0,0,,3,3,100.0,0,0,,100.0,2.0,1.0,player_spotup_drive_efficiency.csv,,
Jack Dalgety,Clarkson University Golden Knights,20,14,4,28.5714,3,3,100.0,0,0,,52.94118,2.0,1.0,player_spotup_efficiency.csv,,
Jack Dalgety,Clarkson University Golden Knights,14,14,4,28.5714,0,0,,0,0,,42.85714,0.0,0.0,player_spotup_jumpshot_efficiency.csv,,
Jack Dalgety,Clarkson University Golden Knights,4,0,0,,3,3,100.0,0,0,,100.0,0.0,1.0,player_spotup_leftdrive_efficiency.csv,,
Jack Dalgety,Clarkson University Golden Knights,2,0,0,,0,0,,0,0,,,2.0,0.0,player_spotup_rightdrive_efficiency.csv,,
Jack Dalgety,Clarkson University Golden Knights,1,0,0,,0,0,,0,0,,,1.0,0.0,player_transition_rightwing_efficiency.csv,,
Jack Dalgety,Clarkson University Golden Knights,28,14,4,28.5714,7,5,71.4286,0,0,,52.38095,4.0,3.0,playerefficiency.csv,,
Jack Dalgety,Clarkson University Golden Knights,6,0,0,,4,4,100.0,0,0,,100.0,0.0,2.0,playerefficiencyleft.csv,,
Jack Dalgety,Clarkson University Golden Knights,3,0,0,,1,1,100.0,0,0,,100.0,2.0,0.0,playerefficiencyright.csv,,
,Clarkson University Golden Knights,1,0,0,,0,0,,0,0,,,0.0,1.0,player_rollman_efficiency.csv,Ryan Miles-Ferguson,Jack Dalgety
,Clarkson University Golden Knights,1,0,0,,0,0,,0,0,,,0.0,1.0,player_rollman_slip_efficiency.csv,Ryan Miles-Ferguson,Jack Dalgety
,Clarkson University Golden Knights,1,1,0,0.0,0,0,,0,0,,0.0,0.0,0.0,twoplayer_iso_spotupjumpers_efficiency.csv,Ryan Miles-Ferguson,Jack Dalgety
,Clarkson University Golden Knights,1,0,0,,1,0,0.0,0,0,,0.0,0.0,0.0,twoplayer_pnr_cut_efficiency.csv,Braeden Burns,Jack Dalgety
,Clarkson University Golden Knights,1,0,0,,1,0,0.0,0,0,,0.0,0.0,0.0,twoplayer_pnrbhhigh_cuts_efficiency.csv,Braeden Burns,Jack Dalgety
,Clarkson University Golden Knights,1,0,0,,0,0,,0,0,,,0.0,1.0,twoplayer_pnrbhhigh_rollman_efficiency.csv,Ryan Miles-Ferguson,Jack Dalgety
,Clarkson University Golden Knights,1,0,0,,0,0,,0,0,,,0.0,1.0,twoplayer_pnrbhhigh_rollmanslips_efficiency.csv,Ryan Miles-Ferguson,Jack Dalgety
,Clarkson University Golden Knights,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,twoplayer_post_spotupdrive_efficiency.csv,Ryan Miles-Ferguson,Jack Dalgety
,Clarkson University Golden Knights,2,2,1,50.0,0,0,,0,0,,75.0,0.0,0.0,twoplayer_post_spotupjumper_efficiency.csv,Finn Cork,Jack Dalgety
,Clarkson University Golden Knights,1,1,0,0.0,0,0,,0,0,,0.0,0.0,0.0,twoplayer_post_spotupjumper_efficiency.csv,Ryan Miles-Ferguson,Jack Dalgety
