Player,Team,TotalPlays,Total3ptShots,Total3ptMakes,3pt%,Total2ptShots,Total2ptMakes,2pt%,TotalMidRangeShots,TotalMidRangeMakes,MidRange%,EFG%,Turnover,Foul,SourceFile,PrimaryPlayer,SecondaryPlayer
Tyler Cardello,Elmira,4,0,0,,2,1,50.0,0,0,,50.0,1.0,1.0,player_cut_basket_efficiency.csv,,
Tyler Cardello,Elmira,4,0,0,,2,1,50.0,0,0,,50.0,1.0,1.0,player_cut_efficiency.csv,,
Tyler Cardello,Elmira,1,1,0,0.0,0,0,,0,0,,0.0,0.0,0.0,player_handoffs_dribble_efficiency.csv,,
Tyler Cardello,Elmira,1,1,0,0.0,0,0,,0,0,,0.0,0.0,0.0,player_handoffs_efficiency.csv,,
Tyler Cardello,Elmira,1,1,0,0.0,0,0,,0,0,,0.0,0.0,0.0,player_handoffs_top_dribble_efficiency.csv,,
Tyler Cardello,Elmira,1,1,0,0.0,0,0,,0,0,,0.0,0.0,0.0,player_handoffs_top_efficiency.csv,,
Tyler Cardello,Elmira,1,0,0,,0,0,,0,0,,,0.0,1.0,player_iso_efficiency.csv,,
Tyler Cardello,Elmira,1,0,0,,0,0,,0,0,,,0.0,1.0,player_iso_top_efficiency.csv,,
Tyler Cardello,Elmira,1,0,0,,1,0,0.0,1,0,0.0,0.0,0.0,0.0,player_offscreens_efficiency.csv,,
Tyler Cardello,Elmira,1,0,0,,1,0,0.0,1,0,0.0,0.0,0.0,0.0,player_offscreens_flare_efficiency.csv,,
Tyler Cardello,Elmira,1,0,0,,1,0,0.0,1,0,0.0,0.0,0.0,0.0,player_offscreens_leftshoulder_efficiency.csv,,
Tyler Cardello,Elmira,1,0,0,,0,0,,0,0,,,0.0,1.0,player_post_efficiency.csv,,
Tyler Cardello,Elmira,1,0,0,,0,0,,0,0,,,0.0,1.0,player_post_leftblock_efficiency.csv,,
Tyler Cardello,Elmira,1,0,0,,0,0,,0,0,,,0.0,1.0,player_post_leftblock_rightshoulder_efficiency.csv,,
Tyler Cardello,Elmira,1,0,0,,0,0,,0,0,,,0.0,1.0,player_post_rightshoulder_efficiency.csv,,
Tyler Cardello,Elmira,5,0,0,,4,3,75.0,0,0,,75.0,1.0,0.0,player_spotup_drive_efficiency.csv,,
Tyler Cardello,Elmira,10,5,1,20.0,4,3,75.0,0,0,,50.0,1.0,0.0,player_spotup_efficiency.csv,,
Tyler Cardello,Elmira,5,5,1,20.0,0,0,,0,0,,30.0,0.0,0.0,player_spotup_jumpshot_efficiency.csv,,
Tyler Cardello,Elmira,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,player_spotup_leftdrive_efficiency.csv,,
Tyler Cardello,Elmira,4,0,0,,3,2,66.6667,0,0,,66.66667,1.0,0.0,player_spotup_rightdrive_efficiency.csv,,
Tyler Cardello,Elmira,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,player_transition_bh_efficiency.csv,,
Tyler Cardello,Elmira,1,0,0,,1,0,0.0,0,0,,0.0,0.0,0.0,player_transition_leftwing_efficiency.csv,,
Tyler Cardello,Elmira,2,0,0,,2,1,50.0,0,0,,50.0,0.0,0.0,player_transition_rightwing_efficiency.csv,,
Tyler Cardello,Elmira,23,6,1,16.6667,11,6,54.5455,1,0,0.0,44.11765,2.0,4.0,playerefficiency.csv,,
Tyler Cardello,Elmira,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,playerefficiencyleft.csv,,
Tyler Cardello,Elmira,6,0,0,,4,2,50.0,1,0,0.0,50.0,1.0,1.0,playerefficiencyright.csv,,
,Elmira,1,0,0,,0,0,,0,0,,,0.0,1.0,twoplayer_pnr_cut_efficiency.csv,Dylan Jacob,Tyler Cardello
,Elmira,1,0,0,,0,0,,0,0,,,0.0,1.0,twoplayer_pnrbhhigh_cuts_efficiency.csv,Dylan Jacob,Tyler Cardello
