Player,Team,TotalPlays,Total3ptShots,Total3ptMakes,3pt%,Total2ptShots,Total2ptMakes,2pt%,TotalMidRangeShots,TotalMidRangeMakes,MidRange%,EFG%,Turnover,Foul,SourceFile,PrimaryPlayer,SecondaryPlayer
Aidan Rodgers,Hobart College Statesmen,5,1,0,0.0,4,1,25.0,2,0,0.0,20.0,0.0,0.0,player_iso_efficiency.csv,,
Aidan Rodgers,Hobart College Statesmen,3,1,0,0.0,2,0,0.0,1,0,0.0,0.0,0.0,0.0,player_iso_right_efficiency.csv,,
Aidan Rodgers,Hobart College Statesmen,2,0,0,,2,1,50.0,1,0,0.0,50.0,0.0,0.0,player_iso_top_efficiency.csv,,
Aidan Rodgers,Hobart College Statesmen,4,0,0,,1,0,0.0,0,0,,0.0,2.0,1.0,player_misc_efficiency.csv,,
Aidan Rodgers,Hobart College Statesmen,4,4,2,50.0,0,0,,0,0,,75.0,0.0,0.0,player_offscreens_efficiency.csv,,
Aidan Rodgers,Hobart College Statesmen,3,3,1,33.3333,0,0,,0,0,,50.0,0.0,0.0,player_offscreens_flare_efficiency.csv,,
Aidan Rodgers,Hobart College Statesmen,2,2,2,100.0,0,0,,0,0,,150.0,0.0,0.0,player_offscreens_leftshoulder_efficiency.csv,,
Aidan Rodgers,Hobart College Statesmen,1,1,1,100.0,0,0,,0,0,,150.0,0.0,0.0,player_offscreens_leftshoulder_straight_efficiency.csv,,
Aidan Rodgers,Hobart College Statesmen,2,2,0,0.0,0,0,,0,0,,0.0,0.0,0.0,player_offscreens_rightshoulder_efficiency.csv,,
Aidan Rodgers,Hobart College Statesmen,2,2,0,0.0,0,0,,0,0,,0.0,0.0,0.0,player_offscreens_rightshoulder_flare_efficiency.csv,,
Aidan Rodgers,Hobart College Statesmen,1,1,1,100.0,0,0,,0,0,,150.0,0.0,0.0,player_offscreens_straight_efficiency.csv,,
Aidan Rodgers,Hobart College Statesmen,5,0,0,,4,2,50.0,2,0,0.0,50.0,0.0,1.0,player_pnr_bhhigh_efficiency.csv,,
Aidan Rodgers,Hobart College Statesmen,5,0,0,,4,2,50.0,2,0,0.0,50.0,0.0,1.0,player_pnr_bhhigh_offpick_efficiency.csv,,
Aidan Rodgers,Hobart College Statesmen,2,0,0,,2,0,0.0,2,0,0.0,0.0,0.0,0.0,player_pnr_bhleft_efficiency.csv,,
Aidan Rodgers,Hobart College Statesmen,1,0,0,,1,0,0.0,1,0,0.0,0.0,0.0,0.0,player_pnr_bhleft_offpick_efficiency.csv,,
Aidan Rodgers,Hobart College Statesmen,1,0,0,,1,0,0.0,1,0,0.0,0.0,0.0,0.0,player_pnr_bhleft_rejectpick_efficiency.csv,,
Aidan Rodgers,Hobart College Statesmen,2,0,0,,1,1,100.0,1,0,0.0,100.0,0.0,1.0,player_pnr_bhright_efficiency.csv,,
Aidan Rodgers,Hobart College Statesmen,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,player_pnr_bhright_offpick_efficiency.csv,,
Aidan Rodgers,Hobart College Statesmen,1,0,0,,0,0,,1,0,0.0,,0.0,1.0,player_pnr_bhright_rejectpick_efficiency.csv,,
Aidan Rodgers,Hobart College Statesmen,9,0,0,,7,3,42.8571,5,0,0.0,42.85714,0.0,2.0,player_pnr_efficiency.csv,,
Aidan Rodgers,Hobart College Statesmen,7,0,0,,6,3,50.0,3,0,0.0,50.0,0.0,1.0,player_pnr_offpick_efficiency.csv,,
Aidan Rodgers,Hobart College Statesmen,2,0,0,,1,0,0.0,2,0,0.0,0.0,0.0,1.0,player_pnr_rejectpick_efficiency.csv,,
Aidan Rodgers,Hobart College Statesmen,1,0,0,,0,0,,0,0,,,1.0,0.0,player_spotup_drive_efficiency.csv,,
Aidan Rodgers,Hobart College Statesmen,2,1,0,0.0,0,0,,0,0,,0.0,1.0,0.0,player_spotup_efficiency.csv,,
Aidan Rodgers,Hobart College Statesmen,1,1,0,0.0,0,0,,0,0,,0.0,0.0,0.0,player_spotup_jumpshot_efficiency.csv,,
Aidan Rodgers,Hobart College Statesmen,1,0,0,,0,0,,0,0,,,1.0,0.0,player_spotup_leftdrive_efficiency.csv,,
Aidan Rodgers,Hobart College Statesmen,6,0,0,,5,2,40.0,0,0,,40.0,1.0,0.0,player_transition_bh_efficiency.csv,,
Aidan Rodgers,Hobart College Statesmen,2,0,0,,1,0,0.0,0,0,,0.0,0.0,1.0,player_transition_rightwing_efficiency.csv,,
