Player,Team,TotalPlays,Total3ptShots,Total3ptMakes,3pt%,Total2ptShots,Total2ptMakes,2pt%,TotalMidRangeShots,TotalMidRangeMakes,MidRange%,EFG%,Turnover,Foul,SourceFile,PrimaryPlayer,SecondaryPlayer
Jean Marc Togodgue,Hobart College Statesmen,1,0,0,,1,0,0.0,0,0,,0.0,0.0,0.0,player_spotup_drive_efficiency.csv,,
Jean Marc Togodgue,Hobart College Statesmen,1,0,0,,1,0,0.0,0,0,,0.0,0.0,0.0,player_spotup_efficiency.csv,,
Jean Marc Togodgue,Hobart College Statesmen,1,0,0,,1,0,0.0,0,0,,0.0,0.0,0.0,player_spotup_rightdrive_efficiency.csv,,
Jean Marc Togodgue,Hobart College Statesmen,3,0,0,,2,1,50.0,0,0,,50.0,0.0,1.0,playerefficiency.csv,,
Jean Marc Togodgue,Hobart College Statesmen,2,0,0,,2,1,50.0,0,0,,50.0,0.0,0.0,playerefficiencyright.csv,,
,Hobart College Statesmen,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,player_rollman_efficiency.csv,Sam Pisanelli,Jean Marc Togodgue
,Hobart College Statesmen,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,player_rollman_pop_efficiency.csv,Sam Pisanelli,Jean Marc Togodgue
,Hobart College Statesmen,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,player_rollman_rightdrive_efficiency.csv,Sam Pisanelli,Jean Marc Togodgue
,Hobart College Statesmen,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,player_rollman_rightdrive_pop_efficiency.csv,Sam Pisanelli,Jean Marc Togodgue
,Hobart College Statesmen,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,twoplayer_bhhigh_rollmanpops_efficiency.csv,Sam Pisanelli,Jean Marc Togodgue
,Hobart College Statesmen,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,twoplayer_pnrbhhigh_rollman_efficiency.csv,Sam Pisanelli,Jean Marc Togodgue
,Hobart College Statesmen,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,twoplayer_pnrbhhigh_rollmanpops_efficiency.csv,Sam Pisanelli,Jean Marc Togodgue
