Player,Team,TotalPlays,Total3ptShots,Total3ptMakes,3pt%,Total2ptShots,Total2ptMakes,2pt%,TotalMidRangeShots,TotalMidRangeMakes,MidRange%,EFG%,Turnover,Foul,SourceFile,PrimaryPlayer,SecondaryPlayer
Brock Bowen,Rochester Institute of Technology Tigers,8,0,0,,6,5,83.3333,0,0,,83.33333,0.0,2.0,player_cut_basket_efficiency.csv,,
Brock Bowen,Rochester Institute of Technology Tigers,11,0,0,,8,5,62.5,0,0,,62.5,1.0,2.0,player_cut_efficiency.csv,,
Brock Bowen,Rochester Institute of Technology Tigers,1,0,0,,1,0,0.0,0,0,,0.0,0.0,0.0,player_cut_flash_efficiency.csv,,
Brock Bowen,Rochester Institute of Technology Tigers,2,0,0,,1,0,0.0,0,0,,0.0,1.0,0.0,player_cut_screen_efficiency.csv,,
Brock Bowen,Rochester Institute of Technology Tigers,5,1,0,0.0,3,1,33.3333,0,0,,25.0,1.0,0.0,player_handoffs_bhleft_dribble_efficiency.csv,,
Brock Bowen,Rochester Institute of Technology Tigers,5,1,0,0.0,3,1,33.3333,0,0,,25.0,1.0,0.0,player_handoffs_bhleft_efficiency.csv,,
Brock Bowen,Rochester Institute of Technology Tigers,7,3,3,100.0,3,3,100.0,2,2,100.0,125.0,0.0,1.0,player_handoffs_bhright_dribble_efficiency.csv,,
Brock Bowen,Rochester Institute of Technology Tigers,7,3,3,100.0,3,3,100.0,2,2,100.0,125.0,0.0,1.0,player_handoffs_bhright_efficiency.csv,,
Brock Bowen,Rochester Institute of Technology Tigers,18,8,4,50.0,7,4,57.1429,3,2,66.6667,66.66667,2.0,1.0,player_handoffs_dribble_efficiency.csv,,
Brock Bowen,Rochester Institute of Technology Tigers,18,8,4,50.0,7,4,57.1429,3,2,66.6667,66.66667,2.0,1.0,player_handoffs_efficiency.csv,,
Brock Bowen,Rochester Institute of Technology Tigers,6,4,1,25.0,1,0,0.0,1,0,0.0,30.0,1.0,0.0,player_handoffs_top_dribble_efficiency.csv,,
Brock Bowen,Rochester Institute of Technology Tigers,6,4,1,25.0,1,0,0.0,1,0,0.0,30.0,1.0,0.0,player_handoffs_top_efficiency.csv,,
Brock Bowen,Rochester Institute of Technology Tigers,4,3,0,0.0,0,0,,0,0,,0.0,1.0,0.0,player_iso_efficiency.csv,,
Brock Bowen,Rochester Institute of Technology Tigers,3,2,0,0.0,0,0,,0,0,,0.0,1.0,0.0,player_iso_left_efficiency.csv,,
Brock Bowen,Rochester Institute of Technology Tigers,1,1,0,0.0,0,0,,0,0,,0.0,0.0,0.0,player_iso_top_efficiency.csv,,
Brock Bowen,Rochester Institute of Technology Tigers,17,2,0,0.0,1,1,100.0,1,1,100.0,33.33333,9.0,5.0,player_misc_efficiency.csv,,
Brock Bowen,Rochester Institute of Technology Tigers,3,0,0,,2,2,100.0,0,0,,100.0,1.0,0.0,player_offscreens_curl_efficiency.csv,,
Brock Bowen,Rochester Institute of Technology Tigers,39,30,13,43.3333,6,4,66.6667,3,2,66.6667,65.27778,2.0,1.0,player_offscreens_efficiency.csv,,
Brock Bowen,Rochester Institute of Technology Tigers,4,3,1,33.3333,1,0,0.0,1,0,0.0,37.5,0.0,0.0,player_offscreens_flare_efficiency.csv,,
Brock Bowen,Rochester Institute of Technology Tigers,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,player_offscreens_leftshoulder_curl_efficiency.csv,,
Brock Bowen,Rochester Institute of Technology Tigers,18,12,6,50.0,4,3,75.0,3,2,66.6667,75.0,1.0,1.0,player_offscreens_leftshoulder_efficiency.csv,,
Brock Bowen,Rochester Institute of Technology Tigers,13,9,3,33.3333,2,2,100.0,2,2,100.0,59.09091,1.0,1.0,player_offscreens_leftshoulder_straight_efficiency.csv,,
Brock Bowen,Rochester Institute of Technology Tigers,2,0,0,,1,1,100.0,0,0,,100.0,1.0,0.0,player_offscreens_rightshoulder_curl_efficiency.csv,,
Brock Bowen,Rochester Institute of Technology Tigers,21,18,7,38.8889,2,1,50.0,0,0,,57.5,1.0,0.0,player_offscreens_rightshoulder_efficiency.csv,,
Brock Bowen,Rochester Institute of Technology Tigers,2,2,0,0.0,0,0,,0,0,,0.0,0.0,0.0,player_offscreens_rightshoulder_flare_efficiency.csv,,
Brock Bowen,Rochester Institute of Technology Tigers,16,15,6,40.0,1,0,0.0,0,0,,56.25,0.0,0.0,player_offscreens_rightshoulder_straight_efficiency.csv,,
Brock Bowen,Rochester Institute of Technology Tigers,29,24,9,37.5,3,2,66.6667,2,2,100.0,57.40741,1.0,1.0,player_offscreens_straight_efficiency.csv,,
Brock Bowen,Rochester Institute of Technology Tigers,21,8,4,50.0,9,2,22.2222,3,1,33.3333,47.05882,3.0,1.0,player_pnr_bhhigh_efficiency.csv,,
Brock Bowen,Rochester Institute of Technology Tigers,19,7,3,42.8571,8,2,25.0,3,1,33.3333,43.33333,3.0,1.0,player_pnr_bhhigh_offpick_efficiency.csv,,
Brock Bowen,Rochester Institute of Technology Tigers,2,1,1,100.0,1,0,0.0,0,0,,75.0,0.0,0.0,player_pnr_bhhigh_rejectpick_efficiency.csv,,
Brock Bowen,Rochester Institute of Technology Tigers,6,2,1,50.0,1,1,100.0,1,1,100.0,83.33333,0.0,3.0,player_pnr_bhleft_efficiency.csv,,
Brock Bowen,Rochester Institute of Technology Tigers,6,2,1,50.0,1,1,100.0,1,1,100.0,83.33333,0.0,3.0,player_pnr_bhleft_offpick_efficiency.csv,,
Brock Bowen,Rochester Institute of Technology Tigers,9,5,0,0.0,2,2,100.0,0,0,,28.57143,2.0,0.0,player_pnr_bhright_efficiency.csv,,
Brock Bowen,Rochester Institute of Technology Tigers,5,3,0,0.0,1,1,100.0,0,0,,25.0,1.0,0.0,player_pnr_bhright_offpick_efficiency.csv,,
Brock Bowen,Rochester Institute of Technology Tigers,2,0,0,,1,1,100.0,0,0,,100.0,1.0,0.0,player_pnr_bhright_rejectpick_efficiency.csv,,
Brock Bowen,Rochester Institute of Technology Tigers,36,15,5,33.3333,12,5,41.6667,4,2,50.0,46.2963,5.0,4.0,player_pnr_efficiency.csv,,
Brock Bowen,Rochester Institute of Technology Tigers,30,12,4,33.3333,10,4,40.0,4,2,50.0,45.45455,4.0,4.0,player_pnr_offpick_efficiency.csv,,
Brock Bowen,Rochester Institute of Technology Tigers,4,1,1,100.0,2,1,50.0,0,0,,83.33333,1.0,0.0,player_pnr_rejectpick_efficiency.csv,,
Brock Bowen,Rochester Institute of Technology Tigers,30,7,3,42.8571,14,8,57.1429,3,3,100.0,59.52381,6.0,3.0,player_spotup_drive_efficiency.csv,,
Brock Bowen,Rochester Institute of Technology Tigers,101,78,34,43.5897,14,8,57.1429,3,3,100.0,64.13043,6.0,3.0,player_spotup_efficiency.csv,,
Brock Bowen,Rochester Institute of Technology Tigers,71,71,31,43.662,0,0,,0,0,,65.49296,0.0,0.0,player_spotup_jumpshot_efficiency.csv,,
Brock Bowen,Rochester Institute of Technology Tigers,15,4,2,50.0,6,4,66.6667,2,2,100.0,70.0,2.0,3.0,player_spotup_leftdrive_efficiency.csv,,
Brock Bowen,Rochester Institute of Technology Tigers,13,1,0,0.0,8,4,50.0,1,1,100.0,44.44444,4.0,0.0,player_spotup_rightdrive_efficiency.csv,,
Brock Bowen,Rochester Institute of Technology Tigers,2,2,1,50.0,0,0,,0,0,,75.0,0.0,0.0,player_spotup_straightdrive_efficiency.csv,,
Brock Bowen,Rochester Institute of Technology Tigers,11,3,0,0.0,3,1,33.3333,1,0,0.0,16.66667,3.0,2.0,player_transition_bh_efficiency.csv,,
Brock Bowen,Rochester Institute of Technology Tigers,3,0,0,,3,2,66.6667,0,0,,66.66667,,,player_transition_leakouts_efficiency.csv,,
Brock Bowen,Rochester Institute of Technology Tigers,23,14,7,50.0,7,2,28.5714,1,1,100.0,59.52381,2.0,0.0,player_transition_leftwing_efficiency.csv,,
Brock Bowen,Rochester Institute of Technology Tigers,7,6,2,33.3333,0,0,,0,0,,50.0,1.0,0.0,player_transition_rightwing_efficiency.csv,,
Brock Bowen,Rochester Institute of Technology Tigers,4,4,1,25.0,0,0,,0,0,,37.5,0.0,0.0,player_transition_trailer_efficiency.csv,,
Brock Bowen,Rochester Institute of Technology Tigers,281,165,67,40.6061,65,33,50.7692,16,11,68.75,58.04348,32.0,19.0,playerefficiency.csv,,
Brock Bowen,Rochester Institute of Technology Tigers,51,28,11,39.2857,12,7,58.3333,3,3,100.0,58.75,5.0,6.0,playerefficiencyleft.csv,,
Brock Bowen,Rochester Institute of Technology Tigers,47,21,9,42.8571,17,12,70.5882,6,5,83.3333,67.10526,7.0,2.0,playerefficiencyright.csv,,
,Rochester Institute of Technology Tigers,7,2,1,50.0,3,2,66.6667,0,0,,70.0,1.0,1.0,player_rollman_efficiency.csv,Brock Bowen,Josiah Turner
,Rochester Institute of Technology Tigers,6,3,1,33.3333,1,1,100.0,0,0,,62.5,2.0,0.0,player_rollman_efficiency.csv,Brock Bowen,Kenny Wilburn
,Rochester Institute of Technology Tigers,1,1,1,100.0,0,0,,0,0,,150.0,0.0,0.0,player_rollman_efficiency.csv,Brock Bowen,Zac Ditzel
,Rochester Institute of Technology Tigers,1,0,0,,0,0,,0,0,,,1.0,0.0,player_rollman_efficiency.csv,Brock Bowen,Jackson Otis
,Rochester Institute of Technology Tigers,1,0,0,,0,0,,0,0,,,1.0,0.0,player_rollman_leftdrive_efficiency.csv,Brock Bowen,Josiah Turner
,Rochester Institute of Technology Tigers,1,0,0,,0,0,,0,0,,,1.0,0.0,player_rollman_leftdrive_pop_efficiency.csv,Brock Bowen,Josiah Turner
,Rochester Institute of Technology Tigers,3,2,1,50.0,0,0,,0,0,,75.0,1.0,0.0,player_rollman_pop_efficiency.csv,Brock Bowen,Josiah Turner
,Rochester Institute of Technology Tigers,3,3,1,33.3333,0,0,,0,0,,50.0,0.0,0.0,player_rollman_pop_efficiency.csv,Brock Bowen,Kenny Wilburn
,Rochester Institute of Technology Tigers,1,1,1,100.0,0,0,,0,0,,150.0,0.0,0.0,player_rollman_pop_efficiency.csv,Brock Bowen,Zac Ditzel
,Rochester Institute of Technology Tigers,4,0,0,,3,2,66.6667,0,0,,66.66667,0.0,1.0,player_rollman_roll_efficiency.csv,Brock Bowen,Josiah Turner
,Rochester Institute of Technology Tigers,3,0,0,,1,1,100.0,0,0,,100.0,2.0,0.0,player_rollman_roll_efficiency.csv,Brock Bowen,Kenny Wilburn
,Rochester Institute of Technology Tigers,1,0,0,,0,0,,0,0,,,1.0,0.0,player_rollman_slip_efficiency.csv,Brock Bowen,Jackson Otis
,Rochester Institute of Technology Tigers,3,3,1,33.3333,0,0,,0,0,,50.0,0.0,0.0,twoplayer_bhhigh_rollmanpops_efficiency.csv,Brock Bowen,Kenny Wilburn
,Rochester Institute of Technology Tigers,2,1,1,100.0,0,0,,0,0,,150.0,1.0,0.0,twoplayer_bhhigh_rollmanpops_efficiency.csv,Brock Bowen,Josiah Turner
,Rochester Institute of Technology Tigers,1,1,1,100.0,0,0,,0,0,,150.0,0.0,0.0,twoplayer_bhhigh_rollmanpops_efficiency.csv,Brock Bowen,Zac Ditzel
,Rochester Institute of Technology Tigers,2,0,0,,1,0,0.0,0,0,,0.0,1.0,0.0,twoplayer_iso_cut_efficiency.csv,Brock Bowen,Zac Ditzel
,Rochester Institute of Technology Tigers,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,twoplayer_iso_cut_efficiency.csv,Brock Bowen,Kenny Wilburn
,Rochester Institute of Technology Tigers,1,1,0,0.0,0,0,,0,0,,0.0,0.0,0.0,twoplayer_iso_spotupjumpers_efficiency.csv,Brock Bowen,Matt Caggiano
,Rochester Institute of Technology Tigers,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,twoplayer_pnr_cut_efficiency.csv,Brock Bowen,Kenny Wilburn
,Rochester Institute of Technology Tigers,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,twoplayer_pnr_cut_efficiency.csv,Brock Bowen,Josiah Turner
,Rochester Institute of Technology Tigers,1,0,0,,1,0,0.0,0,0,,0.0,0.0,0.0,twoplayer_pnr_cut_efficiency.csv,Brock Bowen,Keegan Ocorr
,Rochester Institute of Technology Tigers,2,0,0,,1,0,0.0,0,0,,0.0,0.0,1.0,twoplayer_pnr_spotupdrives_efficiency.csv,Brock Bowen,Chase Dickens
,Rochester Institute of Technology Tigers,2,0,0,,1,1,100.0,0,0,,100.0,1.0,0.0,twoplayer_pnr_spotupdrives_efficiency.csv,Brock Bowen,Matt Caggiano
,Rochester Institute of Technology Tigers,2,0,0,,2,0,0.0,1,0,0.0,0.0,0.0,0.0,twoplayer_pnr_spotupdrives_efficiency.csv,Brock Bowen,Zac Ditzel
,Rochester Institute of Technology Tigers,1,0,0,,1,0,0.0,0,0,,0.0,0.0,0.0,twoplayer_pnr_spotupdrives_efficiency.csv,Brock Bowen,Josiah Turner
,Rochester Institute of Technology Tigers,1,0,0,,1,0,0.0,0,0,,0.0,0.0,0.0,twoplayer_pnr_spotupdrives_efficiency.csv,Brock Bowen,Brandon Weiss
,Rochester Institute of Technology Tigers,1,0,0,,1,0,0.0,0,0,,0.0,0.0,0.0,twoplayer_pnr_spotupdrives_efficiency.csv,Brock Bowen,Keegan Ocorr
,Rochester Institute of Technology Tigers,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,twoplayer_pnr_spotupdrives_efficiency.csv,Brock Bowen,Jackson Otis
,Rochester Institute of Technology Tigers,2,0,0,,1,0,0.0,0,0,,0.0,0.0,1.0,twoplayer_pnr_spotupsdrives_efficiency.csv,Brock Bowen,Chase Dickens
,Rochester Institute of Technology Tigers,2,0,0,,1,1,100.0,0,0,,100.0,1.0,0.0,twoplayer_pnr_spotupsdrives_efficiency.csv,Brock Bowen,Matt Caggiano
,Rochester Institute of Technology Tigers,2,0,0,,2,0,0.0,1,0,0.0,0.0,0.0,0.0,twoplayer_pnr_spotupsdrives_efficiency.csv,Brock Bowen,Zac Ditzel
,Rochester Institute of Technology Tigers,1,0,0,,1,0,0.0,0,0,,0.0,0.0,0.0,twoplayer_pnr_spotupsdrives_efficiency.csv,Brock Bowen,Josiah Turner
,Rochester Institute of Technology Tigers,1,0,0,,1,0,0.0,0,0,,0.0,0.0,0.0,twoplayer_pnr_spotupsdrives_efficiency.csv,Brock Bowen,Brandon Weiss
