Player,Team,TotalPlays,Total3ptShots,Total3ptMakes,3pt%,Total2ptShots,Total2ptMakes,2pt%,TotalMidRangeShots,TotalMidRangeMakes,MidRange%,EFG%,Turnover,Foul,SourceFile,PrimaryPlayer,SecondaryPlayer
Zac Ditzel,Rochester Institute of Technology Tigers,8,0,0,,5,3,60.0,0,0,,60.0,1.0,2.0,player_cut_basket_efficiency.csv,,
Zac Ditzel,Rochester Institute of Technology Tigers,15,0,0,,12,6,50.0,0,0,,50.0,1.0,2.0,player_cut_efficiency.csv,,
Zac Ditzel,Rochester Institute of Technology Tigers,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,player_cut_flash_efficiency.csv,,
Zac Ditzel,Rochester Institute of Technology Tigers,6,0,0,,6,2,33.3333,0,0,,33.33333,0.0,0.0,player_cut_screen_efficiency.csv,,
Zac Ditzel,Rochester Institute of Technology Tigers,1,1,0,0.0,0,0,,0,0,,0.0,0.0,0.0,player_handoffs_bhleft_dribble_efficiency.csv,,
Zac Ditzel,Rochester Institute of Technology Tigers,1,1,0,0.0,0,0,,0,0,,0.0,0.0,0.0,player_handoffs_bhleft_efficiency.csv,,
Zac Ditzel,Rochester Institute of Technology Tigers,1,1,0,0.0,0,0,,0,0,,0.0,0.0,0.0,player_handoffs_dribble_efficiency.csv,,
Zac Ditzel,Rochester Institute of Technology Tigers,1,1,0,0.0,0,0,,0,0,,0.0,0.0,0.0,player_handoffs_efficiency.csv,,
Zac Ditzel,Rochester Institute of Technology Tigers,2,0,0,,0,0,,0,0,,,2.0,0.0,player_misc_efficiency.csv,,
Zac Ditzel,Rochester Institute of Technology Tigers,3,0,0,,3,1,33.3333,3,1,33.3333,33.33333,0.0,0.0,player_offscreens_efficiency.csv,,
Zac Ditzel,Rochester Institute of Technology Tigers,1,0,0,,1,1,100.0,1,1,100.0,100.0,0.0,0.0,player_offscreens_leftshoulder_efficiency.csv,,
Zac Ditzel,Rochester Institute of Technology Tigers,1,0,0,,1,1,100.0,1,1,100.0,100.0,0.0,0.0,player_offscreens_leftshoulder_straight_efficiency.csv,,
Zac Ditzel,Rochester Institute of Technology Tigers,2,0,0,,2,0,0.0,2,0,0.0,0.0,0.0,0.0,player_offscreens_rightshoulder_efficiency.csv,,
Zac Ditzel,Rochester Institute of Technology Tigers,2,0,0,,2,0,0.0,2,0,0.0,0.0,0.0,0.0,player_offscreens_rightshoulder_straight_efficiency.csv,,
Zac Ditzel,Rochester Institute of Technology Tigers,3,0,0,,3,1,33.3333,3,1,33.3333,33.33333,0.0,0.0,player_offscreens_straight_efficiency.csv,,
Zac Ditzel,Rochester Institute of Technology Tigers,1,1,0,0.0,0,0,,0,0,,0.0,0.0,0.0,player_pnr_bhright_efficiency.csv,,
Zac Ditzel,Rochester Institute of Technology Tigers,1,1,0,0.0,0,0,,0,0,,0.0,0.0,0.0,player_pnr_bhright_offpick_efficiency.csv,,
Zac Ditzel,Rochester Institute of Technology Tigers,1,1,0,0.0,0,0,,0,0,,0.0,0.0,0.0,player_pnr_efficiency.csv,,
Zac Ditzel,Rochester Institute of Technology Tigers,1,1,0,0.0,0,0,,0,0,,0.0,0.0,0.0,player_pnr_offpick_efficiency.csv,,
Zac Ditzel,Rochester Institute of Technology Tigers,1,0,0,,1,0,0.0,0,0,,0.0,0.0,0.0,player_post_efficiency.csv,,
Zac Ditzel,Rochester Institute of Technology Tigers,1,0,0,,1,0,0.0,0,0,,0.0,0.0,0.0,player_post_leftblock_efficiency.csv,,
