Player,Team,TotalPlays,Total3ptShots,Total3ptMakes,3pt%,Total2ptShots,Total2ptMakes,2pt%,TotalMidRangeShots,TotalMidRangeMakes,MidRange%,EFG%,Turnover,Foul,SourceFile,PrimaryPlayer,SecondaryPlayer
Hakeem Daphnis,Skidmore Thoroughbreds,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,player_cut_basket_efficiency.csv,,
Hakeem Daphnis,Skidmore Thoroughbreds,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,player_cut_efficiency.csv,,
Hakeem Daphnis,Skidmore Thoroughbreds,1,1,0,0.0,0,0,,0,0,,0.0,0.0,0.0,player_handoffs_bhright_dribble_efficiency.csv,,
Hakeem Daphnis,Skidmore Thoroughbreds,1,1,0,0.0,0,0,,0,0,,0.0,0.0,0.0,player_handoffs_bhright_efficiency.csv,,
Hakeem Daphnis,Skidmore Thoroughbreds,2,1,0,0.0,1,0,0.0,1,0,0.0,0.0,0.0,0.0,player_handoffs_dribble_efficiency.csv,,
Hakeem Daphnis,Skidmore Thoroughbreds,2,1,0,0.0,1,0,0.0,1,0,0.0,0.0,0.0,0.0,player_handoffs_efficiency.csv,,
Hakeem Daphnis,Skidmore Thoroughbreds,1,0,0,,1,0,0.0,1,0,0.0,0.0,0.0,0.0,player_handoffs_top_dribble_efficiency.csv,,
Hakeem Daphnis,Skidmore Thoroughbreds,1,0,0,,1,0,0.0,1,0,0.0,0.0,0.0,0.0,player_handoffs_top_efficiency.csv,,
Hakeem Daphnis,Skidmore Thoroughbreds,2,0,0,,0,0,,0,0,,,1.0,1.0,player_misc_efficiency.csv,,
Hakeem Daphnis,Skidmore Thoroughbreds,3,3,1,33.3333,0,0,,0,0,,50.0,0.0,0.0,player_offscreens_efficiency.csv,,
Hakeem Daphnis,Skidmore Thoroughbreds,2,2,1,50.0,0,0,,0,0,,75.0,0.0,0.0,player_offscreens_leftshoulder_efficiency.csv,,
Hakeem Daphnis,Skidmore Thoroughbreds,2,2,1,50.0,0,0,,0,0,,75.0,0.0,0.0,player_offscreens_leftshoulder_straight_efficiency.csv,,
Hakeem Daphnis,Skidmore Thoroughbreds,1,1,0,0.0,0,0,,0,0,,0.0,0.0,0.0,player_offscreens_rightshoulder_efficiency.csv,,
Hakeem Daphnis,Skidmore Thoroughbreds,1,1,0,0.0,0,0,,0,0,,0.0,0.0,0.0,player_offscreens_rightshoulder_straight_efficiency.csv,,
Hakeem Daphnis,Skidmore Thoroughbreds,3,3,1,33.3333,0,0,,0,0,,50.0,0.0,0.0,player_offscreens_straight_efficiency.csv,,
Hakeem Daphnis,Skidmore Thoroughbreds,1,0,0,,1,0,0.0,1,0,0.0,0.0,0.0,0.0,player_pnr_bhhigh_efficiency.csv,,
Hakeem Daphnis,Skidmore Thoroughbreds,1,0,0,,1,0,0.0,1,0,0.0,0.0,0.0,0.0,player_pnr_bhhigh_offpick_efficiency.csv,,
Hakeem Daphnis,Skidmore Thoroughbreds,1,0,0,,1,0,0.0,1,0,0.0,0.0,0.0,0.0,player_pnr_efficiency.csv,,
Hakeem Daphnis,Skidmore Thoroughbreds,1,0,0,,1,0,0.0,1,0,0.0,0.0,0.0,0.0,player_pnr_offpick_efficiency.csv,,
Hakeem Daphnis,Skidmore Thoroughbreds,6,0,0,,5,1,20.0,4,1,25.0,20.0,1.0,0.0,player_spotup_drive_efficiency.csv,,
Hakeem Daphnis,Skidmore Thoroughbreds,8,1,0,0.0,6,2,33.3333,5,2,40.0,28.57143,1.0,0.0,player_spotup_efficiency.csv,,
Hakeem Daphnis,Skidmore Thoroughbreds,2,1,0,0.0,1,1,100.0,1,1,100.0,50.0,0.0,0.0,player_spotup_jumpshot_efficiency.csv,,
Hakeem Daphnis,Skidmore Thoroughbreds,2,0,0,,2,0,0.0,2,0,0.0,0.0,0.0,0.0,player_spotup_leftdrive_efficiency.csv,,
Hakeem Daphnis,Skidmore Thoroughbreds,4,0,0,,3,1,33.3333,2,1,50.0,33.33333,1.0,0.0,player_spotup_rightdrive_efficiency.csv,,
Hakeem Daphnis,Skidmore Thoroughbreds,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,player_transition_bh_efficiency.csv,,
Hakeem Daphnis,Skidmore Thoroughbreds,3,1,1,100.0,1,1,100.0,0,0,,125.0,1.0,0.0,player_transition_rightwing_efficiency.csv,,
Hakeem Daphnis,Skidmore Thoroughbreds,21,6,2,33.3333,11,5,45.4545,7,2,28.5714,47.05882,3.0,1.0,playerefficiency.csv,,
Hakeem Daphnis,Skidmore Thoroughbreds,3,1,0,0.0,2,0,0.0,2,0,0.0,0.0,0.0,0.0,playerefficiencyleft.csv,,
Hakeem Daphnis,Skidmore Thoroughbreds,7,3,1,33.3333,3,1,33.3333,2,1,50.0,41.66667,1.0,0.0,playerefficiencyright.csv,,
,Skidmore Thoroughbreds,1,1,0,0.0,0,0,,0,0,,0.0,0.0,0.0,twoplayer_pnr_spotupsjumpers_efficiency.csv,Hakeem Daphnis,Aidan Roy
,Skidmore Thoroughbreds,1,1,0,0.0,0,0,,0,0,,0.0,0.0,0.0,twoplayer_pnrbhright_spotupjumper_efficiency.csv,Hakeem Daphnis,Aidan Roy
,Skidmore Thoroughbreds,2,0,0,,1,0,0.0,0,0,,0.0,1.0,0.0,twoplayer_pnr_spotupdrives_efficiency.csv,Jake Walsh,Hakeem Daphnis
,Skidmore Thoroughbreds,2,0,0,,1,0,0.0,0,0,,0.0,1.0,0.0,twoplayer_pnr_spotupsdrives_efficiency.csv,Jake Walsh,Hakeem Daphnis
,Skidmore Thoroughbreds,2,0,0,,1,0,0.0,0,0,,0.0,1.0,0.0,twoplayer_pnrbhhigh_spotupdrives_efficiency.csv,Jake Walsh,Hakeem Daphnis
