Player,Team,TotalPlays,Total3ptShots,Total3ptMakes,3pt%,Total2ptShots,Total2ptMakes,2pt%,TotalMidRangeShots,TotalMidRangeMakes,MidRange%,EFG%,Turnover,Foul,SourceFile,PrimaryPlayer,SecondaryPlayer
Joey Skoric,Skidmore Thoroughbreds,4,0,0,,3,1,33.3333,0,0,,33.33333,1.0,0.0,player_cut_basket_efficiency.csv,,
Joey Skoric,Skidmore Thoroughbreds,6,0,0,,5,2,40.0,0,0,,40.0,1.0,0.0,player_cut_efficiency.csv,,
Joey Skoric,Skidmore Thoroughbreds,2,0,0,,2,1,50.0,0,0,,50.0,0.0,0.0,player_cut_screen_efficiency.csv,,
Joey Skoric,Skidmore Thoroughbreds,1,0,0,,0,0,,0,0,,,1.0,0.0,player_misc_efficiency.csv,,
Joey Skoric,Skidmore Thoroughbreds,2,0,0,,1,0,0.0,1,0,0.0,0.0,0.0,1.0,player_spotup_drive_efficiency.csv,,
Joey Skoric,Skidmore Thoroughbreds,5,3,0,0.0,1,0,0.0,1,0,0.0,0.0,0.0,1.0,player_spotup_efficiency.csv,,
Joey Skoric,Skidmore Thoroughbreds,3,3,0,0.0,0,0,,0,0,,0.0,0.0,0.0,player_spotup_jumpshot_efficiency.csv,,
Joey Skoric,Skidmore Thoroughbreds,1,0,0,,0,0,,0,0,,,0.0,1.0,player_spotup_leftdrive_efficiency.csv,,
Joey Skoric,Skidmore Thoroughbreds,1,0,0,,1,0,0.0,1,0,0.0,0.0,0.0,0.0,player_spotup_rightdrive_efficiency.csv,,
Joey Skoric,Skidmore Thoroughbreds,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,player_transition_bh_efficiency.csv,,
Joey Skoric,Skidmore Thoroughbreds,2,0,0,,2,1,50.0,0,0,,50.0,,,player_transition_leakouts_efficiency.csv,,
Joey Skoric,Skidmore Thoroughbreds,2,1,0,0.0,1,1,100.0,0,0,,50.0,0.0,0.0,player_transition_leftwing_efficiency.csv,,
Joey Skoric,Skidmore Thoroughbreds,1,0,0,,1,0,0.0,0,0,,0.0,0.0,0.0,player_transition_rightwing_efficiency.csv,,
Joey Skoric,Skidmore Thoroughbreds,1,1,0,0.0,0,0,,0,0,,0.0,0.0,0.0,player_transition_trailer_efficiency.csv,,
Joey Skoric,Skidmore Thoroughbreds,26,5,0,0.0,15,7,46.6667,1,0,0.0,35.0,2.0,4.0,playerefficiency.csv,,
Joey Skoric,Skidmore Thoroughbreds,1,0,0,,0,0,,0,0,,,0.0,1.0,playerefficiencyleft.csv,,
Joey Skoric,Skidmore Thoroughbreds,1,0,0,,1,0,0.0,1,0,0.0,0.0,0.0,0.0,playerefficiencyright.csv,,
,Skidmore Thoroughbreds,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,player_rollman_efficiency.csv,Nick Padilla,Joey Skoric
,Skidmore Thoroughbreds,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,player_rollman_roll_efficiency.csv,Nick Padilla,Joey Skoric
,Skidmore Thoroughbreds,1,0,0,,1,0,0.0,0,0,,0.0,0.0,0.0,twoplayer_pnr_cut_efficiency.csv,Nick Padilla,Joey Skoric
,Skidmore Thoroughbreds,1,0,0,,0,0,,0,0,,,0.0,1.0,twoplayer_pnr_spotupdrives_efficiency.csv,Aidan Roy,Joey Skoric
,Skidmore Thoroughbreds,1,0,0,,0,0,,0,0,,,0.0,1.0,twoplayer_pnr_spotupsdrives_efficiency.csv,Aidan Roy,Joey Skoric
,Skidmore Thoroughbreds,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,twoplayer_pnrbhhigh_rollman_efficiency.csv,Nick Padilla,Joey Skoric
,Skidmore Thoroughbreds,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,twoplayer_pnrbhhigh_rollmanrolls_efficiency.csv,Nick Padilla,Joey Skoric
,Skidmore Thoroughbreds,1,0,0,,0,0,,0,0,,,0.0,1.0,twoplayer_pnrbhhigh_spotupdrives_efficiency.csv,Aidan Roy,Joey Skoric
,Skidmore Thoroughbreds,1,0,0,,1,0,0.0,0,0,,0.0,0.0,0.0,twoplayer_pnrbhright_cuts_efficiency.csv,Nick Padilla,Joey Skoric
,Skidmore Thoroughbreds,1,1,0,0.0,0,0,,0,0,,0.0,0.0,0.0,twoplayer_post_spotupjumper_efficiency.csv,Nick Padilla,Joey Skoric
