Player,Team,TotalPlays,Total3ptShots,Total3ptMakes,3pt%,Total2ptShots,Total2ptMakes,2pt%,TotalMidRangeShots,TotalMidRangeMakes,MidRange%,EFG%,Turnover,Foul,SourceFile,PrimaryPlayer,SecondaryPlayer
Nick Padilla,Skidmore Thoroughbreds,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,player_handoffs_bhright_efficiency.csv,,
Nick Padilla,Skidmore Thoroughbreds,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,player_handoffs_bhright_stationary_efficiency.csv,,
Nick Padilla,Skidmore Thoroughbreds,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,player_handoffs_dribble_efficiency.csv,,
Nick Padilla,Skidmore Thoroughbreds,2,0,0,,2,2,100.0,0,0,,100.0,0.0,0.0,player_handoffs_efficiency.csv,,
Nick Padilla,Skidmore Thoroughbreds,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,player_handoffs_stationary_efficiency.csv,,
Nick Padilla,Skidmore Thoroughbreds,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,player_handoffs_top_dribble_efficiency.csv,,
Nick Padilla,Skidmore Thoroughbreds,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,player_handoffs_top_efficiency.csv,,
Nick Padilla,Skidmore Thoroughbreds,1,1,0,0.0,0,0,,0,0,,0.0,0.0,0.0,player_iso_efficiency.csv,,
Nick Padilla,Skidmore Thoroughbreds,1,1,0,0.0,0,0,,0,0,,0.0,0.0,0.0,player_iso_left_efficiency.csv,,
Nick Padilla,Skidmore Thoroughbreds,3,0,0,,1,1,100.0,0,0,,100.0,0.0,2.0,player_misc_efficiency.csv,,
Nick Padilla,Skidmore Thoroughbreds,1,1,1,100.0,0,0,,0,0,,150.0,0.0,0.0,player_offscreens_efficiency.csv,,
Nick Padilla,Skidmore Thoroughbreds,1,1,1,100.0,0,0,,0,0,,150.0,0.0,0.0,player_offscreens_leftshoulder_efficiency.csv,,
Nick Padilla,Skidmore Thoroughbreds,1,1,1,100.0,0,0,,0,0,,150.0,0.0,0.0,player_offscreens_leftshoulder_straight_efficiency.csv,,
Nick Padilla,Skidmore Thoroughbreds,1,1,1,100.0,0,0,,0,0,,150.0,0.0,0.0,player_offscreens_straight_efficiency.csv,,
Nick Padilla,Skidmore Thoroughbreds,5,0,0,,2,1,50.0,0,0,,50.0,3.0,0.0,player_pnr_bhhigh_efficiency.csv,,
Nick Padilla,Skidmore Thoroughbreds,5,0,0,,2,1,50.0,0,0,,50.0,3.0,0.0,player_pnr_bhhigh_offpick_efficiency.csv,,
Nick Padilla,Skidmore Thoroughbreds,1,0,0,,1,1,100.0,1,1,100.0,100.0,0.0,0.0,player_pnr_bhleft_efficiency.csv,,
Nick Padilla,Skidmore Thoroughbreds,1,0,0,,1,1,100.0,1,1,100.0,100.0,0.0,0.0,player_pnr_bhleft_offpick_efficiency.csv,,
Nick Padilla,Skidmore Thoroughbreds,2,1,0,0.0,1,0,0.0,1,0,0.0,0.0,0.0,0.0,player_pnr_bhright_efficiency.csv,,
Nick Padilla,Skidmore Thoroughbreds,2,1,0,0.0,1,0,0.0,1,0,0.0,0.0,0.0,0.0,player_pnr_bhright_offpick_efficiency.csv,,
Nick Padilla,Skidmore Thoroughbreds,8,1,0,0.0,4,2,50.0,2,1,50.0,40.0,3.0,0.0,player_pnr_efficiency.csv,,
Nick Padilla,Skidmore Thoroughbreds,8,1,0,0.0,4,2,50.0,2,1,50.0,40.0,3.0,0.0,player_pnr_offpick_efficiency.csv,,
Nick Padilla,Skidmore Thoroughbreds,1,0,0,,1,0,0.0,1,0,0.0,0.0,0.0,0.0,player_spotup_drive_efficiency.csv,,
Nick Padilla,Skidmore Thoroughbreds,1,0,0,,1,0,0.0,1,0,0.0,0.0,0.0,0.0,player_spotup_efficiency.csv,,
Nick Padilla,Skidmore Thoroughbreds,1,0,0,,1,0,0.0,1,0,0.0,0.0,0.0,0.0,player_spotup_rightdrive_efficiency.csv,,
Nick Padilla,Skidmore Thoroughbreds,6,0,0,,4,2,50.0,2,0,0.0,50.0,0.0,2.0,player_transition_bh_efficiency.csv,,
Nick Padilla,Skidmore Thoroughbreds,22,3,1,33.3333,12,7,58.3333,5,1,20.0,56.66667,3.0,4.0,playerefficiency.csv,,
Nick Padilla,Skidmore Thoroughbreds,2,1,0,0.0,1,1,100.0,1,1,100.0,50.0,0.0,0.0,playerefficiencyleft.csv,,
Nick Padilla,Skidmore Thoroughbreds,5,2,1,50.0,3,1,33.3333,2,0,0.0,50.0,0.0,0.0,playerefficiencyright.csv,,
,Skidmore Thoroughbreds,3,0,0,,3,1,33.3333,0,0,,33.33333,0.0,0.0,player_rollman_efficiency.csv,Nick Padilla,Jack LaGarde
,Skidmore Thoroughbreds,1,1,0,0.0,0,0,,0,0,,0.0,0.0,0.0,player_rollman_efficiency.csv,Nick Padilla,Ian Bentley
,Skidmore Thoroughbreds,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,player_rollman_efficiency.csv,Nick Padilla,Joey Skoric
,Skidmore Thoroughbreds,1,1,0,0.0,0,0,,0,0,,0.0,0.0,0.0,player_rollman_pop_efficiency.csv,Nick Padilla,Ian Bentley
,Skidmore Thoroughbreds,3,0,0,,3,1,33.3333,0,0,,33.33333,0.0,0.0,player_rollman_roll_efficiency.csv,Nick Padilla,Jack LaGarde
,Skidmore Thoroughbreds,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,player_rollman_roll_efficiency.csv,Nick Padilla,Joey Skoric
,Skidmore Thoroughbreds,1,1,0,0.0,0,0,,0,0,,0.0,0.0,0.0,twoplayer_bhhigh_rollmanpops_efficiency.csv,Nick Padilla,Ian Bentley
,Skidmore Thoroughbreds,1,0,0,,0,0,,0,0,,,1.0,0.0,twoplayer_pnr_cut_efficiency.csv,Nick Padilla,Ian Bentley
,Skidmore Thoroughbreds,1,0,0,,1,0,0.0,0,0,,0.0,0.0,0.0,twoplayer_pnr_cut_efficiency.csv,Nick Padilla,Joey Skoric
,Skidmore Thoroughbreds,1,0,0,,1,0,0.0,1,0,0.0,0.0,0.0,0.0,twoplayer_pnr_spotupdrives_efficiency.csv,Nick Padilla,Prince Shyllon
,Skidmore Thoroughbreds,1,0,0,,1,0,0.0,1,0,0.0,0.0,0.0,0.0,twoplayer_pnr_spotupsdrives_efficiency.csv,Nick Padilla,Prince Shyllon
,Skidmore Thoroughbreds,2,2,0,0.0,0,0,,0,0,,0.0,0.0,0.0,twoplayer_pnr_spotupsjumpers_efficiency.csv,Nick Padilla,Ian Bentley
,Skidmore Thoroughbreds,1,1,0,0.0,0,0,,0,0,,0.0,0.0,0.0,twoplayer_pnr_spotupsjumpers_efficiency.csv,Nick Padilla,Aidan Roy
,Skidmore Thoroughbreds,2,0,0,,2,0,0.0,0,0,,0.0,0.0,0.0,twoplayer_pnrbhhigh_rollman_efficiency.csv,Nick Padilla,Jack LaGarde
,Skidmore Thoroughbreds,1,1,0,0.0,0,0,,0,0,,0.0,0.0,0.0,twoplayer_pnrbhhigh_rollman_efficiency.csv,Nick Padilla,Ian Bentley
