Player,Team,TotalPlays,Total3ptShots,Total3ptMakes,3pt%,Total2ptShots,Total2ptMakes,2pt%,TotalMidRangeShots,TotalMidRangeMakes,MidRange%,EFG%,Turnover,Foul,SourceFile,PrimaryPlayer,SecondaryPlayer
Gavin Macaulay,St. Lawrence Saints,2,0,0,,2,0,0.0,0,0,,0.0,0.0,0.0,player_cut_basket_efficiency.csv,,
Gavin Macaulay,St. Lawrence Saints,2,0,0,,2,0,0.0,0,0,,0.0,0.0,0.0,player_cut_efficiency.csv,,
Gavin Macaulay,St. Lawrence Saints,1,0,0,,1,1,100.0,1,1,100.0,100.0,0.0,0.0,player_handoffs_bhleft_dribble_efficiency.csv,,
Gavin Macaulay,St. Lawrence Saints,1,0,0,,1,1,100.0,1,1,100.0,100.0,0.0,0.0,player_handoffs_bhleft_efficiency.csv,,
Gavin Macaulay,St. Lawrence Saints,1,0,0,,1,1,100.0,1,1,100.0,100.0,0.0,0.0,player_handoffs_dribble_efficiency.csv,,
Gavin Macaulay,St. Lawrence Saints,1,0,0,,1,1,100.0,1,1,100.0,100.0,0.0,0.0,player_handoffs_efficiency.csv,,
Gavin Macaulay,St. Lawrence Saints,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,player_misc_efficiency.csv,,
Gavin Macaulay,St. Lawrence Saints,2,0,0,,0,0,,0,0,,,1.0,1.0,player_pnr_bhright_efficiency.csv,,
Gavin Macaulay,St. Lawrence Saints,2,0,0,,0,0,,0,0,,,1.0,1.0,player_pnr_bhright_offpick_efficiency.csv,,
Gavin Macaulay,St. Lawrence Saints,2,0,0,,0,0,,0,0,,,1.0,1.0,player_pnr_efficiency.csv,,
Gavin Macaulay,St. Lawrence Saints,2,0,0,,0,0,,0,0,,,1.0,1.0,player_pnr_offpick_efficiency.csv,,
Gavin Macaulay,St. Lawrence Saints,2,0,0,,2,2,100.0,1,1,100.0,100.0,0.0,0.0,player_spotup_drive_efficiency.csv,,
Gavin Macaulay,St. Lawrence Saints,6,4,1,25.0,2,2,100.0,1,1,100.0,58.33333,0.0,0.0,player_spotup_efficiency.csv,,
Gavin Macaulay,St. Lawrence Saints,4,4,1,25.0,0,0,,0,0,,37.5,0.0,0.0,player_spotup_jumpshot_efficiency.csv,,
Gavin Macaulay,St. Lawrence Saints,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,player_spotup_leftdrive_efficiency.csv,,
Gavin Macaulay,St. Lawrence Saints,1,0,0,,1,1,100.0,1,1,100.0,100.0,0.0,0.0,player_spotup_straightdrive_efficiency.csv,,
Gavin Macaulay,St. Lawrence Saints,3,0,0,,2,2,100.0,0,0,,100.0,1.0,0.0,player_transition_bh_efficiency.csv,,
Gavin Macaulay,St. Lawrence Saints,2,0,0,,1,0,0.0,0,0,,0.0,,,player_transition_leakouts_efficiency.csv,,
Gavin Macaulay,St. Lawrence Saints,1,0,0,,1,0,0.0,0,0,,0.0,0.0,0.0,player_transition_trailer_efficiency.csv,,
Gavin Macaulay,St. Lawrence Saints,22,4,1,25.0,13,8,61.5385,2,2,100.0,55.88235,3.0,2.0,playerefficiency.csv,,
Gavin Macaulay,St. Lawrence Saints,2,0,0,,2,2,100.0,1,1,100.0,100.0,0.0,0.0,playerefficiencyleft.csv,,
Gavin Macaulay,St. Lawrence Saints,2,0,0,,0,0,,0,0,,,1.0,1.0,playerefficiencyright.csv,,
,St. Lawrence Saints,1,1,1,100.0,0,0,,0,0,,150.0,0.0,0.0,player_rollman_efficiency.csv,Gavin Macaulay,Adam Dudzinski
,St. Lawrence Saints,1,1,1,100.0,0,0,,0,0,,150.0,0.0,0.0,player_rollman_pop_efficiency.csv,Gavin Macaulay,Adam Dudzinski
,St. Lawrence Saints,1,1,1,100.0,0,0,,0,0,,150.0,0.0,0.0,twoplayer_bhhigh_rollmanpops_efficiency.csv,Gavin Macaulay,Adam Dudzinski
,St. Lawrence Saints,1,1,1,100.0,0,0,,0,0,,150.0,0.0,0.0,twoplayer_pnrbhhigh_rollman_efficiency.csv,Gavin Macaulay,Adam Dudzinski
,St. Lawrence Saints,1,1,1,100.0,0,0,,0,0,,150.0,0.0,0.0,twoplayer_pnrbhhigh_rollmanpops_efficiency.csv,Gavin Macaulay,Adam Dudzinski
,St. Lawrence Saints,1,0,0,,1,1,100.0,1,1,100.0,100.0,0.0,0.0,twoplayer_pnr_spotupdrives_efficiency.csv,Troy McPherson,Gavin Macaulay
,St. Lawrence Saints,1,0,0,,1,1,100.0,1,1,100.0,100.0,0.0,0.0,twoplayer_pnr_spotupsdrives_efficiency.csv,Troy McPherson,Gavin Macaulay
,St. Lawrence Saints,2,2,1,50.0,0,0,,0,0,,75.0,0.0,0.0,twoplayer_pnr_spotupsjumpers_efficiency.csv,Trey Syroka,Gavin Macaulay
,St. Lawrence Saints,1,0,0,,1,1,100.0,1,1,100.0,100.0,0.0,0.0,twoplayer_pnrbhhigh_spotupdrives_efficiency.csv,Troy McPherson,Gavin Macaulay
,St. Lawrence Saints,1,1,1,100.0,0,0,,0,0,,150.0,0.0,0.0,twoplayer_pnrbhhigh_spotupjumper_efficiency.csv,Trey Syroka,Gavin Macaulay
,St. Lawrence Saints,1,1,0,0.0,0,0,,0,0,,0.0,0.0,0.0,twoplayer_pnrbhright_spotupjumper_efficiency.csv,Trey Syroka,Gavin Macaulay
