Player,Team,TotalPlays,Total3ptShots,Total3ptMakes,3pt%,Total2ptShots,Total2ptMakes,2pt%,TotalMidRangeShots,TotalMidRangeMakes,MidRange%,EFG%,Turnover,Foul,SourceFile,PrimaryPlayer,SecondaryPlayer
Nathan Denham,Vassar Brewers,7,0,0,,5,4,80.0,0,0,,80.0,0.0,2.0,player_cut_basket_efficiency.csv,,
Nathan Denham,Vassar Brewers,8,0,0,,6,4,66.6667,0,0,,66.66667,0.0,2.0,player_cut_efficiency.csv,,
Nathan Denham,Vassar Brewers,1,0,0,,1,0,0.0,0,0,,0.0,0.0,0.0,player_cut_screen_efficiency.csv,,
Nathan Denham,Vassar Brewers,2,0,0,,0,0,,0,0,,,1.0,1.0,player_misc_efficiency.csv,,
Nathan Denham,Vassar Brewers,2,0,0,,1,0,0.0,1,0,0.0,0.0,1.0,0.0,player_spotup_drive_efficiency.csv,,
Nathan Denham,Vassar Brewers,5,3,1,33.3333,1,0,0.0,1,0,0.0,37.5,1.0,0.0,player_spotup_efficiency.csv,,
Nathan Denham,Vassar Brewers,3,3,1,33.3333,0,0,,0,0,,50.0,0.0,0.0,player_spotup_jumpshot_efficiency.csv,,
Nathan Denham,Vassar Brewers,2,0,0,,1,0,0.0,1,0,0.0,0.0,1.0,0.0,player_spotup_leftdrive_efficiency.csv,,
Nathan Denham,Vassar Brewers,4,0,0,,4,3,75.0,0,0,,75.0,0.0,0.0,player_transition_bh_efficiency.csv,,
Nathan Denham,Vassar Brewers,1,1,1,100.0,0,0,,0,0,,150.0,0.0,0.0,player_transition_trailer_efficiency.csv,,
Nathan Denham,Vassar Brewers,31,4,2,50.0,20,12,60.0,1,0,0.0,62.5,4.0,3.0,playerefficiency.csv,,
Nathan Denham,Vassar Brewers,2,0,0,,1,0,0.0,1,0,0.0,0.0,1.0,0.0,playerefficiencyleft.csv,,
,Vassar Brewers,2,0,0,,2,2,100.0,0,0,,100.0,0.0,0.0,player_rollman_efficiency.csv,JP Miranda,Nathan Denham
,Vassar Brewers,1,0,0,,1,0,0.0,0,0,,0.0,0.0,0.0,player_rollman_efficiency.csv,Shea Fitzgerald,Nathan Denham
,Vassar Brewers,1,0,0,,1,0,0.0,0,0,,0.0,0.0,0.0,player_rollman_efficiency.csv,Luke Adams,Nathan Denham
,Vassar Brewers,2,0,0,,2,2,100.0,0,0,,100.0,0.0,0.0,player_rollman_roll_efficiency.csv,JP Miranda,Nathan Denham
,Vassar Brewers,1,0,0,,1,0,0.0,0,0,,0.0,0.0,0.0,player_rollman_roll_efficiency.csv,Shea Fitzgerald,Nathan Denham
,Vassar Brewers,1,0,0,,1,0,0.0,0,0,,0.0,0.0,0.0,player_rollman_slip_efficiency.csv,Luke Adams,Nathan Denham
,Vassar Brewers,1,0,0,,1,0,0.0,1,0,0.0,0.0,0.0,0.0,twoplayer_pnr_spotupdrives_efficiency.csv,JP Miranda,Nathan Denham
,Vassar Brewers,1,0,0,,0,0,,0,0,,,1.0,0.0,twoplayer_pnr_spotupdrives_efficiency.csv,Kreekor Karageuzian,Nathan Denham
,Vassar Brewers,1,0,0,,1,0,0.0,1,0,0.0,0.0,0.0,0.0,twoplayer_pnr_spotupsdrives_efficiency.csv,JP Miranda,Nathan Denham
,Vassar Brewers,1,0,0,,0,0,,0,0,,,1.0,0.0,twoplayer_pnr_spotupsdrives_efficiency.csv,Kreekor Karageuzian,Nathan Denham
,Vassar Brewers,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,twoplayer_pnrbhhigh_rollman_efficiency.csv,JP Miranda,Nathan Denham
,Vassar Brewers,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,twoplayer_pnrbhhigh_rollmanrolls_efficiency.csv,JP Miranda,Nathan Denham
,Vassar Brewers,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,twoplayer_pnrbhleft_rollman_efficiency.csv,JP Miranda,Nathan Denham
,Vassar Brewers,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,twoplayer_pnrbhleft_rollmanrolls_efficiency.csv,JP Miranda,Nathan Denham
,Vassar Brewers,1,0,0,,0,0,,0,0,,,1.0,0.0,twoplayer_pnrbhleft_spotupdrives_efficiency.csv,Kreekor Karageuzian,Nathan Denham
,Vassar Brewers,1,0,0,,1,0,0.0,0,0,,0.0,0.0,0.0,twoplayer_pnrbhright_rollman_efficiency.csv,Shea Fitzgerald,Nathan Denham
,Vassar Brewers,1,0,0,,1,0,0.0,0,0,,0.0,0.0,0.0,twoplayer_pnrbhright_rollman_efficiency.csv,Luke Adams,Nathan Denham
,Vassar Brewers,1,0,0,,1,0,0.0,0,0,,0.0,0.0,0.0,twoplayer_pnrbhright_rollmanrolls_efficiency.csv,Shea Fitzgerald,Nathan Denham
,Vassar Brewers,1,0,0,,1,0,0.0,0,0,,0.0,0.0,0.0,twoplayer_pnrbhright_rollmanslips_efficiency.csv,Luke Adams,Nathan Denham
,Vassar Brewers,1,0,0,,1,0,0.0,1,0,0.0,0.0,0.0,0.0,twoplayer_pnrbhright_spotupdrives_efficiency.csv,JP Miranda,Nathan Denham
