Player,Team,TotalPlays,Total3ptShots,Total3ptMakes,3pt%,Total2ptShots,Total2ptMakes,2pt%,TotalMidRangeShots,TotalMidRangeMakes,MidRange%,EFG%,Turnover,Foul,SourceFile,PrimaryPlayer,SecondaryPlayer
Shea Fitzgerald,Vassar Brewers,3,0,0,,3,2,66.6667,0,0,,66.66667,0.0,0.0,player_cut_basket_efficiency.csv,,
Shea Fitzgerald,Vassar Brewers,3,0,0,,3,2,66.6667,0,0,,66.66667,0.0,0.0,player_cut_efficiency.csv,,
Shea Fitzgerald,Vassar Brewers,2,1,1,100.0,0,0,,0,0,,150.0,1.0,0.0,player_handoffs_dribble_efficiency.csv,,
Shea Fitzgerald,Vassar Brewers,3,1,1,100.0,1,1,100.0,0,0,,125.0,1.0,0.0,player_handoffs_efficiency.csv,,
Shea Fitzgerald,Vassar Brewers,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,player_handoffs_stationary_efficiency.csv,,
Shea Fitzgerald,Vassar Brewers,2,1,1,100.0,0,0,,0,0,,150.0,1.0,0.0,player_handoffs_top_dribble_efficiency.csv,,
Shea Fitzgerald,Vassar Brewers,3,1,1,100.0,1,1,100.0,0,0,,125.0,1.0,0.0,player_handoffs_top_efficiency.csv,,
Shea Fitzgerald,Vassar Brewers,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,player_handoffs_top_stationary_efficiency.csv,,
Shea Fitzgerald,Vassar Brewers,2,0,0,,2,0,0.0,1,0,0.0,0.0,0.0,0.0,player_iso_efficiency.csv,,
Shea Fitzgerald,Vassar Brewers,1,0,0,,1,0,0.0,0,0,,0.0,0.0,0.0,player_iso_right_efficiency.csv,,
Shea Fitzgerald,Vassar Brewers,1,0,0,,1,0,0.0,1,0,0.0,0.0,0.0,0.0,player_iso_top_efficiency.csv,,
Shea Fitzgerald,Vassar Brewers,4,0,0,,0,0,,0,0,,,2.0,2.0,player_misc_efficiency.csv,,
Shea Fitzgerald,Vassar Brewers,2,1,0,0.0,0,0,,0,0,,0.0,0.0,1.0,player_offscreens_efficiency.csv,,
Shea Fitzgerald,Vassar Brewers,1,0,0,,0,0,,0,0,,,0.0,1.0,player_offscreens_leftshoulder_efficiency.csv,,
Shea Fitzgerald,Vassar Brewers,1,0,0,,0,0,,0,0,,,0.0,1.0,player_offscreens_leftshoulder_straight_efficiency.csv,,
Shea Fitzgerald,Vassar Brewers,1,1,0,0.0,0,0,,0,0,,0.0,0.0,0.0,player_offscreens_rightshoulder_efficiency.csv,,
Shea Fitzgerald,Vassar Brewers,1,1,0,0.0,0,0,,0,0,,0.0,0.0,0.0,player_offscreens_rightshoulder_straight_efficiency.csv,,
