Player,Team,TotalPlays,Total3ptShots,Total3ptMakes,3pt%,Total2ptShots,Total2ptMakes,2pt%,TotalMidRangeShots,TotalMidRangeMakes,MidRange%,EFG%,Turnover,Foul,SourceFile,PrimaryPlayer,SecondaryPlayer
Billy Mccrae,Wells,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,player_cut_basket_efficiency.csv,,
Billy Mccrae,Wells,6,0,0,,5,2,40.0,0,0,,40.0,0.0,1.0,player_cut_efficiency.csv,,
Billy Mccrae,Wells,5,0,0,,4,1,25.0,0,0,,25.0,0.0,1.0,player_cut_screen_efficiency.csv,,
Billy Mccrae,Wells,1,0,0,,0,0,,0,0,,,0.0,1.0,player_iso_efficiency.csv,,
Billy Mccrae,Wells,1,0,0,,0,0,,0,0,,,0.0,1.0,player_iso_right_efficiency.csv,,
Billy Mccrae,Wells,2,0,0,,2,0,0.0,1,0,0.0,0.0,0.0,0.0,player_misc_efficiency.csv,,
Billy Mccrae,Wells,3,0,0,,3,3,100.0,0,0,,100.0,0.0,0.0,player_post_efficiency.csv,,
Billy Mccrae,Wells,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,player_post_faceup_efficiency.csv,,
Billy Mccrae,Wells,3,0,0,,3,3,100.0,0,0,,100.0,0.0,0.0,player_post_leftblock_efficiency.csv,,
Billy Mccrae,Wells,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,player_post_leftblock_faceup_efficiency.csv,,
Billy Mccrae,Wells,2,0,0,,2,2,100.0,0,0,,100.0,0.0,0.0,player_post_leftblock_leftshoulder_efficiency.csv,,
Billy Mccrae,Wells,2,0,0,,2,2,100.0,0,0,,100.0,0.0,0.0,player_post_leftshoulder_efficiency.csv,,
Billy Mccrae,Wells,1,0,0,,1,0,0.0,0,0,,0.0,0.0,0.0,player_spotup_drive_efficiency.csv,,
Billy Mccrae,Wells,2,1,0,0.0,1,0,0.0,0,0,,0.0,0.0,0.0,player_spotup_efficiency.csv,,
Billy Mccrae,Wells,1,1,0,0.0,0,0,,0,0,,0.0,0.0,0.0,player_spotup_jumpshot_efficiency.csv,,
Billy Mccrae,Wells,1,0,0,,1,0,0.0,0,0,,0.0,0.0,0.0,player_spotup_leftdrive_efficiency.csv,,
Billy Mccrae,Wells,18,1,0,0.0,14,8,57.1429,2,0,0.0,53.33333,0.0,3.0,playerefficiency.csv,,
Billy Mccrae,Wells,3,0,0,,3,2,66.6667,0,0,,66.66667,0.0,0.0,playerefficiencyleft.csv,,
Billy Mccrae,Wells,1,0,0,,0,0,,0,0,,,0.0,1.0,playerefficiencyright.csv,,
