Player,Team,TotalPlays,Total3ptShots,Total3ptMakes,3pt%,Total2ptShots,Total2ptMakes,2pt%,TotalMidRangeShots,TotalMidRangeMakes,MidRange%,EFG%,Turnover,Foul
Kenny Wilburn,Rochester Institute of Technology Tigers,5,0,0,NULL,3,3,100.0000,0,0,NULL,100.00000,1,1
Josiah Turner,Rochester Institute of Technology Tigers,4,0,0,NULL,3,1,33.3333,0,0,NULL,33.33333,0,1
Heston Tucker,Bard College,3,0,0,NULL,3,3,100.0000,0,0,NULL,100.00000,0,0
Chase Dickens,Rochester Institute of Technology Tigers,3,0,0,NULL,3,2,66.6667,0,0,NULL,66.66667,0,0
Jackson Otis,Rochester Institute of Technology Tigers,3,0,0,NULL,1,1,100.0000,0,0,NULL,100.00000,0,2
Keegan Ocorr,Rochester Institute of Technology Tigers,2,0,0,NULL,2,1,50.0000,0,0,NULL,50.00000,0,0
Matt Caggiano,Rochester Institute of Technology Tigers,2,0,0,NULL,2,2,100.0000,0,0,NULL,100.00000,0,0
Alex Antsiferov,Gallaudet University Bison,2,0,0,NULL,1,0,0.0000,0,0,NULL,0.00000,0,1
Elliot Harris,Bard College,1,0,0,NULL,1,1,100.0000,0,0,NULL,100.00000,0,0
Pat White,Rensselaer Polytechnic,1,0,0,NULL,0,0,NULL,0,0,NULL,NULL,0,1
Yechiel Stewart,Rensselaer Polytechnic,1,0,0,NULL,1,0,0.0000,0,0,NULL,0.00000,0,0
Mark Osime,Rochester Institute of Technology Tigers,1,0,0,NULL,1,0,0.0000,0,0,NULL,0.00000,0,0
Brendan McRoy,St. John Fisher Cardinals,1,0,0,NULL,1,0,0.0000,0,0,NULL,0.00000,0,0
Aren Cummings,Union (NY) Dutchmen,1,0,0,NULL,0,0,NULL,0,0,NULL,NULL,1,0
Ronnie Toole,Rochester Institute of Technology Tigers,1,0,0,NULL,1,0,0.0000,0,0,NULL,0.00000,0,0
Zac Ditzel,Rochester Institute of Technology Tigers,1,0,0,NULL,1,1,100.0000,0,0,NULL,100.00000,0,0
Brody Brown,Rochester Institute of Technology Tigers,1,0,0,NULL,1,1,100.0000,0,0,NULL,100.00000,0,0
Riley Spencer,Elmira,1,0,0,NULL,1,0,0.0000,0,0,NULL,0.00000,0,0
Enow Otto Jr.,Gallaudet University Bison,1,0,0,NULL,1,0,0.0000,0,0,NULL,0.00000,0,0
Jonny Angbazo,Rensselaer Polytechnic,1,0,0,NULL,0,0,NULL,0,0,NULL,NULL,0,1
Dyland Matchett,Rensselaer Polytechnic,1,0,0,NULL,1,1,100.0000,0,0,NULL,100.00000,0,0
Dillon McCafferty,Skidmore Thoroughbreds,1,0,0,NULL,1,0,0.0000,0,0,NULL,0.00000,0,0
Edward Baptiste,Union (NY) Dutchmen,1,0,0,NULL,1,1,100.0000,0,0,NULL,100.00000,0,0
Matt Wiele,Rochester (NY) Yellowjackets,1,0,0,NULL,1,1,100.0000,0,0,NULL,100.00000,0,0
Brandon Weiss,Rochester Institute of Technology Tigers,1,0,0,NULL,1,1,100.0000,0,0,NULL,100.00000,0,0
Brock Bowen,Rochester Institute of Technology Tigers,1,0,0,NULL,1,0,0.0000,0,0,NULL,0.00000,0,0
Corvin Oprea,Rochester (NY) Yellowjackets,1,0,0,NULL,1,1,100.0000,0,0,NULL,100.00000,0,0
Matt Niemczura,Rochester (NY) Yellowjackets,1,0,0,NULL,0,0,NULL,0,0,NULL,NULL,1,0
