Player,Team,TotalPlays,Total3ptShots,Total3ptMakes,3pt%,Total2ptShots,Total2ptMakes,2pt%,TotalMidRangeShots,TotalMidRangeMakes,MidRange%,EFG%,Turnover,Foul
Kenny Wilburn,Rochester Institute of Technology Tigers,22,0,0,NULL,20,11,55.0000,0,0,NULL,55.00000,1,1
Josiah Turner,Rochester Institute of Technology Tigers,15,0,0,NULL,11,6,54.5455,0,0,NULL,54.54545,2,2
Jackson Otis,Rochester Institute of Technology Tigers,11,0,0,NULL,10,6,60.0000,0,0,NULL,60.00000,0,1
Brody Brown,Rochester Institute of Technology Tigers,6,0,0,NULL,5,1,20.0000,0,0,NULL,20.00000,1,0
Zac Ditzel,Rochester Institute of Technology Tigers,6,0,0,NULL,6,2,33.3333,0,0,NULL,33.33333,0,0
Billy Mccrae,Wells,5,0,0,NULL,4,1,25.0000,0,0,NULL,25.00000,0,1
Mark Osime,Rochester Institute of Technology Tigers,4,0,0,NULL,4,1,25.0000,0,0,NULL,25.00000,0,0
Edward Baptiste,Union (NY) Dutchmen,3,0,0,NULL,3,1,33.3333,0,0,NULL,33.33333,0,0
Jack Wirtanen,St. Lawrence Saints,3,0,0,NULL,3,0,0.0000,0,0,NULL,0.00000,0,0
Connor Williams,St. John Fisher Cardinals,3,0,0,NULL,3,2,66.6667,0,0,NULL,66.66667,0,0
Chase Dickens,Rochester Institute of Technology Tigers,3,0,0,NULL,2,1,50.0000,0,0,NULL,50.00000,1,0
Rowan Heinze,Bard College,2,0,0,NULL,2,1,50.0000,0,0,NULL,50.00000,0,0
Jack Plesser,Union (NY) Dutchmen,2,0,0,NULL,2,0,0.0000,0,0,NULL,0.00000,0,0
Joey Skoric,Skidmore Thoroughbreds,2,0,0,NULL,2,1,50.0000,0,0,NULL,50.00000,0,0
Joe Bangel,Wells,2,0,0,NULL,1,1,100.0000,0,0,NULL,100.00000,1,0
Carter Meshanic,Hobart College Statesmen,2,0,0,NULL,1,1,100.0000,0,0,NULL,100.00000,1,0
Keegan Ocorr,Rochester Institute of Technology Tigers,2,0,0,NULL,1,1,100.0000,0,0,NULL,100.00000,1,0
Brock Bowen,Rochester Institute of Technology Tigers,2,0,0,NULL,1,0,0.0000,0,0,NULL,0.00000,1,0
Jack Broderick,Nazareth College Golden Flyers,1,0,0,NULL,0,0,NULL,0,0,NULL,NULL,0,1
Andrew Cowan,St. Lawrence Saints,1,0,0,NULL,1,1,100.0000,0,0,NULL,100.00000,0,0
Jaylon O'Neal,Ithaca College,1,0,0,NULL,0,0,NULL,0,0,NULL,NULL,1,0
Cameron Storm,Rochester Institute of Technology Tigers,1,0,0,NULL,1,0,0.0000,0,0,NULL,0.00000,0,0
Aren Cummings,Union (NY) Dutchmen,1,0,0,NULL,1,0,0.0000,0,0,NULL,0.00000,0,0
Gabriel Bergeron,Hobart College Statesmen,1,0,0,NULL,1,0,0.0000,0,0,NULL,0.00000,0,0
Nathan Denham,Vassar Brewers,1,0,0,NULL,1,0,0.0000,0,0,NULL,0.00000,0,0
Chase Welch,Wells,1,0,0,NULL,1,0,0.0000,0,0,NULL,0.00000,0,0
Hunter Meshanic,Hobart College Statesmen,1,0,0,NULL,0,0,NULL,0,0,NULL,NULL,1,0
Dorian Paki,Hobart College Statesmen,1,0,0,NULL,0,0,NULL,0,0,NULL,NULL,1,0
John Bangel,Wells,1,0,0,NULL,1,1,100.0000,0,0,NULL,100.00000,0,0
Logan Dunbar,Alfred State Pioneers,1,0,0,NULL,0,0,NULL,0,0,NULL,NULL,1,0
Ryan Miles-Ferguson,Clarkson University Golden Knights,1,0,0,NULL,0,0,NULL,0,0,NULL,NULL,0,1
Carter Seeberger,Elmira,1,0,0,NULL,1,1,100.0000,0,0,NULL,100.00000,0,0
Riley Spencer,Elmira,1,0,0,NULL,1,0,0.0000,0,0,NULL,0.00000,0,0
Luke Mcbrine,Gallaudet University Bison,1,0,0,NULL,1,0,0.0000,0,0,NULL,0.00000,0,0
Alex Antsiferov,Gallaudet University Bison,1,0,0,NULL,1,1,100.0000,0,0,NULL,100.00000,0,0
Brandon Chung,Gallaudet University Bison,1,0,0,NULL,0,0,NULL,0,0,NULL,NULL,0,1
Blessed Mbogo,Gallaudet University Bison,1,0,0,NULL,1,1,100.0000,0,0,NULL,100.00000,0,0
Dyland Matchett,Rensselaer Polytechnic,1,0,0,NULL,0,0,NULL,0,0,NULL,NULL,1,0
Finn Cork,Clarkson University Golden Knights,1,0,0,NULL,1,0,0.0000,0,0,NULL,0.00000,0,0
Sean Wilcox,Bard College,1,0,0,NULL,1,1,100.0000,0,0,NULL,100.00000,0,0
Alex Moesch,Hobart College Statesmen,1,0,0,NULL,1,0,0.0000,0,0,NULL,0.00000,0,0
Logan Blankenberg,Nazareth College Golden Flyers,1,0,0,NULL,1,0,0.0000,0,0,NULL,0.00000,0,0
Heston Tucker,Bard College,1,0,0,NULL,1,1,100.0000,0,0,NULL,100.00000,0,0
Isaiah Washington,Hobart College Statesmen,1,0,0,NULL,1,1,100.0000,0,0,NULL,100.00000,0,0
Christian Dufort,Union (NY) Dutchmen,1,0,0,NULL,1,0,0.0000,0,0,NULL,0.00000,0,0
