Player,Team,TotalPlays,Total3ptShots,Total3ptMakes,3pt%,Total2ptShots,Total2ptMakes,2pt%,TotalMidRangeShots,TotalMidRangeMakes,MidRange%,EFG%,Turnover,Foul
Chase Dickens,Rochester Institute of Technology Tigers,9,3,2,66.6667,6,1,16.6667,3,1,33.3333,44.44444,0,0
Matt Caggiano,Rochester Institute of Technology Tigers,7,0,0,NULL,5,3,60.0000,0,0,NULL,60.00000,1,1
Brock Bowen,Rochester Institute of Technology Tigers,6,4,1,25.0000,1,0,0.0000,1,0,0.0000,30.00000,1,0
Ryan Miles-Ferguson,Clarkson University Golden Knights,4,1,0,0.0000,3,1,33.3333,1,0,0.0000,25.00000,0,0
Jake Walsh,Skidmore Thoroughbreds,4,2,0,0.0000,1,0,0.0000,0,0,NULL,0.00000,1,0
Shea Fitzgerald,Vassar Brewers,3,1,1,100.0000,1,1,100.0000,0,0,NULL,125.00000,1,0
Logan Blankenberg,Nazareth College Golden Flyers,3,0,0,NULL,3,2,66.6667,0,0,NULL,66.66667,0,0
Steve DeRegis,Clarkson University Golden Knights,2,1,0,0.0000,0,0,NULL,0,0,NULL,0.00000,1,0
PJ Scalisi,Rensselaer Polytechnic,2,0,0,NULL,2,0,0.0000,2,0,0.0000,0.00000,0,0
Brody Brown,Rochester Institute of Technology Tigers,2,0,0,NULL,0,0,NULL,0,0,NULL,NULL,1,1
Josiah Turner,Rochester Institute of Technology Tigers,2,2,0,0.0000,0,0,NULL,0,0,NULL,0.00000,0,0
Trey Syroka,St. Lawrence Saints,2,0,0,NULL,2,1,50.0000,2,1,50.0000,50.00000,0,0
Luke Mcgarrity,Union (NY) Dutchmen,2,1,0,0.0000,0,0,NULL,0,0,NULL,0.00000,1,0
Enow Otto Jr.,Gallaudet University Bison,2,0,0,NULL,1,0,0.0000,0,0,NULL,0.00000,0,1
Riley Spencer,Elmira,1,1,0,0.0000,0,0,NULL,0,0,NULL,0.00000,0,0
Tyler Cardello,Elmira,1,1,0,0.0000,0,0,NULL,0,0,NULL,0.00000,0,0
Owen Evans,Elmira,1,0,0,NULL,1,0,0.0000,1,0,0.0000,0.00000,0,0
Brandon Chung,Gallaudet University Bison,1,0,0,NULL,0,0,NULL,0,0,NULL,NULL,1,0
Braeden Burns,Clarkson University Golden Knights,1,1,0,0.0000,0,0,NULL,0,0,NULL,0.00000,0,0
Luke Granto,Rochester Institute of Technology Tigers,1,0,0,NULL,0,0,NULL,0,0,NULL,NULL,1,0
Matt Brand,Hobart College Statesmen,1,0,0,NULL,1,0,0.0000,0,0,NULL,0.00000,0,0
Andrew Geschickter,Ithaca College,1,1,0,0.0000,0,0,NULL,0,0,NULL,0.00000,0,0
Jaylon O'Neal,Ithaca College,1,0,0,NULL,1,0,0.0000,0,0,NULL,0.00000,0,0
Mike Parme,Bard College,1,1,0,0.0000,0,0,NULL,0,0,NULL,0.00000,0,0
Prince Shyllon,Skidmore Thoroughbreds,1,1,1,100.0000,0,0,NULL,0,0,NULL,150.00000,0,0
Nick Padilla,Skidmore Thoroughbreds,1,0,0,NULL,1,1,100.0000,0,0,NULL,100.00000,0,0
Carter Storey,St. Lawrence Saints,1,1,1,100.0000,0,0,NULL,0,0,NULL,150.00000,0,0
Adam Dudzinski,St. Lawrence Saints,1,0,0,NULL,0,0,NULL,0,0,NULL,NULL,0,1
Azriel Almodovar,Bard College,1,0,0,NULL,1,0,0.0000,1,0,0.0000,0.00000,0,0
Aren Cummings,Union (NY) Dutchmen,1,0,0,NULL,0,0,NULL,0,0,NULL,NULL,1,0
Christian Dufort,Union (NY) Dutchmen,1,0,0,NULL,0,0,NULL,0,0,NULL,NULL,0,1
Malachi Moore,Rochester (NY) Yellowjackets,1,0,0,NULL,1,0,0.0000,1,0,0.0000,0.00000,0,0
Hakeem Daphnis,Skidmore Thoroughbreds,1,0,0,NULL,1,0,0.0000,1,0,0.0000,0.00000,0,0
Matt Wiele,Rochester (NY) Yellowjackets,1,0,0,NULL,1,0,0.0000,0,0,NULL,0.00000,0,0
Pat Healy,Hobart College Statesmen,1,0,0,NULL,1,0,0.0000,0,0,NULL,0.00000,0,0
JP Miranda,Vassar Brewers,1,0,0,NULL,1,0,0.0000,0,0,NULL,0.00000,0,0
Frankie Rainville,Clarkson University Golden Knights,1,0,0,NULL,1,1,100.0000,0,0,NULL,100.00000,0,0
Mark Osime,Rochester Institute of Technology Tigers,1,0,0,NULL,1,1,100.0000,0,0,NULL,100.00000,0,0
Connor Cepiel,Union (NY) Dutchmen,1,0,0,NULL,0,0,NULL,0,0,NULL,NULL,1,0
Evan Cabral,Ithaca College,1,0,0,NULL,0,0,NULL,0,0,NULL,NULL,0,1
