Player,Team,TotalPlays,Total3ptShots,Total3ptMakes,3pt%,Total2ptShots,Total2ptMakes,2pt%,TotalMidRangeShots,TotalMidRangeMakes,MidRange%,EFG%,Turnover,Foul
Chase Dickens,Rochester Institute of Technology Tigers,10,1,1,100.0000,7,4,57.1429,4,3,75.0000,68.75000,0,2
Matt Caggiano,Rochester Institute of Technology Tigers,4,0,0,NULL,3,2,66.6667,1,1,100.0000,66.66667,0,1
Brock Bowen,Rochester Institute of Technology Tigers,3,2,0,0.0000,0,0,NULL,0,0,NULL,0.00000,1,0
Isaiah Washington,Hobart College Statesmen,2,0,0,NULL,2,2,100.0000,0,0,NULL,100.00000,0,0
Ryan Miles-Ferguson,Clarkson University Golden Knights,2,2,1,50.0000,0,0,NULL,0,0,NULL,75.00000,0,0
Pat Healy,Hobart College Statesmen,1,0,0,NULL,1,0,0.0000,0,0,NULL,0.00000,0,0
Jaylen Savage,Nazareth College Golden Flyers,1,0,0,NULL,1,1,100.0000,0,0,NULL,100.00000,0,0
Brandon Weiss,Rochester Institute of Technology Tigers,1,0,0,NULL,1,0,0.0000,0,0,NULL,0.00000,0,0
Jordan Haggard,Nazareth College Golden Flyers,1,0,0,NULL,1,0,0.0000,1,0,0.0000,0.00000,0,0
Cody Schneider,Alfred State Pioneers,1,0,0,NULL,0,0,NULL,0,0,NULL,NULL,1,0
Josiah Turner,Rochester Institute of Technology Tigers,1,0,0,NULL,0,0,NULL,0,0,NULL,NULL,1,0
Keegan Ocorr,Rochester Institute of Technology Tigers,1,0,0,NULL,0,0,NULL,0,0,NULL,NULL,0,1
Nick Padilla,Skidmore Thoroughbreds,1,1,0,0.0000,0,0,NULL,0,0,NULL,0.00000,0,0
Aren Cummings,Union (NY) Dutchmen,1,0,0,NULL,0,0,NULL,0,0,NULL,NULL,1,0
