Player,Team,TotalPlays,Total3ptShots,Total3ptMakes,3pt%,Total2ptShots,Total2ptMakes,2pt%,TotalMidRangeShots,TotalMidRangeMakes,MidRange%,EFG%,Turnover,Foul
Chase Dickens,Rochester Institute of Technology Tigers,12,1,1,100.0000,10,4,40.0000,4,1,25.0000,50.00000,1,0
Matt Caggiano,Rochester Institute of Technology Tigers,8,0,0,NULL,5,3,60.0000,2,1,50.0000,60.00000,1,2
Isaiah Washington,Hobart College Statesmen,5,0,0,NULL,3,2,66.6667,1,0,0.0000,66.66667,1,1
Aidan Rodgers,Hobart College Statesmen,3,1,0,0.0000,2,0,0.0000,1,0,0.0000,0.00000,0,0
Keegan Ocorr,Rochester Institute of Technology Tigers,2,0,0,NULL,0,0,NULL,0,0,NULL,NULL,1,1
Ryan Miles-Ferguson,Clarkson University Golden Knights,2,1,0,0.0000,1,0,0.0000,1,0,0.0000,0.00000,0,0
Pat Healy,Hobart College Statesmen,2,0,0,NULL,2,1,50.0000,1,1,100.0000,50.00000,0,0
Jaylen Savage,Nazareth College Golden Flyers,2,0,0,NULL,2,1,50.0000,0,0,NULL,50.00000,0,0
Christian Dufort,Union (NY) Dutchmen,2,0,0,NULL,2,1,50.0000,0,0,NULL,50.00000,0,0
Rowan Heinze,Bard College,1,0,0,NULL,0,0,NULL,0,0,NULL,NULL,1,0
Ryan Lucey,Hobart College Statesmen,1,0,0,NULL,1,1,100.0000,1,1,100.0000,100.00000,0,0
Logan Wendell,Ithaca College,1,0,0,NULL,1,0,0.0000,1,0,0.0000,0.00000,0,0
Kenny Wilburn,Rochester Institute of Technology Tigers,1,0,0,NULL,1,0,0.0000,1,0,0.0000,0.00000,0,0
Logan Blankenberg,Nazareth College Golden Flyers,1,0,0,NULL,0,0,NULL,0,0,NULL,NULL,1,0
Luke Granto,Rochester Institute of Technology Tigers,1,0,0,NULL,1,0,0.0000,1,0,0.0000,0.00000,0,0
Yechiel Stewart,Rensselaer Polytechnic,1,0,0,NULL,0,0,NULL,0,0,NULL,NULL,1,0
Akinlana Popoola,St. John Fisher Cardinals,1,0,0,NULL,0,0,NULL,1,0,0.0000,NULL,0,1
Josiah Turner,Rochester Institute of Technology Tigers,1,0,0,NULL,0,0,NULL,0,0,NULL,NULL,0,1
Billy Mccrae,Wells,1,0,0,NULL,0,0,NULL,0,0,NULL,NULL,0,1
Terrance Clayton-Murphy,Wells,1,0,0,NULL,1,0,0.0000,0,0,NULL,0.00000,0,0
Cody Schneider,Alfred State Pioneers,1,0,0,NULL,1,0,0.0000,1,0,0.0000,0.00000,0,0
Laz Panagiotounis,Bard College,1,1,1,100.0000,0,0,NULL,0,0,NULL,150.00000,0,0
Enow Otto Jr.,Gallaudet University Bison,1,0,0,NULL,1,0,0.0000,0,0,NULL,0.00000,0,0
Carter Meshanic,Hobart College Statesmen,1,0,0,NULL,1,1,100.0000,0,0,NULL,100.00000,0,0
Jonny Angbazo,Rensselaer Polytechnic,1,0,0,NULL,1,0,0.0000,0,0,NULL,0.00000,0,0
Shea Fitzgerald,Vassar Brewers,1,0,0,NULL,1,0,0.0000,0,0,NULL,0.00000,0,0
Luke Adams,Vassar Brewers,1,0,0,NULL,1,0,0.0000,0,0,NULL,0.00000,0,0
