Player,Team,TotalPlays,Total3ptShots,Total3ptMakes,3pt%,Total2ptShots,Total2ptMakes,2pt%,TotalMidRangeShots,TotalMidRangeMakes,MidRange%,EFG%,Turnover,Foul
Keegan Ocorr,Rochester Institute of Technology Tigers,21,2,0,0.0000,2,2,100.0000,0,0,NULL,50.00000,17,0
Chase Dickens,Rochester Institute of Technology Tigers,19,3,1,33.3333,1,1,100.0000,1,1,100.0000,62.50000,13,2
Matt Caggiano,Rochester Institute of Technology Tigers,18,1,0,0.0000,2,1,50.0000,0,0,NULL,33.33333,12,3
Brock Bowen,Rochester Institute of Technology Tigers,17,2,0,0.0000,1,1,100.0000,1,1,100.0000,33.33333,9,5
Kenny Wilburn,Rochester Institute of Technology Tigers,12,0,0,NULL,3,1,33.3333,1,1,100.0000,33.33333,8,1
Josiah Turner,Rochester Institute of Technology Tigers,10,0,0,NULL,3,3,100.0000,0,0,NULL,100.00000,6,1
Brody Brown,Rochester Institute of Technology Tigers,10,0,0,NULL,0,0,NULL,0,0,NULL,NULL,4,6
Jackson Otis,Rochester Institute of Technology Tigers,5,1,0,0.0000,0,0,NULL,0,0,NULL,0.00000,4,0
Pat Healy,Hobart College Statesmen,4,0,0,NULL,1,0,0.0000,0,0,NULL,0.00000,3,0
Aidan Rodgers,Hobart College Statesmen,4,0,0,NULL,1,0,0.0000,0,0,NULL,0.00000,2,1
Logan Wendell,Ithaca College,4,2,0,0.0000,0,0,NULL,0,0,NULL,0.00000,2,0
Steve DeRegis,,4,0,0,NULL,0,0,NULL,0,0,NULL,NULL,0,4
Aidan Roy,Skidmore Thoroughbreds,4,0,0,NULL,0,0,NULL,0,0,NULL,NULL,1,3
Shea Fitzgerald,Vassar Brewers,4,0,0,NULL,0,0,NULL,0,0,NULL,NULL,2,2
Elliot Harris,Bard College,3,0,0,NULL,0,0,NULL,0,0,NULL,NULL,3,0
Steve DeRegis,Clarkson University Golden Knights,3,0,0,NULL,0,0,NULL,0,0,NULL,NULL,3,0
Carter Meshanic,Hobart College Statesmen,3,0,0,NULL,3,1,33.3333,0,0,NULL,33.33333,0,0
Brandon Weiss,Rochester Institute of Technology Tigers,3,0,0,NULL,2,1,50.0000,0,0,NULL,50.00000,1,0
Nick Padilla,Skidmore Thoroughbreds,3,0,0,NULL,1,1,100.0000,0,0,NULL,100.00000,0,2
Jake Walsh,Skidmore Thoroughbreds,3,0,0,NULL,0,0,NULL,0,0,NULL,NULL,2,1
Josiah Turner,,3,0,0,NULL,0,0,NULL,0,0,NULL,NULL,0,3
Troy McPherson,St. Lawrence Saints,3,0,0,NULL,0,0,NULL,0,0,NULL,NULL,3,0
Emmanuel Leftenant,Alfred State Pioneers,3,0,0,NULL,1,0,0.0000,0,0,NULL,0.00000,1,1
Jonny Angbazo,Rensselaer Polytechnic,3,0,0,NULL,0,0,NULL,0,0,NULL,NULL,3,0
Christian Dufort,Union (NY) Dutchmen,3,0,0,NULL,0,0,NULL,0,0,NULL,NULL,3,0
Rowan Heinze,Bard College,2,0,0,NULL,0,0,NULL,0,0,NULL,NULL,2,0
Laz Panagiotounis,Bard College,2,0,0,NULL,0,0,NULL,0,0,NULL,NULL,1,1
Sean Wilcox,Bard College,2,0,0,NULL,0,0,NULL,0,0,NULL,NULL,2,0
