Player,Team,TotalPlays,Total3ptShots,Total3ptMakes,3pt%,Total2ptShots,Total2ptMakes,2pt%,TotalMidRangeShots,TotalMidRangeMakes,MidRange%,EFG%,Turnover,Foul
Brock Bowen,Rochester Institute of Technology Tigers,4,3,1,33.3333,1,0,0.0000,1,0,0.0000,37.50000,0,0
Brody Brown,Rochester Institute of Technology Tigers,3,2,0,0.0000,1,0,0.0000,0,0,NULL,0.00000,0,0
Matt Caggiano,Rochester Institute of Technology Tigers,3,0,0,NULL,3,1,33.3333,1,0,0.0000,33.33333,0,0
Aidan Rodgers,Hobart College Statesmen,3,3,1,33.3333,0,0,NULL,0,0,NULL,50.00000,0,0
Adam Dudzinski,St. Lawrence Saints,3,0,0,NULL,3,1,33.3333,1,0,0.0000,33.33333,0,0
Logan Jagodzinski,Rochester (NY) Yellowjackets,2,2,0,0.0000,0,0,NULL,0,0,NULL,0.00000,0,0
Keegan Ocorr,Rochester Institute of Technology Tigers,1,0,0,NULL,0,0,NULL,0,0,NULL,NULL,0,1
Laz Panagiotounis,Bard College,1,1,0,0.0000,0,0,NULL,0,0,NULL,0.00000,0,0
Luke Granto,Rochester Institute of Technology Tigers,1,0,0,NULL,0,0,NULL,0,0,NULL,NULL,1,0
Ian Bentley,Skidmore Thoroughbreds,1,1,0,0.0000,0,0,NULL,0,0,NULL,0.00000,0,0
Alex Walters,Vassar Brewers,1,1,0,0.0000,0,0,NULL,0,0,NULL,0.00000,0,0
Dylan Perry,Alfred State Pioneers,1,1,0,0.0000,0,0,NULL,0,0,NULL,0.00000,0,0
Blessed Mbogo,Gallaudet University Bison,1,1,0,0.0000,0,0,NULL,0,0,NULL,0.00000,0,0
Dyland Matchett,Rensselaer Polytechnic,1,1,0,0.0000,0,0,NULL,0,0,NULL,0.00000,0,0
Yechiel Stewart,Rensselaer Polytechnic,1,0,0,NULL,1,0,0.0000,0,0,NULL,0.00000,0,0
Connor Melis,Bard College,1,1,0,0.0000,0,0,NULL,0,0,NULL,0.00000,0,0
Pat Healy,Hobart College Statesmen,1,0,0,NULL,1,1,100.0000,0,0,NULL,100.00000,0,0
Jonny Angbazo,Rensselaer Polytechnic,1,0,0,NULL,1,0,0.0000,1,0,0.0000,0.00000,0,0
Avery Eugster,Rensselaer Polytechnic,1,1,1,100.0000,0,0,NULL,0,0,NULL,150.00000,0,0
Tyler Cardello,Elmira,1,0,0,NULL,1,0,0.0000,1,0,0.0000,0.00000,0,0
Zachary Bippus,Gallaudet University Bison,1,1,0,0.0000,0,0,NULL,0,0,NULL,0.00000,0,0
Matt Niemczura,Rochester (NY) Yellowjackets,1,0,0,NULL,1,0,0.0000,0,0,NULL,0.00000,0,0
