Player,Team,TotalPlays,Total3ptShots,Total3ptMakes,3pt%,Total2ptShots,Total2ptMakes,2pt%,TotalMidRangeShots,TotalMidRangeMakes,MidRange%,EFG%,Turnover,Foul
Matt Caggiano,Rochester Institute of Technology Tigers,41,7,3,42.8571,23,11,47.8261,7,3,42.8571,51.66667,7,4
Chase Dickens,Rochester Institute of Technology Tigers,22,6,2,33.3333,9,4,44.4444,7,3,42.8571,46.66667,3,4
Brock Bowen,Rochester Institute of Technology Tigers,21,8,4,50.0000,9,2,22.2222,3,1,33.3333,47.05882,3,1
Keegan Ocorr,Rochester Institute of Technology Tigers,7,2,0,0.0000,4,2,50.0000,2,1,50.0000,33.33333,0,1
Brandon Weiss,Rochester Institute of Technology Tigers,7,3,0,0.0000,3,1,33.3333,0,0,NULL,16.66667,0,1
Tanner Tedesco,Union (NY) Dutchmen,7,0,0,NULL,4,3,75.0000,2,1,50.0000,75.00000,1,2
Pat Healy,Hobart College Statesmen,6,0,0,NULL,5,4,80.0000,2,2,100.0000,80.00000,1,0
Aidan Rodgers,Hobart College Statesmen,5,0,0,NULL,4,2,50.0000,2,0,0.0000,50.00000,0,1
Evan Cabral,Ithaca College,5,0,0,NULL,2,1,50.0000,0,0,NULL,50.00000,2,1
Logan Wendell,Ithaca College,5,1,1,100.0000,3,1,33.3333,0,0,NULL,62.50000,1,0
Mark Osime,Rochester Institute of Technology Tigers,5,2,0,0.0000,1,0,0.0000,0,0,NULL,0.00000,1,1
Aiden Macaulay,St. Lawrence Saints,5,1,0,0.0000,3,1,33.3333,1,0,0.0000,25.00000,0,1
Nick Padilla,Skidmore Thoroughbreds,5,0,0,NULL,2,1,50.0000,0,0,NULL,50.00000,3,0
Tomiwa Adetosoye,Rochester (NY) Yellowjackets,4,0,0,NULL,4,0,0.0000,0,0,NULL,0.00000,0,0
Ronnie Toole,Rochester Institute of Technology Tigers,4,0,0,NULL,4,3,75.0000,0,0,NULL,75.00000,0,0
Jake Walsh,Skidmore Thoroughbreds,4,0,0,NULL,4,2,50.0000,1,0,0.0000,50.00000,0,0
Shea Fitzgerald,Vassar Brewers,3,0,0,NULL,2,2,100.0000,0,0,NULL,100.00000,0,1
Ryan Miles-Ferguson,Clarkson University Golden Knights,3,1,0,0.0000,1,0,0.0000,0,0,NULL,0.00000,1,0
Avery Lee,Vassar Brewers,3,0,0,NULL,3,2,66.6667,0,0,NULL,66.66667,0,0
Prince Shyllon,Skidmore Thoroughbreds,3,0,0,NULL,3,1,33.3333,1,0,0.0000,33.33333,0,0
Emmanuel Leftenant,Alfred State Pioneers,2,0,0,NULL,2,1,50.0000,0,0,NULL,50.00000,0,0
Jonny Angbazo,Rensselaer Polytechnic,2,0,0,NULL,1,0,0.0000,0,0,NULL,0.00000,0,1
Avery Eugster,Rensselaer Polytechnic,2,0,0,NULL,2,0,0.0000,0,0,NULL,0.00000,0,0
Brendan McRoy,St. John Fisher Cardinals,2,0,0,NULL,2,0,0.0000,2,0,0.0000,0.00000,0,0
Malachi Moore,Rochester (NY) Yellowjackets,2,0,0,NULL,2,1,50.0000,2,1,50.0000,50.00000,0,0
Jack Garside,Rochester (NY) Yellowjackets,2,0,0,NULL,2,1,50.0000,0,0,NULL,50.00000,0,0
Blessed Mbogo,Gallaudet University Bison,2,1,0,0.0000,1,0,0.0000,1,0,0.0000,0.00000,0,0
Carter Seeberger,Elmira,2,0,0,NULL,1,1,100.0000,0,0,NULL,100.00000,1,0
Jack Broderick,Nazareth College Golden Flyers,2,0,0,NULL,2,0,0.0000,0,0,NULL,0.00000,0,0
Terrance Clayton-Murphy,Wells,2,2,1,50.0000,0,0,NULL,0,0,NULL,75.00000,0,0
Azriel Almodovar,Bard College,2,0,0,NULL,1,0,0.0000,0,0,NULL,0.00000,1,0
Laz Panagiotounis,Bard College,2,1,0,0.0000,1,0,0.0000,1,0,0.0000,0.00000,0,0
Brody Brown,Rochester Institute of Technology Tigers,2,0,0,NULL,2,1,50.0000,2,1,50.0000,50.00000,0,0
Ben Reding,Alfred State Pioneers,1,1,0,0.0000,0,0,NULL,0,0,NULL,0.00000,0,0
Kevin Le,Bard College,1,0,0,NULL,1,0,0.0000,0,0,NULL,0.00000,0,0
Cody Schneider,Alfred State Pioneers,1,0,0,NULL,1,0,0.0000,0,0,NULL,0.00000,0,0
Dillon McCafferty,Skidmore Thoroughbreds,1,0,0,NULL,0,0,NULL,0,0,NULL,NULL,1,0
Jaylen Savage,Nazareth College Golden Flyers,1,0,0,NULL,0,0,NULL,0,0,NULL,NULL,1,0
Aren Cummings,Union (NY) Dutchmen,1,0,0,NULL,0,0,NULL,0,0,NULL,NULL,1,0
Marc Anthony Artuz,Elmira,1,1,0,0.0000,0,0,NULL,0,0,NULL,0.00000,0,0
Hakeem Daphnis,Skidmore Thoroughbreds,1,0,0,NULL,1,0,0.0000,1,0,0.0000,0.00000,0,0
Rory Lewis,Gallaudet University Bison,1,1,0,0.0000,0,0,NULL,0,0,NULL,0.00000,0,0
Trey Syroka,St. Lawrence Saints,1,0,0,NULL,1,0,0.0000,0,0,NULL,0.00000,0,0
Bruce Brewer Jr,Gallaudet University Bison,1,0,0,NULL,1,0,0.0000,1,0,0.0000,0.00000,0,0
Ryan Lucey,Hobart College Statesmen,1,0,0,NULL,1,1,100.0000,0,0,NULL,100.00000,0,0
Ben Eugster,Rensselaer Polytechnic,1,0,0,NULL,1,0,0.0000,0,0,NULL,0.00000,0,0
Yechiel Stewart,Rensselaer Polytechnic,1,0,0,NULL,0,0,NULL,0,0,NULL,NULL,0,1
Dyland Matchett,Rensselaer Polytechnic,1,1,0,0.0000,0,0,NULL,0,0,NULL,0.00000,0,0
Noah Downing,Ithaca College,1,0,0,NULL,1,0,0.0000,0,0,NULL,0.00000,0,0
Matthew Garside,Union (NY) Dutchmen,1,1,0,0.0000,0,0,NULL,0,0,NULL,0.00000,0,0
Nolan Smih,Rochester Institute of Technology Tigers,1,0,0,NULL,1,0,0.0000,1,0,0.0000,0.00000,0,0
Luke Insley,Nazareth College Golden Flyers,1,0,0,NULL,1,1,100.0000,0,0,NULL,100.00000,0,0
Maxwell Schneider,St. John Fisher Cardinals,1,0,0,NULL,1,1,100.0000,0,0,NULL,100.00000,0,0
Logan Jagodzinski,Rochester (NY) Yellowjackets,1,1,1,100.0000,0,0,NULL,0,0,NULL,150.00000,0,0
Alex Moesch,Hobart College Statesmen,1,0,0,NULL,1,0,0.0000,1,0,0.0000,0.00000,0,0
Matt Panara,St. John Fisher Cardinals,1,0,0,NULL,0,0,NULL,0,0,NULL,NULL,1,0
