Player,Team,TotalPlays,Total3ptShots,Total3ptMakes,3pt%,Total2ptShots,Total2ptMakes,2pt%,TotalMidRangeShots,TotalMidRangeMakes,MidRange%,EFG%,Turnover,Foul
Matt Caggiano,Rochester Institute of Technology Tigers,11,0,0,NULL,9,3,33.3333,2,0,0.0000,33.33333,2,0
Chase Dickens,Rochester Institute of Technology Tigers,6,3,1,33.3333,2,2,100.0000,1,1,100.0000,70.00000,1,0
Brock Bowen,Rochester Institute of Technology Tigers,6,2,1,50.0000,1,1,100.0000,1,1,100.0000,83.33333,0,3
Brandon Weiss,Rochester Institute of Technology Tigers,2,1,0,0.0000,1,0,0.0000,1,0,0.0000,0.00000,0,0
Keegan Ocorr,Rochester Institute of Technology Tigers,2,0,0,NULL,1,0,0.0000,1,0,0.0000,0.00000,1,0
Avery Lee,Vassar Brewers,2,0,0,NULL,1,0,0.0000,0,0,NULL,0.00000,1,0
Andrew Geschickter,Ithaca College,2,1,0,0.0000,1,0,0.0000,1,0,0.0000,0.00000,0,0
Logan Wendell,Ithaca College,2,0,0,NULL,2,1,50.0000,0,0,NULL,50.00000,0,0
Azriel Almodovar,Bard College,2,0,0,NULL,2,1,50.0000,0,0,NULL,50.00000,0,0
Shea Fitzgerald,Vassar Brewers,2,0,0,NULL,0,0,NULL,0,0,NULL,NULL,1,1
Aidan Roy,Skidmore Thoroughbreds,1,0,0,NULL,1,0,0.0000,0,0,NULL,0.00000,0,0
Jack Foley,St. John Fisher Cardinals,1,1,0,0.0000,0,0,NULL,0,0,NULL,0.00000,0,0
Daniel Cook,St. John Fisher Cardinals,1,0,0,NULL,1,1,100.0000,0,0,NULL,100.00000,0,0
Laz Panagiotounis,Bard College,1,1,1,100.0000,0,0,NULL,0,0,NULL,150.00000,0,0
Trey Syroka,St. Lawrence Saints,1,0,0,NULL,1,0,0.0000,0,0,NULL,0.00000,0,0
Tanner Tedesco,Union (NY) Dutchmen,1,0,0,NULL,0,0,NULL,0,0,NULL,NULL,1,0
Lemar Fulmore Jr,Union (NY) Dutchmen,1,0,0,NULL,1,1,100.0000,0,0,NULL,100.00000,0,0
Prince Shyllon,Skidmore Thoroughbreds,1,0,0,NULL,1,1,100.0000,1,1,100.0000,100.00000,0,0
Luke Granto,Rochester Institute of Technology Tigers,1,1,0,0.0000,0,0,NULL,0,0,NULL,0.00000,0,0
Evan Hauser,Wells,1,0,0,NULL,1,1,100.0000,1,1,100.0000,100.00000,0,0
Paris Jamison,Alfred State Pioneers,1,0,0,NULL,1,0,0.0000,0,0,NULL,0.00000,0,0
Ronnie Toole,Rochester Institute of Technology Tigers,1,0,0,NULL,0,0,NULL,0,0,NULL,NULL,0,1
Braeden Burns,Clarkson University Golden Knights,1,0,0,NULL,1,1,100.0000,0,0,NULL,100.00000,0,0
Jack Dalgety,Clarkson University Golden Knights,1,0,0,NULL,0,0,NULL,0,0,NULL,NULL,0,1
Dylan Jacob,Elmira,1,0,0,NULL,1,1,100.0000,0,0,NULL,100.00000,0,0
Brandon Chung,Gallaudet University Bison,1,0,0,NULL,1,0,0.0000,0,0,NULL,0.00000,0,0
Pat Healy,Hobart College Statesmen,1,0,0,NULL,1,0,0.0000,1,0,0.0000,0.00000,0,0
Aidan Rodgers,Hobart College Statesmen,1,0,0,NULL,1,0,0.0000,1,0,0.0000,0.00000,0,0
Evan Cabral,Ithaca College,1,0,0,NULL,1,0,0.0000,0,0,NULL,0.00000,0,0
PJ Scalisi,Rensselaer Polytechnic,1,1,0,0.0000,0,0,NULL,0,0,NULL,0.00000,0,0
Nick Padilla,Skidmore Thoroughbreds,1,0,0,NULL,1,1,100.0000,1,1,100.0000,100.00000,0,0
Jake Walsh,Skidmore Thoroughbreds,1,1,1,100.0000,0,0,NULL,0,0,NULL,150.00000,0,0
Connor Cepiel,Union (NY) Dutchmen,1,0,0,NULL,1,1,100.0000,0,0,NULL,100.00000,0,0
Christian Dufort,Union (NY) Dutchmen,1,0,0,NULL,0,0,NULL,0,0,NULL,NULL,1,0
Malachi Moore,Rochester (NY) Yellowjackets,1,0,0,NULL,1,0,0.0000,0,0,NULL,0.00000,0,0
