Player,Team,TotalPlays,Total3ptShots,Total3ptMakes,3pt%,Total2ptShots,Total2ptMakes,2pt%,TotalMidRangeShots,TotalMidRangeMakes,MidRange%,EFG%,Turnover,Foul
Kenny Wilburn,Rochester Institute of Technology Tigers,18,0,0,NULL,14,3,21.4286,0,0,NULL,21.42857,3,1
Josiah Turner,Rochester Institute of Technology Tigers,11,0,0,NULL,6,4,66.6667,0,0,NULL,66.66667,4,1
Finn Cork,Clarkson University Golden Knights,5,0,0,NULL,1,0,0.0000,0,0,NULL,0.00000,3,1
Jack Plesser,Union (NY) Dutchmen,4,0,0,NULL,3,1,33.3333,0,0,NULL,33.33333,0,1
Billy Mccrae,Wells,3,0,0,NULL,3,3,100.0000,0,0,NULL,100.00000,0,0
Jonny Angbazo,Rensselaer Polytechnic,3,0,0,NULL,2,0,0.0000,0,0,NULL,0.00000,1,0
Chase Dickens,Rochester Institute of Technology Tigers,3,0,0,NULL,2,1,50.0000,0,0,NULL,50.00000,0,1
Andrew Cowan,St. Lawrence Saints,2,0,0,NULL,1,0,0.0000,0,0,NULL,0.00000,1,0
Jackson Otis,Rochester Institute of Technology Tigers,2,0,0,NULL,2,1,50.0000,0,0,NULL,50.00000,0,0
Matt Caggiano,Rochester Institute of Technology Tigers,2,0,0,NULL,1,1,100.0000,0,0,NULL,100.00000,0,1
Adam Dudzinski,St. Lawrence Saints,2,0,0,NULL,1,1,100.0000,0,0,NULL,100.00000,0,1
Isaiah Washington,Hobart College Statesmen,2,0,0,NULL,2,0,0.0000,0,0,NULL,0.00000,0,0
Daniel Cook,St. John Fisher Cardinals,1,0,0,NULL,1,0,0.0000,0,0,NULL,0.00000,0,0
Connor Recore,St. John Fisher Cardinals,1,0,0,NULL,0,0,NULL,0,0,NULL,NULL,0,1
Tyler Cardello,Elmira,1,0,0,NULL,0,0,NULL,0,0,NULL,NULL,0,1
Andrew Deppe,Rensselaer Polytechnic,1,0,0,NULL,1,0,0.0000,0,0,NULL,0.00000,0,0
Evan Cabral,Ithaca College,1,0,0,NULL,0,0,NULL,0,0,NULL,NULL,0,1
Avery Eugster,Rensselaer Polytechnic,1,0,0,NULL,0,0,NULL,0,0,NULL,NULL,0,1
Triston Wennersten,Ithaca College,1,0,0,NULL,1,1,100.0000,0,0,NULL,100.00000,0,0
Nolan Smih,Rochester Institute of Technology Tigers,1,0,0,NULL,0,0,NULL,0,0,NULL,NULL,1,0
Christian Dufort,Union (NY) Dutchmen,1,0,0,NULL,1,1,100.0000,0,0,NULL,100.00000,0,0
Sean Wilcox,Bard College,1,0,0,NULL,1,0,0.0000,0,0,NULL,0.00000,0,0
Brad Fowler,St. John Fisher Cardinals,1,0,0,NULL,1,0,0.0000,0,0,NULL,0.00000,0,0
Case Parsons,Vassar Brewers,1,0,0,NULL,0,0,NULL,0,0,NULL,NULL,1,0
Keegan Ocorr,Rochester Institute of Technology Tigers,1,0,0,NULL,1,1,100.0000,0,0,NULL,100.00000,0,0
John Bangel,Wells,1,0,0,NULL,1,0,0.0000,0,0,NULL,0.00000,0,0
Rowan Heinze,Bard College,1,0,0,NULL,1,0,0.0000,0,0,NULL,0.00000,0,0
Zac Ditzel,Rochester Institute of Technology Tigers,1,0,0,NULL,1,0,0.0000,0,0,NULL,0.00000,0,0
Ryan Lucey,Hobart College Statesmen,1,0,0,NULL,1,0,0.0000,0,0,NULL,0.00000,0,0
Nate Tawiah-Boateng,Rensselaer Polytechnic,1,0,0,NULL,0,0,NULL,0,0,NULL,NULL,0,1
Edward Baptiste,Union (NY) Dutchmen,1,0,0,NULL,0,0,NULL,0,0,NULL,NULL,1,0
Devyn Benson,Vassar Brewers,1,0,0,NULL,1,0,0.0000,0,0,NULL,0.00000,0,0
