Player,Team,TotalPlays,Total3ptShots,Total3ptMakes,3pt%,Total2ptShots,Total2ptMakes,2pt%,TotalMidRangeShots,TotalMidRangeMakes,MidRange%,EFG%,Turnover,Foul
Matt Caggiano,Rochester Institute of Technology Tigers,5,0,0,NULL,5,1,20.0000,2,1,50.0000,20.00000,0,0
Mark Osime,Rochester Institute of Technology Tigers,3,1,0,0.0000,0,0,NULL,0,0,NULL,0.00000,0,2
Brock Bowen,Rochester Institute of Technology Tigers,2,2,1,50.0000,0,0,NULL,0,0,NULL,75.00000,0,0
Ryan Miles-Ferguson,Clarkson University Golden Knights,2,2,1,50.0000,0,0,NULL,0,0,NULL,75.00000,0,0
Kenny Wilburn,Rochester Institute of Technology Tigers,2,0,0,NULL,2,1,50.0000,2,1,50.0000,50.00000,0,0
Edward Baptiste,Union (NY) Dutchmen,2,0,0,NULL,2,0,0.0000,1,0,0.0000,0.00000,0,0
Zac Ditzel,Rochester Institute of Technology Tigers,2,1,0,0.0000,1,1,100.0000,1,1,100.0000,50.00000,0,0
Chase Dickens,Rochester Institute of Technology Tigers,1,1,0,0.0000,0,0,NULL,0,0,NULL,0.00000,0,0
Josiah Turner,Rochester Institute of Technology Tigers,1,1,1,100.0000,0,0,NULL,0,0,NULL,150.00000,0,0
Mathew Parent,Clarkson University Golden Knights,1,1,1,100.0000,0,0,NULL,0,0,NULL,150.00000,0,0
Gabriel Bergeron,Hobart College Statesmen,1,0,0,NULL,0,0,NULL,0,0,NULL,NULL,1,0
Logan Wendell,Ithaca College,1,0,0,NULL,1,1,100.0000,0,0,NULL,100.00000,0,0
Logan Blankenberg,Nazareth College Golden Flyers,1,0,0,NULL,1,1,100.0000,0,0,NULL,100.00000,0,0
Avery Eugster,Rensselaer Polytechnic,1,1,0,0.0000,0,0,NULL,0,0,NULL,0.00000,0,0
Carter Storey,St. Lawrence Saints,1,0,0,NULL,1,1,100.0000,1,1,100.0000,100.00000,0,0
Donye Johnson,Wells,1,0,0,NULL,1,0,0.0000,1,0,0.0000,0.00000,0,0
John Bangel,Wells,1,0,0,NULL,1,0,0.0000,0,0,NULL,0.00000,0,0
Carter Seeberger,Elmira,1,1,0,0.0000,0,0,NULL,0,0,NULL,0.00000,0,0
Ronnie Toole,Rochester Institute of Technology Tigers,1,0,0,NULL,1,1,100.0000,0,0,NULL,100.00000,0,0
Brody Brown,Rochester Institute of Technology Tigers,1,0,0,NULL,1,1,100.0000,1,1,100.0000,100.00000,0,0
JP Miranda,Vassar Brewers,1,0,0,NULL,1,1,100.0000,0,0,NULL,100.00000,0,0
Aidan Holmes,Ithaca College,1,0,0,NULL,1,1,100.0000,1,1,100.0000,100.00000,0,0
Gavin Macaulay,St. Lawrence Saints,1,0,0,NULL,1,1,100.0000,1,1,100.0000,100.00000,0,0
Braeden Burns,Clarkson University Golden Knights,1,1,1,100.0000,0,0,NULL,0,0,NULL,150.00000,0,0
