Player,Team,TotalPlays,Total3ptShots,Total3ptMakes,3pt%,Total2ptShots,Total2ptMakes,2pt%,TotalMidRangeShots,TotalMidRangeMakes,MidRange%,EFG%
Chase Dickens,Rochester Institute of Technology Tigers,4,0,0,NULL,4,3,75.0000,0,0,NULL,75.00000
Brock Bowen,Rochester Institute of Technology Tigers,3,0,0,NULL,3,2,66.6667,0,0,NULL,66.66667
Josiah Turner,Rochester Institute of Technology Tigers,3,0,0,NULL,3,2,66.6667,0,0,NULL,66.66667
Matt Caggiano,Rochester Institute of Technology Tigers,3,0,0,NULL,2,2,100.0000,0,0,NULL,100.00000
Niko Lutz,Hobart College Statesmen,2,0,0,NULL,2,2,100.0000,0,0,NULL,100.00000
Gavin Macaulay,St. Lawrence Saints,2,0,0,NULL,1,0,0.0000,0,0,NULL,0.00000
Keegan Ocorr,Rochester Institute of Technology Tigers,2,0,0,NULL,2,2,100.0000,0,0,NULL,100.00000
Joey Skoric,Skidmore Thoroughbreds,2,0,0,NULL,2,1,50.0000,0,0,NULL,50.00000
Kenny Wilburn,Rochester Institute of Technology Tigers,2,0,0,NULL,2,2,100.0000,0,0,NULL,100.00000
Evan Cabral,Ithaca College,1,0,0,NULL,1,0,0.0000,0,0,NULL,0.00000
Ian Bentley,Skidmore Thoroughbreds,1,0,0,NULL,0,0,NULL,0,0,NULL,NULL
Paris Jamison,Alfred State Pioneers,1,0,0,NULL,1,1,100.0000,0,0,NULL,100.00000
Heston Tucker,Bard College,1,0,0,NULL,1,1,100.0000,0,0,NULL,100.00000
Marc Anthony Artuz,Elmira,1,0,0,NULL,1,1,100.0000,0,0,NULL,100.00000
Andrew Geschickter,Ithaca College,1,0,0,NULL,1,1,100.0000,0,0,NULL,100.00000
Andrew Deppe,Rensselaer Polytechnic,1,0,0,NULL,1,1,100.0000,0,0,NULL,100.00000
Zac Ditzel,Rochester Institute of Technology Tigers,1,0,0,NULL,0,0,NULL,0,0,NULL,NULL
Jonny Angbazo,Rensselaer Polytechnic,1,0,0,NULL,1,0,0.0000,0,0,NULL,0.00000
Jack LaGarde,Skidmore Thoroughbreds,1,0,0,NULL,1,0,0.0000,0,0,NULL,0.00000
Mark Osime,Rochester Institute of Technology Tigers,1,0,0,NULL,1,1,100.0000,0,0,NULL,100.00000
Tomiwa Adetosoye,Rochester (NY) Yellowjackets,1,0,0,NULL,1,1,100.0000,0,0,NULL,100.00000
