Player,Team,TotalPlays,Total3ptShots,Total3ptMakes,3pt%,Total2ptShots,Total2ptMakes,2pt%,TotalMidRangeShots,TotalMidRangeMakes,MidRange%,EFG%,Turnover,Foul
Matt Caggiano,Rochester Institute of Technology Tigers,314,61,22,36.0656,168,91,54.1667,40,17,42.5000,54.14847,52,33
Chase Dickens,Rochester Institute of Technology Tigers,307,96,38,39.5833,152,66,43.4211,52,22,42.3077,49.59677,40,19
Brock Bowen,Rochester Institute of Technology Tigers,281,165,67,40.6061,65,33,50.7692,16,11,68.7500,58.04348,32,19
Kenny Wilburn,Rochester Institute of Technology Tigers,255,19,4,21.0526,185,92,49.7297,37,15,40.5405,48.03922,29,22
Josiah Turner,Rochester Institute of Technology Tigers,221,31,10,32.2581,130,77,59.2308,5,4,80.0000,57.14286,32,28
Keegan Ocorr,Rochester Institute of Technology Tigers,157,32,5,15.6250,71,43,60.5634,13,2,15.3846,49.02913,39,15
Brody Brown,Rochester Institute of Technology Tigers,112,46,15,32.6087,38,17,44.7368,12,4,33.3333,47.02381,18,10
Jackson Otis,Rochester Institute of Technology Tigers,103,39,15,38.4615,46,29,63.0435,5,2,40.0000,60.58824,14,4
Zac Ditzel,Rochester Institute of Technology Tigers,88,29,10,34.4828,42,18,42.8571,7,2,28.5714,46.47887,9,8
Brandon Weiss,Rochester Institute of Technology Tigers,83,54,20,37.0370,23,7,30.4348,5,0,0.0000,48.05195,3,3
Mark Osime,Rochester Institute of Technology Tigers,82,27,7,25.9259,34,15,44.1176,3,2,66.6667,41.80328,9,12
Pat Healy,Hobart College Statesmen,44,5,2,40.0000,33,21,63.6364,11,7,63.6364,63.15789,6,0
Ronnie Toole,Rochester Institute of Technology Tigers,39,12,1,8.3333,19,7,36.8421,1,1,100.0000,27.41935,6,2
Ryan Miles-Ferguson,Clarkson University Golden Knights,38,18,6,33.3333,13,5,38.4615,5,2,40.0000,45.16129,4,3
Christian Dufort,Union (NY) Dutchmen,37,11,3,27.2727,12,6,50.0000,1,1,100.0000,45.65217,8,6
Logan Wendell,Ithaca College,36,11,3,27.2727,16,7,43.7500,3,0,0.0000,42.59259,5,4
Carter Meshanic,Hobart College Statesmen,35,0,0,NULL,26,19,73.0769,0,0,NULL,73.07692,4,5
Aidan Rodgers,Hobart College Statesmen,33,6,2,33.3333,19,6,31.5789,8,0,0.0000,36.00000,4,4
Jake Walsh,Skidmore Thoroughbreds,33,12,7,58.3333,14,7,50.0000,5,2,40.0000,67.30769,3,4
Luke Mcgarrity,Union (NY) Dutchmen,32,18,8,44.4444,9,7,77.7778,2,2,100.0000,70.37037,5,0
Jonny Angbazo,Rensselaer Polytechnic,31,6,3,50.0000,18,5,27.7778,1,0,0.0000,39.58333,5,2
Nathan Denham,Vassar Brewers,31,4,2,50.0000,20,12,60.0000,1,0,0.0000,62.50000,4,3
Luke Granto,Rochester Institute of Technology Tigers,30,16,1,6.2500,7,4,57.1429,1,0,0.0000,23.91304,7,0
Avery Eugster,Rensselaer Polytechnic,30,18,7,38.8889,8,3,37.5000,0,0,NULL,51.92308,2,2
Shea Fitzgerald,Vassar Brewers,30,6,2,33.3333,14,9,64.2857,4,1,25.0000,60.00000,4,6
Laz Panagiotounis,Bard College,29,14,8,57.1429,8,4,50.0000,3,1,33.3333,72.72727,5,2
Braeden Burns,Clarkson University Golden Knights,29,8,5,62.5000,15,5,33.3333,2,1,50.0000,54.34783,3,3
Aidan Roy,Skidmore Thoroughbreds,29,11,4,36.3636,8,2,25.0000,1,0,0.0000,42.10526,5,5
Tanner Tedesco,Union (NY) Dutchmen,29,3,0,0.0000,12,6,50.0000,7,3,42.8571,40.00000,9,5
Jack Dalgety,Clarkson University Golden Knights,28,14,4,28.5714,7,5,71.4286,0,0,NULL,52.38095,4,3
Adam Dudzinski,St. Lawrence Saints,28,9,4,44.4444,16,6,37.5000,3,1,33.3333,48.00000,1,2
Andrew Geschickter,Ithaca College,27,15,4,26.6667,9,5,55.5556,5,2,40.0000,45.83333,2,1
Joey Skoric,Skidmore Thoroughbreds,26,5,0,0.0000,15,7,46.6667,1,0,0.0000,35.00000,2,4
Isaiah Washington,Hobart College Statesmen,25,4,1,25.0000,14,9,64.2857,3,1,33.3333,58.33333,4,3
Ryan Lucey,Hobart College Statesmen,25,6,4,66.6667,15,8,53.3333,4,1,25.0000,66.66667,2,2
Dyland Matchett,Rensselaer Polytechnic,25,11,2,18.1818,9,3,33.3333,4,0,0.0000,30.00000,3,2
Trey Syroka,St. Lawrence Saints,25,6,3,50.0000,15,4,26.6667,4,1,25.0000,40.47619,3,1
