PrimaryPlayer,SecondaryPlayer,Team,TotalPlays,Total3ptShots,Total3ptMakes,3pt%,Total2ptShots,Total2ptMakes,2pt%,TotalMidRangeShots,TotalMidRangeMakes,MidRange%,EFG%,Turnover,Foul
Matt Caggiano,Brock Bowen,Rochester Institute of Technology Tigers,3,3,1,33.3333,0,0,NULL,0,0,NULL,50.00000,0,0
Chase Dickens,Jackson Otis,Rochester Institute of Technology Tigers,2,2,1,50.0000,0,0,NULL,0,0,NULL,75.00000,0,0
Chase Dickens,Brock Bowen,Rochester Institute of Technology Tigers,2,2,2,100.0000,0,0,NULL,0,0,NULL,150.00000,0,0
Jonny Angbazo,Avery Eugster,Rensselaer Polytechnic,2,2,2,100.0000,0,0,NULL,0,0,NULL,150.00000,0,0
Bryce Bleibtrey,Andrew Geschickter,Ithaca College,1,1,0,0.0000,0,0,NULL,0,0,NULL,0.00000,0,0
Chase Dickens,Zac Ditzel,Rochester Institute of Technology Tigers,1,1,1,100.0000,0,0,NULL,0,0,NULL,150.00000,0,0
Jack Broderick,Tyler Putney,Nazareth College Golden Flyers,1,1,0,0.0000,0,0,NULL,0,0,NULL,0.00000,0,0
Solomon Mcfarlane,Logan Blankenberg,Nazareth College Golden Flyers,1,1,1,100.0000,0,0,NULL,0,0,NULL,150.00000,0,0
Luke Insley,Jordan Haggard,Nazareth College Golden Flyers,1,1,1,100.0000,0,0,NULL,0,0,NULL,150.00000,0,0
Chase Dickens,Brandon Weiss,Rochester Institute of Technology Tigers,1,1,0,0.0000,0,0,NULL,0,0,NULL,0.00000,0,0
Aidan Rodgers,Alex Moesch,Hobart College Statesmen,1,1,0,0.0000,0,0,NULL,0,0,NULL,0.00000,0,0
Ryan Miles-Ferguson,Braeden Burns,Clarkson University Golden Knights,1,1,0,0.0000,0,0,NULL,0,0,NULL,0.00000,0,0
Matt Caggiano,Chase Dickens,Rochester Institute of Technology Tigers,1,1,1,100.0000,0,0,NULL,0,0,NULL,150.00000,0,0
Aiden Macaulay,Adam Dudzinski,St. Lawrence Saints,1,1,1,100.0000,0,0,NULL,0,0,NULL,150.00000,0,0
Connor Cepiel,Matthew Garside,Union (NY) Dutchmen,1,1,0,0.0000,0,0,NULL,0,0,NULL,0.00000,0,0
Brandon Weiss,Ronnie Toole,Rochester Institute of Technology Tigers,1,1,0,0.0000,0,0,NULL,0,0,NULL,0.00000,0,0
Chase Dickens,Mark Osime,Rochester Institute of Technology Tigers,1,1,0,0.0000,0,0,NULL,0,0,NULL,0.00000,0,0
Josiah Turner,Jackson Otis,Rochester Institute of Technology Tigers,1,1,0,0.0000,0,0,NULL,0,0,NULL,0.00000,0,0
Terrance Clayton-Murphy,Chase Welch,Wells,1,1,0,0.0000,0,0,NULL,0,0,NULL,0.00000,0,0
Matt Caggiano,Brandon Weiss,Rochester Institute of Technology Tigers,1,1,1,100.0000,0,0,NULL,0,0,NULL,150.00000,0,0
Ryan Miles-Ferguson,Steve DeRegis,Clarkson University Golden Knights,1,1,1,100.0000,0,0,NULL,0,0,NULL,150.00000,0,0
Ryan Miles-Ferguson,Frankie Rainville,Clarkson University Golden Knights,1,1,0,0.0000,0,0,NULL,0,0,NULL,0.00000,0,0
Ryan Miles-Ferguson,Jack Dalgety,Clarkson University Golden Knights,1,1,0,0.0000,0,0,NULL,0,0,NULL,0.00000,0,0
Riley Spencer,Dylan Jacob,Elmira,1,1,0,0.0000,0,0,NULL,0,0,NULL,0.00000,0,0
Nolan Smih,Mihail Bossev,Rochester Institute of Technology Tigers,1,1,0,0.0000,0,0,NULL,0,0,NULL,0.00000,0,0
Bruce Brewer Jr,Samer Sawan,Gallaudet University Bison,1,1,0,0.0000,0,0,NULL,0,0,NULL,0.00000,0,0
Brock Bowen,Matt Caggiano,Rochester Institute of Technology Tigers,1,1,0,0.0000,0,0,NULL,0,0,NULL,0.00000,0,0
Isaiah Washington,Ryan Lucey,Hobart College Statesmen,1,1,1,100.0000,0,0,NULL,0,0,NULL,150.00000,0,0
Josiah Turner,Brandon Weiss,Rochester Institute of Technology Tigers,1,1,1,100.0000,0,0,NULL,0,0,NULL,150.00000,0,0
Bryce Bleibtrey,Laurence Brady,Ithaca College,1,1,0,0.0000,0,0,NULL,0,0,NULL,0.00000,0,0
Dyland Matchett,Avery Eugster,Rensselaer Polytechnic,1,1,1,100.0000,0,0,NULL,0,0,NULL,150.00000,0,0
Matt Caggiano,Jackson Otis,Rochester Institute of Technology Tigers,1,0,0,NULL,1,1,100.0000,1,1,100.0000,100.00000,0,0
Chase Dickens,Kenny Wilburn,Rochester Institute of Technology Tigers,1,0,0,NULL,1,0,0.0000,1,0,0.0000,0.00000,0,0
Shea Fitzgerald,Avery Lee,Vassar Brewers,1,1,0,0.0000,0,0,NULL,0,0,NULL,0.00000,0,0
