PrimaryPlayer,SecondaryPlayer,Team,TotalPlays,Total3ptShots,Total3ptMakes,3pt%,Total2ptShots,Total2ptMakes,2pt%,TotalMidRangeShots,TotalMidRangeMakes,MidRange%,EFG%,Turnover,Foul
Keegan Ocorr,Kenny Wilburn,Rochester Institute of Technology Tigers,3,0,0,NULL,3,2,66.6667,0,0,NULL,66.66667,0,0
Tanner Tedesco,Edward Baptiste,Union (NY) Dutchmen,2,0,0,NULL,2,0,0.0000,0,0,NULL,0.00000,0,0
Matt Caggiano,Keegan Ocorr,Rochester Institute of Technology Tigers,2,0,0,NULL,1,1,100.0000,0,0,NULL,100.00000,0,1
Keegan Ocorr,Josiah Turner,Rochester Institute of Technology Tigers,2,0,0,NULL,1,0,0.0000,0,0,NULL,0.00000,0,1
Aidan Rodgers,Ryan Lucey,Hobart College Statesmen,1,0,0,NULL,0,0,NULL,0,0,NULL,NULL,0,1
Mark Osime,Josiah Turner,Rochester Institute of Technology Tigers,1,0,0,NULL,1,1,100.0000,0,0,NULL,100.00000,0,0
Aidan Rodgers,Hunter Meshanic,Hobart College Statesmen,1,0,0,NULL,1,0,0.0000,0,0,NULL,0.00000,0,0
Brock Bowen,Kenny Wilburn,Rochester Institute of Technology Tigers,1,0,0,NULL,1,1,100.0000,0,0,NULL,100.00000,0,0
Jaylen Savage,Logan Blankenberg,Nazareth College Golden Flyers,1,0,0,NULL,0,0,NULL,0,0,NULL,NULL,0,1
Matt Caggiano,Nolan Smih,Rochester Institute of Technology Tigers,1,0,0,NULL,1,1,100.0000,0,0,NULL,100.00000,0,0
Matt Caggiano,Luke Granto,Rochester Institute of Technology Tigers,1,0,0,NULL,1,1,100.0000,0,0,NULL,100.00000,0,0
Nick Padilla,Ian Bentley,Skidmore Thoroughbreds,1,0,0,NULL,0,0,NULL,0,0,NULL,NULL,1,0
Jack Foley,Brad Fowler,St. John Fisher Cardinals,1,0,0,NULL,1,1,100.0000,0,0,NULL,100.00000,0,0
Matt Lettko,Jack Foley,St. John Fisher Cardinals,1,0,0,NULL,0,0,NULL,0,0,NULL,NULL,0,1
Brandon Weiss,Josiah Turner,Rochester Institute of Technology Tigers,1,0,0,NULL,1,1,100.0000,0,0,NULL,100.00000,0,0
Brody Brown,Kenny Wilburn,Rochester Institute of Technology Tigers,1,0,0,NULL,1,0,0.0000,0,0,NULL,0.00000,0,0
Kreekor Karageuzian,Case Parsons,Vassar Brewers,1,0,0,NULL,0,0,NULL,0,0,NULL,NULL,1,0
Brody Brown,Zac Ditzel,Rochester Institute of Technology Tigers,1,0,0,NULL,1,1,100.0000,0,0,NULL,100.00000,0,0
Keegan Ocorr,Matt Caggiano,Rochester Institute of Technology Tigers,1,0,0,NULL,1,0,0.0000,0,0,NULL,0.00000,0,0
Ben Reding,Cody Schneider,Alfred State Pioneers,1,0,0,NULL,1,0,0.0000,0,0,NULL,0.00000,0,0
Keegan Ocorr,Mark Osime,Rochester Institute of Technology Tigers,1,0,0,NULL,0,0,NULL,0,0,NULL,NULL,0,1
Braeden Burns,Jack Dalgety,Clarkson University Golden Knights,1,0,0,NULL,1,0,0.0000,0,0,NULL,0.00000,0,0
Dylan Jacob,Tyler Cardello,Elmira,1,0,0,NULL,0,0,NULL,0,0,NULL,NULL,0,1
Bruce Brewer Jr,Alex Antsiferov,Gallaudet University Bison,1,0,0,NULL,1,1,100.0000,0,0,NULL,100.00000,0,0
Brock Bowen,Josiah Turner,Rochester Institute of Technology Tigers,1,0,0,NULL,1,1,100.0000,0,0,NULL,100.00000,0,0
Brock Bowen,Keegan Ocorr,Rochester Institute of Technology Tigers,1,0,0,NULL,1,0,0.0000,0,0,NULL,0.00000,0,0
Tanner Tedesco,Jack Plesser,Union (NY) Dutchmen,1,0,0,NULL,1,1,100.0000,0,0,NULL,100.00000,0,0
Jack Garside,Logan Jagodzinski,Rochester (NY) Yellowjackets,1,0,0,NULL,1,1,100.0000,0,0,NULL,100.00000,0,0
Luke Adams,Devyn Benson,Vassar Brewers,1,0,0,NULL,1,1,100.0000,0,0,NULL,100.00000,0,0
Matt Caggiano,Zac Ditzel,Rochester Institute of Technology Tigers,1,0,0,NULL,1,1,100.0000,0,0,NULL,100.00000,0,0
Nick Padilla,Joey Skoric,Skidmore Thoroughbreds,1,0,0,NULL,1,0,0.0000,0,0,NULL,0.00000,0,0
Chase Dickens,Josiah Turner,Rochester Institute of Technology Tigers,1,0,0,NULL,1,1,100.0000,0,0,NULL,100.00000,0,0
Tanner Tedesco,Christian Dufort,Union (NY) Dutchmen,1,0,0,NULL,1,0,0.0000,0,0,NULL,0.00000,0,0
