PrimaryPlayer,SecondaryPlayer,Team,TotalPlays,Total3ptShots,Total3ptMakes,3pt%,Total2ptShots,Total2ptMakes,2pt%,TotalMidRangeShots,TotalMidRangeMakes,MidRange%,EFG%,Turnover,Foul
Brock Bowen,Chase Dickens,Rochester Institute of Technology Tigers,2,2,1,50.0000,0,0,NULL,0,0,NULL,75.00000,0,0
Laz Panagiotounis,Sean Wilcox,Bard College,1,1,0,0.0000,0,0,NULL,0,0,NULL,0.00000,0,0
Chase Dickens,Zac Ditzel,Rochester Institute of Technology Tigers,1,1,1,100.0000,0,0,NULL,0,0,NULL,150.00000,0,0
Brandon Weiss,Zac Ditzel,Rochester Institute of Technology Tigers,1,1,0,0.0000,0,0,NULL,0,0,NULL,0.00000,0,0
Aiden Macaulay,Troy McPherson,St. Lawrence Saints,1,1,0,0.0000,0,0,NULL,0,0,NULL,0.00000,0,0
Luke Adams,Alex Walters,Vassar Brewers,1,1,0,0.0000,0,0,NULL,0,0,NULL,0.00000,0,0
Laz Panagiotounis,Kevin Le,Bard College,1,1,0,0.0000,0,0,NULL,0,0,NULL,0.00000,0,0
Keegan Ocorr,Jackson Otis,Rochester Institute of Technology Tigers,1,1,1,100.0000,0,0,NULL,0,0,NULL,150.00000,0,0
Matt Caggiano,Keegan Ocorr,Rochester Institute of Technology Tigers,1,1,0,0.0000,0,0,NULL,0,0,NULL,0.00000,0,0
Brock Bowen,Matt Caggiano,Rochester Institute of Technology Tigers,1,1,1,100.0000,0,0,NULL,0,0,NULL,150.00000,0,0
Matt Caggiano,Brody Brown,Rochester Institute of Technology Tigers,1,1,0,0.0000,0,0,NULL,0,0,NULL,0.00000,0,0
Evan Cabral,Aidan Holmes,Ithaca College,1,1,0,0.0000,0,0,NULL,0,0,NULL,0.00000,0,0
Logan Wendell,Cole Wissink,Ithaca College,1,1,0,0.0000,0,0,NULL,0,0,NULL,0.00000,0,0
Tanner Tedesco,Jack Plesser,Union (NY) Dutchmen,1,0,0,NULL,1,0,0.0000,1,0,0.0000,0.00000,0,0
Brock Bowen,Keegan Ocorr,Rochester Institute of Technology Tigers,1,1,0,0.0000,0,0,NULL,0,0,NULL,0.00000,0,0
Tomiwa Adetosoye,Logan Jagodzinski,Rochester (NY) Yellowjackets,1,1,0,0.0000,0,0,NULL,0,0,NULL,0.00000,0,0
Matt Caggiano,Brock Bowen,Rochester Institute of Technology Tigers,1,1,0,0.0000,0,0,NULL,0,0,NULL,0.00000,0,0
Keegan Ocorr,Zac Ditzel,Rochester Institute of Technology Tigers,1,1,1,100.0000,0,0,NULL,0,0,NULL,150.00000,0,0
Jonny Angbazo,Avery Eugster,Rensselaer Polytechnic,1,1,0,0.0000,0,0,NULL,0,0,NULL,0.00000,0,0
Tomiwa Adetosoye,Malachi Moore,Rochester (NY) Yellowjackets,1,1,0,0.0000,0,0,NULL,0,0,NULL,0.00000,0,0
