PrimaryPlayer,SecondaryPlayer,Team,TotalPlays,Total3ptShots,Total3ptMakes,3pt%,Total2ptShots,Total2ptMakes,2pt%,TotalMidRangeShots,TotalMidRangeMakes,MidRange%,EFG%,Turnover,Foul
Matt Caggiano,Kenny Wilburn,Rochester Institute of Technology Tigers,4,0,0,NULL,4,3,75.0000,0,0,NULL,75.00000,0,0
Chase Dickens,Josiah Turner,Rochester Institute of Technology Tigers,2,0,0,NULL,2,0,0.0000,0,0,NULL,0.00000,0,0
Luke Insley,Jordan Haggard,Nazareth College Golden Flyers,2,0,0,NULL,1,1,100.0000,0,0,NULL,100.00000,1,0
Matt Caggiano,Josiah Turner,Rochester Institute of Technology Tigers,2,0,0,NULL,1,1,100.0000,1,1,100.0000,100.00000,0,1
Brock Bowen,Josiah Turner,Rochester Institute of Technology Tigers,2,1,0,0.0000,1,1,100.0000,0,0,NULL,50.00000,0,0
Brock Bowen,Kenny Wilburn,Rochester Institute of Technology Tigers,2,0,0,NULL,1,1,100.0000,0,0,NULL,100.00000,1,0
Logan Wendell,Triston Wennersten,Ithaca College,1,1,0,0.0000,0,0,NULL,0,0,NULL,0.00000,0,0
Cory Dennis,Kevin Le,Bard College,1,1,1,100.0000,0,0,NULL,0,0,NULL,150.00000,0,0
Brody Brown,Jackson Otis,Rochester Institute of Technology Tigers,1,1,1,100.0000,0,0,NULL,0,0,NULL,150.00000,0,0
Evan Cabral,Cole Wissink,Ithaca College,1,1,1,100.0000,0,0,NULL,0,0,NULL,150.00000,0,0
Keegan Ocorr,Kenny Wilburn,Rochester Institute of Technology Tigers,1,0,0,NULL,0,0,NULL,0,0,NULL,NULL,1,0
Laz Panagiotounis,Rowan Heinze,Bard College,1,0,0,NULL,1,0,0.0000,0,0,NULL,0.00000,0,0
Brandon Weiss,Kenny Wilburn,Rochester Institute of Technology Tigers,1,0,0,NULL,1,0,0.0000,0,0,NULL,0.00000,0,0
PJ Scalisi,Andrew Deppe,Rensselaer Polytechnic,1,0,0,NULL,1,0,0.0000,0,0,NULL,0.00000,0,0
Troy McPherson,Andrew Cowan,St. Lawrence Saints,1,0,0,NULL,1,0,0.0000,0,0,NULL,0.00000,0,0
Luke Adams,Case Parsons,Vassar Brewers,1,0,0,NULL,1,1,100.0000,0,0,NULL,100.00000,0,0
Shea Fitzgerald,Nathan Denham,Vassar Brewers,1,0,0,NULL,1,0,0.0000,0,0,NULL,0.00000,0,0
Aidan Holmes,Gavin Schauder,Ithaca College,1,0,0,NULL,1,0,0.0000,0,0,NULL,0.00000,0,0
Jack Garside,David Ackles,Rochester (NY) Yellowjackets,1,0,0,NULL,0,0,NULL,0,0,NULL,NULL,0,1
Avery Lee,Logan Scott,Vassar Brewers,1,0,0,NULL,0,0,NULL,0,0,NULL,NULL,1,0
Chase Dickens,Kenny Wilburn,Rochester Institute of Technology Tigers,1,0,0,NULL,1,0,0.0000,0,0,NULL,0.00000,0,0
Luke Adams,Nathan Denham,Vassar Brewers,1,0,0,NULL,1,0,0.0000,0,0,NULL,0.00000,0,0
