Player,Team,TotalPlays,Total3ptShots,Total3ptMakes,3pt%,Total2ptShots,Total2ptMakes,2pt%,TotalMidRangeShots,TotalMidRangeMakes,MidRange%,EFG%,Turnover,Foul,SourceFile,PrimaryPlayer,SecondaryPlayer
Ryan Rosa,Alfred State Pioneers,3,0,0,,2,2,100.0,0,0,,100.0,0.0,1.0,player_cut_basket_efficiency.csv,,
Ryan Rosa,Alfred State Pioneers,3,0,0,,2,2,100.0,0,0,,100.0,0.0,1.0,player_cut_efficiency.csv,,
Ryan Rosa,Alfred State Pioneers,1,0,0,,0,0,,0,0,,,1.0,0.0,player_handoffs_bhleft_dribble_efficiency.csv,,
Ryan Rosa,Alfred State Pioneers,1,0,0,,0,0,,0,0,,,1.0,0.0,player_handoffs_bhleft_efficiency.csv,,
Ryan Rosa,Alfred State Pioneers,1,0,0,,0,0,,0,0,,,1.0,0.0,player_handoffs_dribble_efficiency.csv,,
Ryan Rosa,Alfred State Pioneers,1,0,0,,0,0,,0,0,,,1.0,0.0,player_handoffs_efficiency.csv,,
Ryan Rosa,Alfred State Pioneers,4,0,0,,3,3,100.0,0,0,,100.0,1.0,0.0,player_spotup_drive_efficiency.csv,,
Ryan Rosa,Alfred State Pioneers,4,0,0,,3,3,100.0,0,0,,100.0,1.0,0.0,player_spotup_efficiency.csv,,
Ryan Rosa,Alfred State Pioneers,3,0,0,,2,2,100.0,0,0,,100.0,1.0,0.0,player_spotup_leftdrive_efficiency.csv,,
Ryan Rosa,Alfred State Pioneers,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,player_spotup_rightdrive_efficiency.csv,,
Ryan Rosa,Alfred State Pioneers,1,0,0,,1,1,100.0,1,1,100.0,100.0,0.0,0.0,player_transition_bh_efficiency.csv,,
Ryan Rosa,Alfred State Pioneers,9,0,0,,6,6,100.0,1,1,100.0,100.0,2.0,1.0,playerefficiency.csv,,
Ryan Rosa,Alfred State Pioneers,4,0,0,,2,2,100.0,0,0,,100.0,2.0,0.0,playerefficiencyleft.csv,,
Ryan Rosa,Alfred State Pioneers,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,playerefficiencyright.csv,,
,Alfred State Pioneers,1,0,0,,1,1,100.0,1,1,100.0,100.0,0.0,0.0,twoplayer_post_spotupdrive_efficiency.csv,Ryan Rosa,Cody Schneider
,Alfred State Pioneers,2,0,0,,2,2,100.0,0,0,,100.0,0.0,0.0,twoplayer_pnr_spotupsdrives_efficiency.csv,Dylan Perry,Ryan Rosa
,Alfred State Pioneers,1,0,0,,0,0,,0,0,,,1.0,0.0,twoplayer_pnr_spotupsdrives_efficiency.csv,Paris Jamison,Ryan Rosa
,Alfred State Pioneers,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,twoplayer_pnr_spotupsdrives_efficiency.csv,Emmanuel Leftenant,Ryan Rosa
,Alfred State Pioneers,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,twoplayer_pnrbhhigh_spotupdrives_efficiency.csv,Dylan Perry,Ryan Rosa
,Alfred State Pioneers,1,0,0,,0,0,,0,0,,,1.0,0.0,twoplayer_pnrbhhigh_spotupdrives_efficiency.csv,Paris Jamison,Ryan Rosa
,Alfred State Pioneers,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,twoplayer_pnrbhhigh_spotupdrives_efficiency.csv,Emmanuel Leftenant,Ryan Rosa
,Alfred State Pioneers,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,twoplayer_pnrbhleft_spotupdrives_efficiency.csv,Dylan Perry,Ryan Rosa
,Alfred State Pioneers,2,0,0,,2,2,100.0,0,0,,100.0,0.0,0.0,twoplayer_pnr_spotupdrives_efficiency.csv,Dylan Perry,Ryan Rosa
,Alfred State Pioneers,1,0,0,,0,0,,0,0,,,1.0,0.0,twoplayer_pnr_spotupdrives_efficiency.csv,Paris Jamison,Ryan Rosa
,Alfred State Pioneers,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,twoplayer_pnr_spotupdrives_efficiency.csv,Emmanuel Leftenant,Ryan Rosa
