Player,Team,TotalPlays,Total3ptShots,Total3ptMakes,3pt%,Total2ptShots,Total2ptMakes,2pt%,TotalMidRangeShots,TotalMidRangeMakes,MidRange%,EFG%,Turnover,Foul,SourceFile,PrimaryPlayer,SecondaryPlayer
Connor Melis,Bard College,1,0,0,,1,0,0.0,1,0,0.0,0.0,0.0,0.0,player_handoffs_bhright_dribble_efficiency.csv,,
Connor Melis,Bard College,1,0,0,,1,0,0.0,1,0,0.0,0.0,0.0,0.0,player_handoffs_bhright_efficiency.csv,,
Connor Melis,Bard College,1,0,0,,1,0,0.0,1,0,0.0,0.0,0.0,0.0,player_handoffs_dribble_efficiency.csv,,
Connor Melis,Bard College,1,0,0,,1,0,0.0,1,0,0.0,0.0,0.0,0.0,player_handoffs_efficiency.csv,,
Connor Melis,Bard College,1,1,0,0.0,0,0,,0,0,,0.0,0.0,0.0,player_offscreens_efficiency.csv,,
Connor Melis,Bard College,1,1,0,0.0,0,0,,0,0,,0.0,0.0,0.0,player_offscreens_flare_efficiency.csv,,
Connor Melis,Bard College,1,1,0,0.0,0,0,,0,0,,0.0,0.0,0.0,player_offscreens_leftshoulder_efficiency.csv,,
Connor Melis,Bard College,1,0,0,,1,0,0.0,1,0,0.0,0.0,0.0,0.0,player_spotup_drive_efficiency.csv,,
Connor Melis,Bard College,1,0,0,,1,0,0.0,1,0,0.0,0.0,0.0,0.0,player_spotup_efficiency.csv,,
Connor Melis,Bard College,1,0,0,,1,0,0.0,1,0,0.0,0.0,0.0,0.0,player_spotup_rightdrive_efficiency.csv,,
Connor Melis,Bard College,1,0,0,,1,0,0.0,0,0,,0.0,0.0,0.0,player_transition_rightwing_efficiency.csv,,
Connor Melis,Bard College,1,0,0,,0,0,,0,0,,,0.0,1.0,player_transition_trailer_efficiency.csv,,
Connor Melis,Bard College,6,1,0,0.0,3,0,0.0,2,0,0.0,0.0,1.0,1.0,playerefficiency.csv,,
Connor Melis,Bard College,3,1,0,0.0,2,0,0.0,2,0,0.0,0.0,0.0,0.0,playerefficiencyright.csv,,
