Player,Team,TotalPlays,Total3ptShots,Total3ptMakes,3pt%,Total2ptShots,Total2ptMakes,2pt%,TotalMidRangeShots,TotalMidRangeMakes,MidRange%,EFG%,Turnover,Foul,SourceFile,PrimaryPlayer,SecondaryPlayer
Finn Cork,Clarkson University Golden Knights,2,0,0,,1,1,100.0,0,0,,100.0,1.0,0.0,player_cut_basket_efficiency.csv,,
Finn Cork,Clarkson University Golden Knights,3,0,0,,2,1,50.0,0,0,,50.0,1.0,0.0,player_cut_efficiency.csv,,
Finn Cork,Clarkson University Golden Knights,1,0,0,,1,0,0.0,0,0,,0.0,0.0,0.0,player_cut_screen_efficiency.csv,,
Finn Cork,Clarkson University Golden Knights,1,0,0,,1,0,0.0,0,0,,0.0,0.0,0.0,player_misc_efficiency.csv,,
Finn Cork,Clarkson University Golden Knights,6,0,0,,2,0,0.0,0,0,,0.0,3.0,1.0,player_post_efficiency.csv,,
Finn Cork,Clarkson University Golden Knights,5,0,0,,1,0,0.0,0,0,,0.0,3.0,1.0,player_post_leftblock_efficiency.csv,,
Finn Cork,Clarkson University Golden Knights,4,0,0,,0,0,,0,0,,,3.0,1.0,player_post_leftblock_leftshoulder_efficiency.csv,,
Finn Cork,Clarkson University Golden Knights,1,0,0,,1,0,0.0,0,0,,0.0,0.0,0.0,player_post_leftblock_rightshoulder_efficiency.csv,,
Finn Cork,Clarkson University Golden Knights,4,0,0,,0,0,,0,0,,,3.0,1.0,player_post_leftshoulder_efficiency.csv,,
Finn Cork,Clarkson University Golden Knights,1,0,0,,1,0,0.0,0,0,,0.0,0.0,0.0,player_post_rightblock_efficiency.csv,,
Finn Cork,Clarkson University Golden Knights,1,0,0,,1,0,0.0,0,0,,0.0,0.0,0.0,player_post_rightblock_rightshoulder_efficiency.csv,,
Finn Cork,Clarkson University Golden Knights,2,0,0,,2,0,0.0,0,0,,0.0,0.0,0.0,player_post_rightshoulder_efficiency.csv,,
Finn Cork,Clarkson University Golden Knights,4,0,0,,4,2,50.0,0,0,,50.0,0.0,0.0,player_spotup_drive_efficiency.csv,,
Finn Cork,Clarkson University Golden Knights,4,0,0,,4,2,50.0,0,0,,50.0,0.0,0.0,player_spotup_efficiency.csv,,
Finn Cork,Clarkson University Golden Knights,4,0,0,,4,2,50.0,0,0,,50.0,0.0,0.0,player_spotup_rightdrive_efficiency.csv,,
Finn Cork,Clarkson University Golden Knights,17,0,0,,10,3,30.0,0,0,,30.0,5.0,2.0,playerefficiency.csv,,
Finn Cork,Clarkson University Golden Knights,4,0,0,,0,0,,0,0,,,3.0,1.0,playerefficiencyleft.csv,,
Finn Cork,Clarkson University Golden Knights,6,0,0,,6,2,33.3333,0,0,,33.33333,0.0,0.0,playerefficiencyright.csv,,
,Clarkson University Golden Knights,2,2,1,50.0,0,0,,0,0,,75.0,0.0,0.0,twoplayer_post_spotupjumper_efficiency.csv,Finn Cork,Jack Dalgety
,Clarkson University Golden Knights,1,1,0,0.0,0,0,,0,0,,0.0,0.0,0.0,twoplayer_post_spotupjumper_efficiency.csv,Finn Cork,Steve DeRegis
