Player,Team,TotalPlays,Total3ptShots,Total3ptMakes,3pt%,Total2ptShots,Total2ptMakes,2pt%,TotalMidRangeShots,TotalMidRangeMakes,MidRange%,EFG%,Turnover,Foul,SourceFile,PrimaryPlayer,SecondaryPlayer
Marc Anthony Artuz,Elmira,1,0,0,,1,0,0.0,0,0,,0.0,0.0,0.0,player_cut_basket_efficiency.csv,,
Marc Anthony Artuz,Elmira,1,0,0,,1,0,0.0,0,0,,0.0,0.0,0.0,player_cut_efficiency.csv,,
Marc Anthony Artuz,Elmira,1,0,0,,1,0,0.0,0,0,,0.0,0.0,0.0,player_handoffs_bhleft_dribble_efficiency.csv,,
Marc Anthony Artuz,Elmira,1,0,0,,1,0,0.0,0,0,,0.0,0.0,0.0,player_handoffs_bhleft_efficiency.csv,,
Marc Anthony Artuz,Elmira,1,0,0,,0,0,,0,0,,,1.0,0.0,player_handoffs_bhright_efficiency.csv,,
Marc Anthony Artuz,Elmira,1,0,0,,0,0,,0,0,,,1.0,0.0,player_handoffs_bhright_stationary_efficiency.csv,,
Marc Anthony Artuz,Elmira,1,0,0,,1,0,0.0,0,0,,0.0,0.0,0.0,player_handoffs_dribble_efficiency.csv,,
Marc Anthony Artuz,Elmira,2,0,0,,1,0,0.0,0,0,,0.0,1.0,0.0,player_handoffs_efficiency.csv,,
Marc Anthony Artuz,Elmira,1,0,0,,0,0,,0,0,,,1.0,0.0,player_handoffs_stationary_efficiency.csv,,
Marc Anthony Artuz,Elmira,1,0,0,,0,0,,0,0,,,1.0,0.0,player_misc_efficiency.csv,,
Marc Anthony Artuz,Elmira,1,1,0,0.0,0,0,,0,0,,0.0,0.0,0.0,player_pnr_bhhigh_efficiency.csv,,
Marc Anthony Artuz,Elmira,1,1,0,0.0,0,0,,0,0,,0.0,0.0,0.0,player_pnr_bhhigh_offpick_efficiency.csv,,
Marc Anthony Artuz,Elmira,1,1,0,0.0,0,0,,0,0,,0.0,0.0,0.0,player_pnr_efficiency.csv,,
Marc Anthony Artuz,Elmira,1,1,0,0.0,0,0,,0,0,,0.0,0.0,0.0,player_pnr_offpick_efficiency.csv,,
Marc Anthony Artuz,Elmira,3,0,0,,3,1,33.3333,2,0,0.0,33.33333,0.0,0.0,player_spotup_drive_efficiency.csv,,
Marc Anthony Artuz,Elmira,5,2,2,100.0,3,1,33.3333,2,0,0.0,80.0,0.0,0.0,player_spotup_efficiency.csv,,
Marc Anthony Artuz,Elmira,2,2,2,100.0,0,0,,0,0,,150.0,0.0,0.0,player_spotup_jumpshot_efficiency.csv,,
Marc Anthony Artuz,Elmira,3,0,0,,3,1,33.3333,2,0,0.0,33.33333,0.0,0.0,player_spotup_rightdrive_efficiency.csv,,
Marc Anthony Artuz,Elmira,1,0,0,,1,1,100.0,0,0,,100.0,,,player_transition_leakouts_efficiency.csv,,
Marc Anthony Artuz,Elmira,1,1,0,0.0,0,0,,0,0,,0.0,0.0,0.0,player_transition_leftwing_efficiency.csv,,
Marc Anthony Artuz,Elmira,12,4,2,50.0,6,2,33.3333,2,0,0.0,50.0,2.0,0.0,playerefficiency.csv,,
Marc Anthony Artuz,Elmira,1,0,0,,1,0,0.0,0,0,,0.0,0.0,0.0,playerefficiencyleft.csv,,
Marc Anthony Artuz,Elmira,4,0,0,,3,1,33.3333,2,0,0.0,33.33333,1.0,0.0,playerefficiencyright.csv,,
,Elmira,1,1,0,0.0,0,0,,0,0,,0.0,0.0,0.0,twoplayer_pnr_spotupsjumpers_efficiency.csv,Marc Anthony Artuz,Riley Spencer
,Elmira,1,1,0,0.0,0,0,,0,0,,0.0,0.0,0.0,twoplayer_pnrbhhigh_spotupjumper_efficiency.csv,Marc Anthony Artuz,Riley Spencer
