Player,Team,TotalPlays,Total3ptShots,Total3ptMakes,3pt%,Total2ptShots,Total2ptMakes,2pt%,TotalMidRangeShots,TotalMidRangeMakes,MidRange%,EFG%,Turnover,Foul,SourceFile,PrimaryPlayer,SecondaryPlayer
Alex Moesch,Hobart College Statesmen,1,0,0,,1,0,0.0,0,0,,0.0,0.0,0.0,player_cut_efficiency.csv,,
Alex Moesch,Hobart College Statesmen,1,0,0,,1,0,0.0,0,0,,0.0,0.0,0.0,player_cut_screen_efficiency.csv,,
Alex Moesch,Hobart College Statesmen,1,0,0,,1,0,0.0,0,0,,0.0,0.0,0.0,player_handoffs_bhleft_dribble_efficiency.csv,,
Alex Moesch,Hobart College Statesmen,1,0,0,,1,0,0.0,0,0,,0.0,0.0,0.0,player_handoffs_bhleft_efficiency.csv,,
Alex Moesch,Hobart College Statesmen,1,1,1,100.0,0,0,,0,0,,150.0,0.0,0.0,player_handoffs_bhright_dribble_efficiency.csv,,
Alex Moesch,Hobart College Statesmen,1,1,1,100.0,0,0,,0,0,,150.0,0.0,0.0,player_handoffs_bhright_efficiency.csv,,
Alex Moesch,Hobart College Statesmen,2,1,1,100.0,1,0,0.0,0,0,,75.0,0.0,0.0,player_handoffs_dribble_efficiency.csv,,
Alex Moesch,Hobart College Statesmen,2,1,1,100.0,1,0,0.0,0,0,,75.0,0.0,0.0,player_handoffs_efficiency.csv,,
Alex Moesch,Hobart College Statesmen,2,1,0,0.0,0,0,,0,0,,0.0,1.0,0.0,player_misc_efficiency.csv,,
Alex Moesch,Hobart College Statesmen,4,2,0,0.0,1,0,0.0,1,0,0.0,0.0,0.0,1.0,player_offscreens_efficiency.csv,,
Alex Moesch,Hobart College Statesmen,2,1,0,0.0,1,0,0.0,1,0,0.0,0.0,0.0,0.0,player_offscreens_leftshoulder_efficiency.csv,,
Alex Moesch,Hobart College Statesmen,2,1,0,0.0,1,0,0.0,1,0,0.0,0.0,0.0,0.0,player_offscreens_leftshoulder_straight_efficiency.csv,,
Alex Moesch,Hobart College Statesmen,2,1,0,0.0,0,0,,0,0,,0.0,0.0,1.0,player_offscreens_rightshoulder_efficiency.csv,,
Alex Moesch,Hobart College Statesmen,2,1,0,0.0,0,0,,0,0,,0.0,0.0,1.0,player_offscreens_rightshoulder_straight_efficiency.csv,,
Alex Moesch,Hobart College Statesmen,4,2,0,0.0,1,0,0.0,1,0,0.0,0.0,0.0,1.0,player_offscreens_straight_efficiency.csv,,
Alex Moesch,Hobart College Statesmen,1,0,0,,1,0,0.0,1,0,0.0,0.0,0.0,0.0,player_pnr_bhhigh_efficiency.csv,,
Alex Moesch,Hobart College Statesmen,1,0,0,,1,0,0.0,1,0,0.0,0.0,0.0,0.0,player_pnr_bhhigh_offpick_efficiency.csv,,
Alex Moesch,Hobart College Statesmen,1,0,0,,1,0,0.0,1,0,0.0,0.0,0.0,0.0,player_pnr_efficiency.csv,,
Alex Moesch,Hobart College Statesmen,1,0,0,,1,0,0.0,1,0,0.0,0.0,0.0,0.0,player_pnr_offpick_efficiency.csv,,
Alex Moesch,Hobart College Statesmen,4,0,0,,4,3,75.0,2,1,50.0,75.0,0.0,0.0,player_spotup_drive_efficiency.csv,,
Alex Moesch,Hobart College Statesmen,11,7,4,57.1429,4,3,75.0,2,1,50.0,81.81818,0.0,0.0,player_spotup_efficiency.csv,,
Alex Moesch,Hobart College Statesmen,7,7,4,57.1429,0,0,,0,0,,85.71429,0.0,0.0,player_spotup_jumpshot_efficiency.csv,,
Alex Moesch,Hobart College Statesmen,2,0,0,,2,1,50.0,1,0,0.0,50.0,0.0,0.0,player_spotup_leftdrive_efficiency.csv,,
Alex Moesch,Hobart College Statesmen,2,0,0,,2,2,100.0,1,1,100.0,100.0,0.0,0.0,player_spotup_rightdrive_efficiency.csv,,
Alex Moesch,Hobart College Statesmen,21,11,5,45.4545,8,3,37.5,4,1,25.0,55.26316,1.0,1.0,playerefficiency.csv,,
Alex Moesch,Hobart College Statesmen,5,1,0,0.0,3,1,33.3333,1,0,0.0,25.0,0.0,1.0,playerefficiencyleft.csv,,
Alex Moesch,Hobart College Statesmen,5,2,1,50.0,3,2,66.6667,2,1,50.0,70.0,0.0,0.0,playerefficiencyright.csv,,
,Hobart College Statesmen,1,1,0,0.0,0,0,,0,0,,0.0,0.0,0.0,twoplayer_pnr_spotupsjumpers_efficiency.csv,Alex Moesch,Ryan Lucey
,Hobart College Statesmen,1,1,0,0.0,0,0,,0,0,,0.0,0.0,0.0,twoplayer_pnrbhhigh_spotupjumper_efficiency.csv,Alex Moesch,Ryan Lucey
,Hobart College Statesmen,1,0,0,,1,0,0.0,0,0,,0.0,0.0,0.0,twoplayer_post_cut_efficiency.csv,Hunter Meshanic,Alex Moesch
,Hobart College Statesmen,1,1,0,0.0,0,0,,0,0,,0.0,0.0,0.0,twoplayer_post_spotupjumper_efficiency.csv,Hunter Meshanic,Alex Moesch
,Hobart College Statesmen,1,1,0,0.0,0,0,,0,0,,0.0,0.0,0.0,twoplayer_iso_spotupjumpers_efficiency.csv,Aidan Rodgers,Alex Moesch
